region,country,name,2004,2010,2019,2023,diff_2004_2023,diff_2010_2023
CEE,Bulgaria,value,16.750152,21.51507,27.291967,32.17493,15.424778000000003,10.659860000000002
CEE,Bulgaria,% of DE,32.602618926121515,38.746338604475056,41.889047609326916,50.23155509286395,17.628936166742434,11.485216488388893
CEE,Bulgaria,% of G7,32.12467516441596,40.44911832920522,44.7673143267586,51.30395976389378,19.179284599477818,10.85484143468856
CEE,Bulgaria,% of EU8,32.10087011411409,38.95814585118749,43.997595532322535,52.060102644619384,19.959232530505297,13.101956793431896
CEE,Bulgaria,% of S_EUR4,36.59890460125081,48.25604690028619,58.441900568227,67.3817704065733,30.782865805322487,19.12572350628711
CEE,Bulgaria,% of LAT_AM,105.85753807818074,116.13939192738735,139.61192532702023,158.75587696671988,52.89833888853914,42.61648503933253
CEE,Bulgaria,% of World,121.17802199328584,136.17065687903568,142.3606854102551,158.28425690778843,37.10623491450259,22.113600028752757
CEE,Bulgaria,rel_val,94.47677965140925,121.3526019092033,153.93634353363078,181.47798132873763,87.00120167732838,60.125379419534326
CEE,Croatia,value,26.09069,27.646174,34.258843999999996,41.379889999999996,15.289199999999997,13.733715999999998
CEE,Croatia,% of DE,50.78311071980538,49.787800779743435,52.58215164031613,64.60235420159889,13.819243481793507,14.81455342185545
CEE,Croatia,% of G7,50.03864687708363,51.975818041763134,56.1951594701616,65.9815642674079,15.942917390324276,14.00574622564477
CEE,Croatia,% of EU8,50.001567202352284,50.0599662896429,55.228952963226675,66.95403287040746,16.952465668055176,16.89406658076456
CEE,Croatia,% of S_EUR4,57.007881139873156,62.00747053843992,73.36048569274615,86.65909288471671,29.651211744843557,24.651622346276795
CEE,Croatia,% of LAT_AM,164.8878296842327,149.23538884506283,175.25095095996687,204.174514932477,39.28668524824428,54.93912608741417
CEE,Croatia,% of World,188.75161291909492,174.97492100988362,178.7013927286005,203.5679685884639,14.816355669368988,28.593047578580297
CEE,Croatia,rel_val,148.86030169630644,157.73510790203642,195.4636636135992,236.09275605819445,87.23245436188802,78.35764815615804
CEE,Czechia,value,33.00036,36.382926,45.413832,45.889016000000005,12.888656000000005,9.506090000000007
CEE,Czechia,% of DE,64.23214317725734,65.52175615592046,69.7033735520043,71.64200933339453,7.409866156137184,6.120253177474069
CEE,Czechia,% of G7,63.290520904454254,68.40123127355464,74.49280925506791,73.17151056641546,9.880989661961209,4.77027929286082
CEE,Czechia,% of EU8,63.24362131633231,65.87993148992597,73.21199721181131,74.24994811863093,11.006326802298616,8.37001662870496
CEE,Czechia,% of S_EUR4,72.1054368609272,81.60308952867184,97.24732021573108,96.10224918268878,23.99681232176158,14.499159654016935
CEE,Czechia,% of LAT_AM,208.55553223001635,196.39680011169526,232.3142381785029,226.42321143262288,17.867679202606524,30.026411320927622
