STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,hhtyp,Type of household,indic_il,Income and living conditions indicator,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,AT,Austria,2016,,23694,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,AT,Austria,2017,,24752,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,AT,Austria,2018,,25176,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,AT,Austria,2019,,25729,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,AT,Austria,2020,,26555,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,AT,Austria,2021,,27428,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,AT,Austria,2022,,27844,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,AT,Austria,2023,,31443,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,AT,Austria,2024,,33210,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BE,Belgium,2004,,15667,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BE,Belgium,2005,,16567,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BE,Belgium,2006,,17216,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BE,Belgium,2007,,17566,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BE,Belgium,2008,,17993,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BE,Belgium,2009,,19309,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BE,Belgium,2010,,19458,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BE,Belgium,2011,,19950,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BE,Belgium,2012,,20280,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BE,Belgium,2013,,21501,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BE,Belgium,2014,,21698,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BE,Belgium,2015,,21690,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BE,Belgium,2016,,22293,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BE,Belgium,2017,,22730,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BE,Belgium,2018,,23667,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BE,Belgium,2019,,24660,,b,break in time series,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BE,Belgium,2020,,25747,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BE,Belgium,2021,,25931,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BE,Belgium,2022,,27314,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BE,Belgium,2023,,29032,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BE,Belgium,2024,,30432,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BE,Belgium,2025,,31299,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BG,Bulgaria,2006,,1379,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BG,Bulgaria,2007,,1479,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BG,Bulgaria,2008,,2180,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BG,Bulgaria,2009,,2828,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BG,Bulgaria,2010,,3017,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BG,Bulgaria,2011,,2911,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BG,Bulgaria,2012,,2859,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BG,Bulgaria,2013,,2924,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BG,Bulgaria,2014,,3320,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BG,Bulgaria,2015,,3332,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BG,Bulgaria,2016,,3147,,b,break in time series,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BG,Bulgaria,2017,,3588,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BG,Bulgaria,2018,,3585,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BG,Bulgaria,2019,,4224,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BG,Bulgaria,2020,,4614,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BG,Bulgaria,2021,,5157,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BG,Bulgaria,2022,,5378,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BG,Bulgaria,2023,,6525,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BG,Bulgaria,2024,,7811,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,BG,Bulgaria,2025,,8865,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,CZ,Czechia,2005,,4233,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,CZ,Czechia,2006,,4802,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,CZ,Czechia,2007,,5423,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,CZ,Czechia,2008,,6068,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,CZ,Czechia,2009,,7295,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,CZ,Czechia,2010,,7058,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,CZ,Czechia,2011,,7451,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,CZ,Czechia,2012,,7791,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,CZ,Czechia,2013,,7694,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,CZ,Czechia,2014,,7622,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,CZ,Czechia,2015,,7423,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,CZ,Czechia,2016,,7838,,,,,
dataflow,ESTAT:ILC_DI04(1.0),Mean and median income by household type,A,Annual,TOTAL,Total,MED_E,Median equivalised net income,EUR,Euro,CZ,Czechia,2017,,8282,,,,,
