age,sex,indic_il,unit,country,year,value,Code,pop,% of DE,% of AT,% of W_EUR3,% of S_EUR4,region
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Romania,2015,4.357,ROU,19870968,21.394549472133562,19.82166416450571,23.21940470606268,30.92065388090342,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Romania,2016,4.724,ROU,19777001,22.33358547655068,20.475922153352695,24.15226247050785,31.765790663482967,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Romania,2017,5.314,ROU,19689357,24.91209976091135,22.747313899233767,27.06335542475913,35.25632135188822,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Romania,2018,6.278,ROU,19597823,28.56232939035487,27.055680055162902,31.52815462642218,40.861287919176874,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Romania,2019,7.338,ROU,19501499,32.33596263164853,30.979018026765736,35.989302803140504,46.72813586641357,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Romania,2020,7.724,ROU,19392420,31.879153081018615,33.101911373960746,36.961729436826786,47.426042756963845,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Romania,2021,8.698,ROU,19248115,37.27288309907439,35.574642126789364,42.23224902332912,54.61915803884555,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Romania,2022,10.033,ROU,19166726,43.3821939724132,39.94187666706477,47.77655411078369,59.38628680164023,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Romania,2023,11.084,ROU,19118433,46.01843394503031,38.6336702683862,50.0502338246251,60.681484014769836,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Romania,2024,13.023,ROU,19069340,51.69498253413782,43.76302170844815,55.8310510002889,66.44371696972381,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovakia,2005,3.99,SVK,5376650,25.493578685068048,23.20576945446086,27.109826186299728,32.80448591814792,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovakia,2006,4.62,SVK,5376793,30.460868991890287,26.521239954075774,31.334470247209527,36.619530591546635,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovakia,2007,5.608,SVK,5376949,32.36940836940837,31.487928130263896,35.42383574849478,42.767653792023985,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovakia,2008,6.763,SVK,5379075,37.557616482479034,35.722586097612506,39.677150965049975,46.88404928215603,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovakia,2009,7.852,SVK,5385027,43.73398685529687,40.32456861133936,45.948047105570765,53.608262282442126,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovakia,2010,8.36,SVK,5391807,47.57298127809708,42.8366468538635,49.33096420918616,57.87740773032374,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovakia,2011,8.975,SVK,5398048,48.79043218265833,43.94124847001224,51.137132683074796,62.22800802747318,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovakia,2012,9.799,SVK,5404834,51.01520199916701,47.563343364721874,54.492844096900136,69.33753104733702,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovakia,2013,9.572,SVK,5410370,49.14262244583633,45.79027937236892,52.698478033992856,68.62131235849401,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovakia,2014,9.806,SVK,5415184,51.03039134054954,45.268211614809346,54.2311543178494,70.55816249310017,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovakia,2015,10.22,SVK,5420221,50.184139454947214,46.494699968154315,54.4646123699703,72.52905271123088,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovakia,2016,10.466,SVK,5427217,49.47995461422088,45.364310172944386,53.5092250246264,70.37696127942691,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovakia,2017,9.605,SVK,5435643,45.02836247714594,41.11553443773811,48.9167348240142,63.7254359399485,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovakia,2018,9.744,SVK,5443188,44.3312101910828,41.9927598689881,48.93442795155427,63.420259554708416,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovakia,2019,10.503,SVK,5450575,46.28299475609219,44.34077764174442,51.512080586179444,66.88274884231966,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovakia,2020,10.076,SVK,5454981,41.586528540179124,43.18162338218908,48.21677703333334,61.86753066017189,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovakia,2021,9.425,SVK,5442712,40.38824134384642,38.5480572597137,45.76212313691388,59.18436014211535,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovakia,2022,9.826,SVK,5473145,42.48713624767588,39.11779927544886,46.790832322591505,58.16103399909468,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovakia,2023,10.67,SVK,5518008,44.299593124636715,37.1906587661206,48.18080069548447,58.414961605701386,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovakia,2024,11.433,SVK,5422069,45.38345506510003,38.419920693595,49.014543967311916,58.33149167740554,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovenia,2005,11.577,SVN,1996858,73.96971439524631,67.33162731185297,78.65926259618846,95.18233921664121,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovenia,2006,12.153,SVN,2003069,80.1279092767192,69.76463834672789,82.42593439704272,96.32838858854248,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovenia,2007,12.922,SVN,2014110,74.58585858585859,72.55474452554745,81.6238954247592,98.54558172263445,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovenia,2008,13.812,SVN,2025041,76.70350419281391,72.95584196070146,81.03220599279466,95.75077460966125,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovenia,2009,14.331,SVN,2035555,79.82065277932494,73.597986852917,83.86162290753116,97.84258873786017,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovenia,2010,13.349,SVN,2044566,75.96312524896148,68.40028694404592,78.7702202426347,92.41692772632675,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovenia,2011,13.94,SVN,2048754,75.78146235390052,68.24969400244798,79.4263654152716,96.65275007275501,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovenia,2012,14.271,SVN,2053274,74.29716784673053,69.26997378895253,79.36191224684782,100.98131498893221,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovenia,2013,14.212,SVN,2056403,72.96437005852756,67.98698813624186,78.24391661294469,101.88529996227714,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovenia,2014,14.328,SVN,2058351,74.56286427976686,66.14347705659681,79.23964705957029,103.09579361626955,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovenia,2015,15.102,SVN,2059899,74.15664129634176,68.70479050088713,80.48185675257254,107.17551409442355,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovenia,2016,15.25,SVN,2061329,72.09720121028744,66.10029907676304,77.96824781440404,102.54621245091347,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovenia,2017,15.245,SVN,2062366,71.46875439501196,65.25833654381233,77.64035631359671,101.14464038568609,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovenia,2018,15.771,SVN,2069431,71.7515923566879,67.96672987415963,79.20205903365787,102.64787699479746,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovenia,2019,16.633,SVN,2083395,73.29572996078086,70.21995187233503,81.57673392268138,105.91838155710778,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovenia,2020,16.988,SVN,2102370,70.11432580791613,72.80363418188051,81.2928352761281,104.3078216410282,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovenia,2021,17.579,SVN,2113450,75.329962290024,71.89775051124744,85.35303582215481,110.38746598814278,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovenia,2022,18.792,SVN,2115184,81.25567518484888,74.81189537800071,89.48639538022995,111.23164572674406,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovenia,2023,20.273,SVN,2118353,84.16922693680976,70.66225165562913,91.5435213214205,110.98842705083263,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Slovenia,2024,21.572,SVN,2126324,85.63035884407749,72.4914308757309,92.48156585872934,110.06095849427028,CEE
