"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Antigua and Barbuda","ATG","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24824.887242369","","","","",
"Australia","AUS","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31095.9667587348","30292.7972353051","30129.0753683777","31003.1903284033","31777.679985896","32639.8710485671","33662.6910635301","34875.3032583415","36183.5431999388","37251.7450111764","38659.4909922309","39109.3421917476","40355.4859865132","41206.4243593188","43055.8034766681","44196.0799952825","45598.1236536849","46849.6758090816","48309.406990532","49245.2123025919","48947.1306717051","51317.3006770389","53008.7315059672","52665.0267173842","52756.7209876134","52222.7485495095","51560.0857319084","53145.5168270483","53836.6323311037","54774.4591203895","54720.7411994487","57556.8373971094","59134.2886898362","59439.4715315453","58610.6707142058","",
"Austria","AUT","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48500.2730242574","49467.1238420793","50234.5303742883","51812.0116528837","52973.2442387021","54714.7616571026","54895.8066044052","56038.2919006093","56523.2293420215","57660.2792559699","58358.5679649082","60247.8324124263","61987.5604988085","62912.3188311515","60335.358528116","61231.7070506053","61903.8875403924","61621.7042081007","61209.2712909127","61271.7012762316","61094.8949734319","62567.7639385105","62530.5773470671","63521.4114323431","64512.5152417467","61260.5263132357","64007.5433360827","64044.9554222782","63324.7355789736","62384.5843540281","",
"Azerbaijan","AZE","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19693.9063534123","","","","",
"Burundi","BDI","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1037.9850250004","","","","",
"Belgium","BEL","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47742.5169008916","48092.9424006505","49754.7307255054","50736.9793626246","52040.5065130582","53384.6642958553","53426.9666859391","54174.2806345936","54401.6156518485","55503.7077822336","56156.7099351895","57018.9868952154","58732.0041202398","57914.7944574828","57249.6159835239","57289.001305281","56237.2839387837","57167.5116367521","57255.0915637066","57880.0200254856","58549.5516385525","59063.8100186662","59510.0952536136","60037.5148909443","61431.3437254268","58452.1785516959","61448.5246577079","61031.6473735579","62624.9807825289","62970.6353567244","",
"Benin","BEN","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2077.92845862002","2111.51045641863","2058.35162645592","2104.21684855162","2036.52594976672","2121.79850553317","2231.76078792666","2296.8821016023","2307.42577520893","2313.42397062567","2415.39706672898","2453.65114139888","2514.9504489449","2538.74590770052","2614.01851276087","2533.55567432064","2546.91217450489","2599.69562804147","2664.17251245949","2663.23120847779","2639.69459092182","2667.00115385919","2711.01725078876","2850.6397694023","2927.74210439146","2917.28258086422","2966.63211822544","3018.50122179338","3116.90552568519","3277.08801761847","3287.45815142963","3427.21137670351","3529.45354312172","3633.38606646092","3818.41850784016","",
"Burkina Faso","BFA","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1108.91634455573","1165.58864605715","1138.72105222627","1139.89481320078","1055.40504916968","1096.42487250359","1187.87902153089","1226.58046909418","1290.32973767488","1283.6460279677","1259.06210495556","1311.16302658005","1328.59460996066","1387.9931244885","1409.03057556951","1472.63066851892","1515.77815122977","1527.75845016728","1567.23029668564","1559.02682689622","1654.85591718043","1741.85008602347","1859.52296888015","1855.87134556578","1844.84383916901","1872.28056435647","1966.15616844643","2051.20294341519","2151.89517055865","2267.13912515427","2302.15594588449","2340.83934816233","2221.6375385917","","","",
"Bangladesh","BGD","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5948.76716836578","6213.06232148755","6648.23254484934","7118.43299450914","7305.57046664294","7832.73091628663","8200.66631894632","8571.36853598559","8852.24793996611","",
"Bulgaria","BGR","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12647.6864192249","11932.1355107174","9381.91812449677","10694.6326842322","10147.2161385704","11025.8511103726","11928.1614755191","13181.6343446883","13982.6919240112","14823.985200145","15649.7786166062","16521.5092639535","16813.1589675465","18493.3471350416","19252.7329707226","19939.1581904354","20601.0683052825","20846.8210597742","20905.3255209176","21668.0322454278","22401.1329459203","23808.696034199","25000.4186685056","25743.5582139203","27638.8370824488","27651.6466325421","29722.8371826894","30721.3272029895","31406.1961278634","32336.9918129264","",
