variable,init_yr,last_yr,country,unit,val_init,val_2010,val_prewar,val_last
median_equiv_net_income,2007,2024,Austria,constant_PPS,107.95069622945017,109.57356379190573,110.10619684046475,119.8492308497491
median_equiv_net_income,2007,2024,Austria,constant_euro_2007,102.69272609630858,105.58924864750239,102.66941738506202,107.31829476066599
median_equiv_net_income,2007,2024,Austria,current_PPS,107.95069622945017,109.5735637919057,110.10619684046475,119.8492308497491
median_equiv_net_income,2007,2024,Belgium,constant_PPS,98.87095771447453,97.27769861952031,102.50909442451939,106.11961098393839
median_equiv_net_income,2007,2024,Belgium,constant_euro_2007,99.73628952680981,96.5389682846316,97.90164835626307,101.44374047511143
median_equiv_net_income,2007,2024,Belgium,current_PPS,98.87095771447451,97.27769861952031,102.50909442451939,106.1196109839384
median_equiv_net_income,2007,2024,Bulgaria,constant_PPS,19.977849229212115,33.04162855684388,42.218633757846916,52.67518281752365
median_equiv_net_income,2007,2024,Bulgaria,constant_euro_2007,7.948084987013153,12.812932752174,17.88084305919899,22.356792598322524
median_equiv_net_income,2007,2024,Bulgaria,current_PPS,19.977849229212115,33.041628556843875,42.218633757846916,52.675182817523634
median_equiv_net_income,2007,2024,Croatia,constant_PPS,NA,42.72111328615549,51.270308835529285,65.55500808325043
median_equiv_net_income,2007,2024,Croatia,constant_euro_2007,NA,27.23370849857992,31.33202805419215,39.949369004840094
median_equiv_net_income,2007,2024,Croatia,current_PPS,NA,42.721113286155486,51.270308835529285,65.55500808325043
median_equiv_net_income,2007,2024,Czechia,constant_PPS,53.58742871221612,54.23655596586438,62.213378705563215,68.35409456219979
median_equiv_net_income,2007,2024,Czechia,constant_euro_2007,31.09817925434016,32.608385298656444,36.48161463824867,37.13450498607921
median_equiv_net_income,2007,2024,Czechia,current_PPS,53.58742871221611,54.236555965864376,62.2133787055632,68.35409456219979
median_equiv_net_income,2007,2024,Denmark,constant_PPS,102.28343620842064,100.79240711171815,103.12154607156656,97.85525781155836
median_equiv_net_income,2007,2024,Denmark,constant_euro_2007,132.8204632768215,127.37209088752851,131.97236573854698,131.14418497243125
median_equiv_net_income,2007,2024,Denmark,current_PPS,102.28343620842064,100.79240711171815,103.12154607156656,97.85525781155836
median_equiv_net_income,2007,2024,Estonia,constant_PPS,39.33745191067556,41.62066142597854,66.67166643039184,66.10677045392102
median_equiv_net_income,2007,2024,Estonia,constant_euro_2007,24.081948701131914,25.447615788444217,39.68280701849032,38.865111298287964
median_equiv_net_income,2007,2024,Estonia,current_PPS,39.337451910675554,41.62066142597853,66.67166643039184,66.10677045392102
median_equiv_net_income,2007,2024,Finland,constant_PPS,92.37936896311342,96.63202533421241,90.41767771627204,92.81287468688984
median_equiv_net_income,2007,2024,Finland,constant_euro_2007,106.43776896949166,105.68934189404973,99.56845199977323,103.27170160690248
median_equiv_net_income,2007,2024,Finland,current_PPS,92.37936896311342,96.6320253342124,90.41767771627202,92.81287468688984
median_equiv_net_income,2007,2024,France,constant_PPS,91.92477591329823,99.83793355952385,90.51675077682378,93.52573555994601
median_equiv_net_income,2007,2024,France,constant_euro_2007,93.63755792208391,100.97740590453989,92.71946915928565,94.63986780987462
median_equiv_net_income,2007,2024,France,current_PPS,91.92477591329822,99.83793355952383,90.51675077682378,93.52573555994601
median_equiv_net_income,2007,2024,Germany,constant_PPS,104.99887202598343,98.65887799504854,105.09400064073316,101.45983680243562
