pair_group,region,country,Code,shape_var,year_pair,year_start,year_end,value_start,pop_start,value_end,pop_end,fold_change
post_1990,E Asia (cap.),Taiwan,TWN,E Asia (cap.),1989-2008,1989,2008,15203,20418862,34762.367,23086191,2.2865465368677236
post_1990,E Asia (cap.),Taiwan,TWN,E Asia (cap.),1992-2022,1992,2022,18101.332,20982040,53142.984,23420051,2.9358604107145263
post_1990,E Asia (cap.),Taiwan,TWN,E Asia (cap.),2008-2022,2008,2022,34762.367,23086191,53142.984,23420051,1.5287504444101865
post_1990,Africa,Tanzania,TZA,Africa,1989-2022,1989,2022,870,25438705,3057.3286,64711777,3.514170804597701
post_1990,Africa,Tanzania,TZA,Africa,1989-2008,1989,2008,870,25438705,1848.1746,42570675,2.124338620689655
post_1990,Africa,Tanzania,TZA,Africa,1992-2022,1992,2022,895.4806,27457553,3057.3286,64711777,3.414176253511243
post_1990,Africa,Tanzania,TZA,Africa,2008-2022,2008,2022,1848.1746,42570675,3057.3286,64711777,1.654242299401799
post_1990,E Asia (cap.),Thailand,THA,E Asia (cap.),1989-2022,1989,2022,6735,53848913,16421.072,71735273,2.4381695619896067
post_1990,E Asia (cap.),Thailand,THA,E Asia (cap.),1989-2008,1989,2008,6735,53848913,12768.129,67619781,1.8957875278396439
post_1990,E Asia (cap.),Thailand,THA,E Asia (cap.),1992-2022,1992,2022,8409.0205,56528779,16421.072,71735273,1.9527924804083898
post_1990,E Asia (cap.),Thailand,THA,E Asia (cap.),2008-2022,2008,2022,12768.129,67619781,16421.072,71735273,1.2860985348753917
post_1990,Africa,Tunisia,TUN,Africa,1989-2022,1989,2022,5023,8151614,10913.846,12119284,2.1727744375870994
post_1990,Africa,Tunisia,TUN,Africa,1989-2008,1989,2008,5023,8151614,10294.922,10542588,2.0495564403742783
post_1990,Africa,Tunisia,TUN,Africa,1992-2022,1992,2022,5789.955,8682454,10913.846,12119284,1.884962145647073
post_1990,Africa,Tunisia,TUN,Africa,2008-2022,2008,2022,10294.922,10542588,10913.846,12119284,1.06011934816019
