megye,telepules,part,part_full,osszes_vp,osszes_szavazo,ervenyes,ervenytelen,reszvetel_pct,szavazat,szavazat_pct
BARANYA,Alsószentmárton,ellenzeki_osszefogas_2022,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,821,525,521,4,63.9464,32,6.142
BARANYA,Apátvarasd,FIDESZ_KDNP,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,102,66,66,0,64.7059,42,63.6364
BARANYA,Apátvarasd,MKKP,MAGYAR KÉTFARKÚ KUTYA PÁRT,102,66,66,0,64.7059,5,7.5758
BARANYA,Apátvarasd,Megoldas,MEGOLDÁS MOZGALOM,102,66,66,0,64.7059,1,1.5152
BARANYA,Apátvarasd,Mi_Hazank,MI HAZÁNK MOZGALOM,102,66,66,0,64.7059,2,3.0303
BARANYA,Apátvarasd,NEP,NORMÁLIS ÉLET PÁRTJA,102,66,66,0,64.7059,0,0.0
BARANYA,Apátvarasd,ellenzeki_osszefogas_2022,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,102,66,66,0,64.7059,16,24.2424
BARANYA,Aranyosgadány,FIDESZ_KDNP,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,295,173,173,0,58.6441,107,61.8497
BARANYA,Aranyosgadány,MKKP,MAGYAR KÉTFARKÚ KUTYA PÁRT,295,173,173,0,58.6441,11,6.3584
BARANYA,Aranyosgadány,Megoldas,MEGOLDÁS MOZGALOM,295,173,173,0,58.6441,4,2.3121
BARANYA,Aranyosgadány,Mi_Hazank,MI HAZÁNK MOZGALOM,295,173,173,0,58.6441,21,12.1387
BARANYA,Aranyosgadány,NEP,NORMÁLIS ÉLET PÁRTJA,295,173,173,0,58.6441,3,1.7341
BARANYA,Aranyosgadány,ellenzeki_osszefogas_2022,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,295,173,173,0,58.6441,22,12.7168
BARANYA,Babarc,FIDESZ_KDNP,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,567,349,338,12,61.552,168,49.7041
BARANYA,Babarc,MKKP,MAGYAR KÉTFARKÚ KUTYA PÁRT,567,349,338,12,61.552,9,2.6627
BARANYA,Babarc,Megoldas,MEGOLDÁS MOZGALOM,567,349,338,12,61.552,1,0.2959
BARANYA,Babarc,Mi_Hazank,MI HAZÁNK MOZGALOM,567,349,338,12,61.552,19,5.6213
BARANYA,Babarc,NEP,NORMÁLIS ÉLET PÁRTJA,567,349,338,12,61.552,0,0.0
BARANYA,Babarc,ellenzeki_osszefogas_2022,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,567,349,338,12,61.552,52,15.3846
BARANYA,Babarcszőlős,FIDESZ_KDNP,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,85,56,56,0,65.8824,42,75.0
BARANYA,Babarcszőlős,MKKP,MAGYAR KÉTFARKÚ KUTYA PÁRT,85,56,56,0,65.8824,0,0.0
BARANYA,Babarcszőlős,Megoldas,MEGOLDÁS MOZGALOM,85,56,56,0,65.8824,0,0.0
BARANYA,Babarcszőlős,Mi_Hazank,MI HAZÁNK MOZGALOM,85,56,56,0,65.8824,3,5.3571
BARANYA,Babarcszőlős,NEP,NORMÁLIS ÉLET PÁRTJA,85,56,56,0,65.8824,1,1.7857
