telep,maztaz,OGY26nevj,OGY26megj,OGY26erv,OGY26ervL,OGY26TiszaE,OGY26FideszE,OGY26MiHazankE,OGY26TiszaL,OGY26FideszL,OGY26MiHazankL,EP24Nevj,EP24Megj,EP24Erv,EP24Fidesz,EP24Tisza,EP24Bal,EP24MiHaz,EP24Momo,EP24MKKP,OGY26Reszv,OGY26TiszaEF,OGY26FideszEF,OGY26MiHazankEF,OGY26TiszaLF,OGY26FideszLF,OGY26MiHazankLF,EP24Reszv,EP24FideszF,EP24TiszaF,EP24BalF,EP24MiHazF,EP24MomoF,EP24MKKPF,kat,FideszKul,atfordult,kul,
Martonfa,2167,193,167,165,165,83,59,18,84,59,18,193,131,128,51,26,6,22,6,6,86.5,50.3,35.8,10.9,50.9,35.8,10.9,67.9,39.8,20.3,4.7,17.2,4.7,4.7,8,-4.1,1,14.5,0
Matty,2168,243,179,176,175,62,102,8,65,94,11,279,234,227,162,35,8,9,1,1,73.7,35.2,58.0,4.5,37.1,53.7,6.3,83.9,71.4,15.4,3.5,4.0,0.4,0.4,8,-13.4,0,-22.7,0
Mágocs,2169,1751,1273,1263,1253,620,563,65,612,528,65,1808,1093,1082,537,290,88,71,17,35,72.7,49.1,44.6,5.1,48.8,42.1,5.2,60.5,49.6,26.8,8.1,6.6,1.6,3.2,6,-5.1,1,4.5,0
Mánfa,2170,643,512,510,511,304,171,20,298,165,24,670,474,468,193,131,34,23,11,28,79.6,59.6,33.5,3.9,58.3,32.3,4.7,70.7,41.2,28.0,7.3,4.9,2.4,6.0,8,-7.7,1,26.1,0
Márfa,2171,136,109,109,109,55,45,7,58,45,5,155,128,124,63,27,8,14,3,5,80.1,50.5,41.3,6.4,53.2,41.3,4.6,82.6,50.8,21.8,6.5,11.3,2.4,4.0,8,-9.5,1,9.2,0
Máriakéménd,2172,413,283,280,281,115,141,19,106,118,21,435,247,237,132,39,17,22,5,8,68.5,41.1,50.4,6.8,37.7,42.0,7.5,56.8,55.7,16.5,7.2,9.3,2.1,3.4,8,-5.3,0,-9.3,0
Márok,2173,328,267,262,265,93,154,14,90,127,9,351,260,254,172,42,8,18,0,3,81.4,35.5,58.8,5.3,34.0,47.9,3.4,74.1,67.7,16.5,3.1,7.1,0.0,1.2,8,-8.9,0,-23.3,0
Máza,2174,888,681,674,658,398,229,34,346,192,21,928,596,565,238,149,77,58,7,16,76.7,59.1,34.0,5.0,52.6,29.2,3.2,64.2,42.1,26.4,13.6,10.3,1.2,2.8,7,-8.1,1,25.1,0
Mecseknádasd,2175,1205,955,947,936,458,410,67,394,304,56,1260,830,816,425,201,47,68,23,21,79.3,48.4,43.3,7.1,42.1,32.5,6.0,65.9,52.1,24.6,5.8,8.3,2.8,2.6,7,-8.8,1,5.1,0
Mecsekpölöske,2176,321,258,257,256,124,113,12,126,115,9,336,209,208,108,37,29,7,6,9,80.4,48.2,44.0,4.7,49.2,44.9,3.5,62.2,51.9,17.8,13.9,3.4,2.9,4.3,8,-8.0,1,4.3,0
Mekényes,2177,204,158,154,152,83,59,10,82,56,9,212,108,105,40,40,11,6,0,2,77.5,53.9,38.3,6.5,53.9,36.8,5.9,50.9,38.1,38.1,10.5,5.7,0.0,1.9,8,0.2,0,15.6,0
Merenye,2178,167,138,136,135,44,89,3,43,84,5,186,142,134,90,23,6,7,1,2,82.6,32.4,65.4,2.2,31.9,62.2,3.7,76.3,67.2,17.2,4.5,5.2,0.7,1.5,8,-1.7,0,-33.1,0
Meződ,2179,98,71,71,71,46,21,2,45,20,4,104,48,41,20,9,4,4,1,2,72.4,64.8,29.6,2.8,63.4,28.2,5.6,46.2,48.8,22.0,9.8,9.8,2.4,4.9,8,-19.2,1,35.2,0
Mindszentgodisa,2180,576,392,389,384,161,205,14,142,167,12,598,323,314,198,57,25,16,6,6,68.1,41.4,52.7,3.6,37.0,43.5,3.1,54.0,63.1,18.2,8.0,5.1,1.9,1.9,8,-10.4,0,-11.3,0
Mohács,2181,13266,10062,10008,9938,4836,4448,619,4742,4089,704,14536,8275,8129,4147,2128,584,640,169,189,75.8,48.3,44.4,6.2,47.7,41.1,7.1,56.9,51.0,26.2,7.2,7.9,2.1,2.3,4,-6.6,1,3.9,0
Molvány,2182,139,89,88,88,40,43,4,39,42,6,145,101,97,56,19,6,12,0,2,64.0,45.5,48.9,4.5,44.3,47.7,6.8,69.7,57.7,19.6,6.2,12.4,0.0,2.1,8,-8.9,0,-3.4,0
Monyoród,2183,144,111,111,110,53,46,10,51,42,10,147,103,100,38,23,5,16,5,9,77.1,47.7,41.4,9.0,46.4,38.2,9.1,70.1,38.0,23.0,5.0,16.0,5.0,9.0,8,3.4,1,6.3,0
Mozsgó,2184,637,447,441,442,197,213,25,198,209,25,666,390,383,210,74,33,40,7,8,70.2,44.7,48.3,5.7,44.8,47.3,5.7,58.6,54.8,19.3,8.6,10.4,1.8,2.1,8,-6.5,0,-3.6,0
Nagybudmér,2185,131,102,101,102,28,68,3,29,60,3,135,97,93,70,10,3,2,1,3,77.9,27.7,67.3,3.0,28.4,58.8,2.9,71.9,75.3,10.8,3.2,2.2,1.1,3.2,8,-7.9,0,-39.6,0
Nagycsány,2186,103,78,77,78,52,23,2,54,21,2,99,87,86,36,26,11,7,3,0,75.7,67.5,29.9,2.6,69.2,26.9,2.6,87.9,41.9,30.2,12.8,8.1,3.5,0.0,8,-12.0,1,37.7,0
Nagydobsza,2187,441,297,293,295,144,130,14,143,134,16,460,302,285,165,54,30,15,2,6,67.3,49.1,44.4,4.8,48.5,45.4,5.4,65.7,57.9,18.9,10.5,5.3,0.7,2.1,8,-13.5,1,4.8,0
