telep,maztaz,OGY26nevj,OGY26megj,OGY26erv,OGY26ervL,OGY26TiszaE,OGY26FideszE,OGY26MiHazankE,OGY26TiszaL,OGY26FideszL,OGY26MiHazankL,EP24Nevj,EP24Megj,EP24Erv,EP24Fidesz,EP24Tisza,EP24Bal,EP24MiHaz,EP24Momo,EP24MKKP,OGY26Reszv,OGY26TiszaEF,OGY26FideszEF,OGY26MiHazankEF,OGY26TiszaLF,OGY26FideszLF,OGY26MiHazankLF,EP24Reszv,EP24FideszF,EP24TiszaF,EP24BalF,EP24MiHazF,EP24MomoF,EP24MKKPF,kat,FideszKul,atfordult,kul,
Hajós,3045,2222,1747,1738,1733,910,708,101,898,626,113,2323,1563,1493,675,432,82,150,44,52,78.6,52.4,40.7,5.8,51.8,36.1,6.5,67.3,45.2,28.9,5.5,10.0,2.9,3.5,6,-4.5,1,11.6,0
Harkakötöny,3046,609,510,510,509,205,240,59,204,236,57,652,492,488,281,92,21,59,10,8,83.7,40.2,47.1,11.6,40.1,46.4,11.2,75.5,57.6,18.9,4.3,12.1,2.0,1.6,8,-10.5,0,-6.9,0
Harta,3047,2602,2116,2095,2085,1216,717,93,1159,657,87,2732,1580,1555,610,518,201,113,25,53,81.3,58.0,34.2,4.4,55.6,31.5,4.2,57.8,39.2,33.3,12.9,7.3,1.6,3.4,6,-5.0,1,23.8,0
Helvécia,3048,4033,3204,3184,3187,1648,1220,237,1653,1221,248,4005,1975,1957,877,635,69,171,53,89,79.4,51.8,38.3,7.4,51.9,38.3,7.8,49.3,44.8,32.4,3.5,8.7,2.7,4.5,5,-6.5,1,13.4,0
Hercegszántó,3049,1449,997,996,993,458,448,85,443,440,72,1552,879,859,464,191,48,101,16,19,68.8,46.0,45.0,8.5,44.6,44.3,7.3,56.6,54.0,22.2,5.6,11.8,1.9,2.2,7,-9.0,1,1.0,0
Homokmégy,3050,1016,773,770,768,412,286,49,408,290,45,1045,667,650,293,162,74,65,12,15,76.1,53.5,37.1,6.4,53.1,37.8,5.9,63.8,45.1,24.9,11.4,10.0,1.8,2.3,7,-7.9,1,16.4,0
Imrehegy,3051,471,347,341,341,119,187,35,119,181,38,475,314,310,187,41,6,59,3,10,73.7,34.9,54.8,10.3,34.9,53.1,11.1,66.1,60.3,13.2,1.9,19.0,1.0,3.2,8,-5.5,0,-19.9,0
Izsák,3052,4443,3316,3300,3298,1470,1546,258,1445,1564,232,4576,2536,2482,1474,515,72,241,37,67,74.6,44.5,46.8,7.8,43.8,47.4,7.0,55.4,59.4,20.7,2.9,9.7,1.5,2.7,5,-12.5,0,-2.3,0
Jakabszállás,3053,2129,1720,1706,1703,775,778,124,771,763,138,2144,1326,1302,740,325,52,97,10,35,80.8,45.4,45.6,7.3,45.3,44.8,8.1,61.8,56.8,25.0,4.0,7.5,0.8,2.7,6,-11.2,0,-0.2,0
Jánoshalma,3054,6424,4525,4502,4498,2319,1746,375,2382,1678,368,6763,3652,3524,1575,937,213,431,172,86,70.4,51.5,38.8,8.3,53.0,37.3,8.2,54.0,44.7,26.6,6.0,12.2,4.9,2.4,5,-5.9,1,12.7,0
Jászszentlászló,3055,1940,1520,1516,1513,735,632,124,731,636,121,2047,1366,1347,706,379,62,107,17,38,78.4,48.5,41.7,8.2,48.3,42.0,8.0,66.7,52.4,28.1,4.6,7.9,1.3,2.8,6,-10.7,1,6.8,0
Kalocsa,3056,11355,9112,9039,9031,5644,2578,462,5625,2654,444,12288,7615,7511,2784,2610,926,510,247,201,80.2,62.4,28.5,5.1,62.3,29.4,4.9,62.0,37.1,34.7,12.3,6.8,3.3,2.7,4,-8.5,1,33.9,0
Kaskantyú,3057,737,566,548,550,207,303,32,211,298,33,789,537,525,333,112,17,38,10,6,76.8,37.8,55.3,5.8,38.4,54.2,6.0,68.1,63.4,21.3,3.2,7.2,1.9,1.1,8,-8.1,0,-17.5,0
Katymár,3058,1263,804,797,795,350,401,38,339,396,40,1352,725,710,400,112,64,71,28,14,63.7,43.9,50.3,4.8,42.6,49.8,5.0,53.6,56.3,15.8,9.0,10.0,3.9,2.0,7,-6.0,0,-6.4,0
Kecel,3059,6200,4729,4694,4646,2117,2138,408,2099,2033,376,6571,3825,3767,1994,874,183,385,80,94,76.3,45.1,45.5,8.7,45.2,43.8,8.1,58.2,52.9,23.2,4.9,10.2,2.1,2.5,5,-7.4,0,-0.4,0
Kecskemét,3060,79921,64317,64007,64052,37636,21435,3874,37354,21377,3961,84434,47618,47238,18374,17817,3244,3158,1334,1923,80.5,58.8,33.5,6.1,58.3,33.4,6.2,56.4,38.9,37.7,6.9,6.7,2.8,4.1,2,-5.4,1,25.3,0
Kelebia,3061,1889,1309,1299,1299,564,569,155,565,563,156,1991,1072,1058,532,220,56,184,14,23,69.3,43.4,43.8,11.9,43.5,43.3,12.0,53.8,50.3,20.8,5.3,17.4,1.3,2.2,6,-6.5,0,-0.4,0
Kerekegyháza,3062,4941,3903,3880,3885,1830,1706,312,1818,1694,320,5052,2455,2425,1323,648,79,215,57,57,79.0,47.2,44.0,8.0,46.8,43.6,8.2,48.6,54.6,26.7,3.3,8.9,2.4,2.4,5,-10.6,1,3.2,0
Kéleshalom,3063,326,214,212,213,93,94,21,97,87,21,342,209,202,81,31,6,55,3,10,65.6,43.9,44.3,9.9,45.5,40.8,9.9,61.1,40.1,15.3,3.0,27.2,1.5,5.0,8,4.2,0,-0.5,0
Kiskőrös,3064,10520,8535,8505,8487,3518,4344,523,3555,4106,618,11012,6410,6335,3688,1592,255,395,72,133,81.1,41.4,51.1,6.1,41.9,48.4,7.3,58.2,58.2,25.1,4.0,6.2,1.1,2.1,4,-7.1,0,-9.7,0
Kiskunfélegyháza,3065,22115,17221,17124,17144,9711,6183,1000,9474,6375,982,23229,12511,12348,5577,4099,733,842,296,390,77.9,56.7,36.1,5.8,55.3,37.2,5.7,53.9,45.2,33.2,5.9,6.8,2.4,3.2,3,-9.1,1,20.6,0
Kiskunhalas,3066,19101,14456,14310,14292,7295,5483,1290,7427,5345,1249,21226,10803,10649,4943,2991,736,1332,192,259,75.7,51.0,38.3,9.0,52.0,37.4,8.7,50.9,46.4,28.1,6.9,12.5,1.8,2.4,3,-8.1,1,12.7,0
Kiskunmajsa,3067,8334,6102,6063,6048,2918,2636,419,2854,2659,410,8783,4518,4443,2400,1198,235,347,68,104,73.2,48.1,43.5,6.9,47.2,44.0,6.8,51.4,54.0,27.0,5.3,7.8,1.5,2.3,4,-10.5,1,4.7,0
Kisszállás,3068,1806,1312,1307,1306,534,629,125,547,583,147,1883,982,967,499,171,65,152,24,23,72.6,40.9,48.1,9.6,41.9,44.6,11.3,52.2,51.6,17.7,6.7,15.7,2.5,2.4,6,-3.5,0,-7.3,0
Kömpöc,3069,537,423,420,421,151,232,34,157,220,39,543,332,324,207,45,14,39,8,4,78.8,36.0,55.2,8.1,37.3,52.3,9.3,61.1,63.9,13.9,4.3,12.0,2.5,1.2,8,-8.7,0,-19.3,0
Kunadacs,3070,1096,837,832,830,322,447,62,316,443,61,1128,559,550,369,104,21,39,2,4,76.4,38.7,53.7,7.5,38.1,53.4,7.3,49.6,67.1,18.9,3.8,7.1,0.4,0.7,7,-13.4,0,-15.0,0
Kunbaja,3071,1115,720,713,714,344,317,41,347,303,37,1207,653,642,373,116,55,61,10,11,64.6,48.2,44.5,5.8,48.6,42.4,5.2,54.1,58.1,18.1,8.6,9.5,1.6,1.7,7,-13.6,1,3.8,0
Kunbaracs,3072,527,404,402,401,161,202,32,165,198,33,551,240,237,145,41,9,22,5,12,76.7,40.0,50.2,8.0,41.1,49.4,8.2,43.6,61.2,17.3,3.8,9.3,2.1,5.1,8,-10.9,0,-10.2,0
Kunfehértó,3073,1755,1401,1387,1393,754,476,135,765,462,135,1839,1171,1151,482,341,83,137,25,41,79.8,54.4,34.3,9.7,54.9,33.2,9.7,63.7,41.9,29.6,7.2,11.9,2.2,3.6,6,-7.6,1,20.0,0
Kunpeszér,3074,618,497,494,497,226,227,39,225,225,40,623,425,417,227,92,27,44,3,4,80.4,45.7,46.0,7.9,45.3,45.3,8.0,68.2,54.4,22.1,6.5,10.6,0.7,1.0,8,-8.5,0,-0.2,0
Kunszállás,3075,1369,1119,1112,1115,585,455,65,596,424,86,1383,802,794,392,228,40,88,11,14,81.7,52.6,40.9,5.8,53.5,38.0,7.7,58.0,49.4,28.7,5.0,11.1,1.4,1.8,7,-8.5,1,11.7,0
Kunszentmiklós,3076,6232,4837,4788,4796,1956,2499,311,1864,2542,319,6486,3396,3333,2053,696,127,262,40,64,77.6,40.9,52.2,6.5,38.9,53.0,6.7,52.4,61.6,20.9,3.8,7.9,1.2,1.9,5,-9.4,0,-11.3,0
Ladánybene,3077,1352,1001,994,992,434,466,84,427,469,81,1390,638,612,346,152,10,58,10,19,74.0,43.7,46.9,8.5,43.0,47.3,8.2,45.9,56.5,24.8,1.6,9.5,1.6,3.1,7,-9.7,0,-3.2,0
Lajosmizse,3078,8835,6594,6542,6545,2962,2963,564,2927,2957,537,9134,4550,4477,2342,1154,180,459,102,122,74.6,45.3,45.3,8.6,44.7,45.2,8.2,49.8,52.3,25.8,4.0,10.3,2.3,2.7,4,-7.0,0,0.0,0
Lakitelek,3079,3844,3019,3005,3003,1440,1339,177,1447,1290,209,3947,1928,1909,1040,476,118,126,30,65,78.5,47.9,44.6,5.9,48.2,43.0,7.0,48.8,54.5,24.9,6.2,6.6,1.6,3.4,6,-9.9,1,3.4,0
Madaras,3080,2155,1406,1388,1393,705,582,86,706,581,85,2226,1214,1189,635,254,80,123,27,27,65.2,50.8,41.9,6.2,50.7,41.7,6.1,54.5,53.4,21.4,6.7,10.3,2.3,2.3,6,-11.5,1,8.9,0
Mátételke,3081,394,247,242,242,90,127,24,86,132,20,400,256,251,151,36,11,25,3,10,62.7,37.2,52.5,9.9,35.5,54.5,8.3,64.0,60.2,14.3,4.4,10.0,1.2,4.0,8,-7.7,0,-15.3,0
Mélykút,3082,3711,2585,2553,2550,1300,1014,206,1303,992,218,3934,2075,1991,1014,417,123,244,51,54,69.7,50.9,39.7,8.1,51.1,38.9,8.5,52.7,50.9,20.9,6.2,12.3,2.6,2.7,6,-11.2,1,11.2,0
Miske,3083,1201,863,852,855,375,408,40,373,408,42,1286,683,670,347,146,63,52,20,15,71.9,44.0,47.9,4.7,43.6,47.7,4.9,53.1,51.8,21.8,9.4,7.8,3.0,2.2,7,-3.9,0,-3.9,0
Móricgát,3084,323,264,261,262,115,118,24,111,118,28,331,211,210,126,42,9,16,3,11,81.7,44.1,45.2,9.2,42.4,45.0,10.7,63.7,60.0,20.0,4.3,7.6,1.4,5.2,8,-14.8,0,-1.1,0
Nagybaracska,3085,1676,1174,1153,1161,492,569,85,488,572,80,1783,942,922,545,174,45,96,13,25,70.0,42.7,49.3,7.4,42.0,49.3,6.9,52.8,59.1,18.9,4.9,10.4,1.4,2.7,7,-9.8,0,-6.7,0
Nemesnádudvar,3086,1351,1001,994,983,480,453,58,423,344,50,1401,821,804,432,194,34,82,15,21,74.1,48.3,45.6,5.8,43.0,35.0,5.1,58.6,53.7,24.1,4.2,10.2,1.9,2.6,7,-8.2,1,2.7,0
Nyárlőrinc,3087,1814,1462,1451,1455,671,647,105,672,643,115,1845,1122,1104,583,272,33,84,32,35,80.6,46.2,44.6,7.2,46.2,44.2,7.9,60.8,52.8,24.6,3.0,7.6,2.9,3.2,6,-8.2,1,1.7,0
Ordas,3088,326,263,262,263,120,112,18,119,117,15,352,219,217,126,40,21,12,1,5,80.7,45.8,42.7,6.9,45.2,44.5,5.7,62.2,58.1,18.4,9.7,5.5,0.5,2.3,8,-15.3,1,3.1,0
Orgovány,3089,2539,1889,1879,1883,811,932,118,817,925,124,2619,1148,1133,659,261,40,85,16,32,74.4,43.2,49.6,6.3,43.4,49.1,6.6,43.8,58.2,23.0,3.5,7.5,1.4,2.8,6,-8.6,0,-6.4,0
Öregcsertő,3090,566,416,410,414,205,158,31,210,153,31,612,351,345,170,78,28,42,8,9,73.5,50.0,38.5,7.6,50.7,37.0,7.5,57.4,49.3,22.6,8.1,12.2,2.3,2.6,8,-10.7,1,11.5,0
Páhi,3091,913,703,695,697,253,390,42,256,394,42,936,451,446,303,74,15,34,4,7,77.0,36.4,56.1,6.0,36.7,56.5,6.0,48.2,67.9,16.6,3.4,7.6,0.9,1.6,7,-11.8,0,-19.7,0
Pálmonostora,3092,1315,944,935,934,425,428,73,415,443,62,1356,690,676,400,124,38,61,10,12,71.8,45.5,45.8,7.8,44.4,47.4,6.6,50.9,59.2,18.3,5.6,9.0,1.5,1.8,7,-13.4,0,-0.3,0
Petőfiszállás,3093,1120,851,844,845,376,366,86,375,358,100,1204,670,661,356,151,20,84,12,18,76.0,44.5,43.4,10.2,44.4,42.4,11.8,55.6,53.9,22.8,3.0,12.7,1.8,2.7,7,-10.5,1,1.2,0
Pirtó,3094,716,570,559,558,249,247,49,256,243,43,745,445,436,236,94,32,47,5,8,79.6,44.5,44.2,8.8,45.9,43.5,7.7,59.7,54.1,21.6,7.3,10.8,1.1,1.8,8,-9.9,1,0.4,0
Rém,3095,929,606,602,604,293,257,44,296,260,41,1020,551,538,261,96,35,66,19,20,65.2,48.7,42.7,7.3,49.0,43.0,6.8,54.0,48.5,17.8,6.5,12.3,3.5,3.7,7,-5.8,1,6.0,0
Solt,3096,4844,3692,3673,3648,1816,1536,248,1821,1510,235,5044,2726,2676,1337,791,176,211,45,49,76.2,49.4,41.8,6.8,49.9,41.4,6.4,54.0,50.0,29.6,6.6,7.9,1.7,1.8,5,-8.1,1,7.6,0
Soltszentimre,3097,1030,759,751,749,281,390,66,282,394,61,1056,709,689,422,107,27,73,7,24,73.7,37.4,51.9,8.8,37.7,52.6,8.1,67.1,61.2,15.5,3.9,10.6,1.0,3.5,7,-9.3,0,-14.5,0
Soltvadkert,3098,5495,4325,4298,4289,1848,2119,276,1912,1982,315,5680,3401,3337,1896,797,128,308,52,79,78.7,43.0,49.3,6.4,44.6,46.2,7.3,59.9,56.8,23.9,3.8,9.2,1.6,2.4,5,-7.5,0,-6.3,0
Sükösd,3099,2797,2036,2026,2017,944,890,177,907,874,180,2875,1391,1361,785,286,70,139,25,28,72.8,46.6,43.9,8.7,45.0,43.3,8.9,48.4,57.7,21.0,5.1,10.2,1.8,2.1,6,-13.7,1,2.7,0
Szabadszállás,3100,4649,3259,3238,3246,1410,1571,232,1453,1516,231,4869,2501,2458,1398,545,110,239,39,59,70.1,43.5,48.5,7.2,44.8,46.7,7.1,51.4,56.9,22.2,4.5,9.7,1.6,2.4,5,-8.4,0,-5.0,0
Szakmár,3101,867,662,651,655,380,222,37,375,222,40,935,530,521,229,172,45,31,7,16,76.4,58.4,34.1,5.7,57.3,33.9,6.1,56.7,44.0,33.0,8.6,6.0,1.3,3.1,7,-9.9,1,24.3,0
Szalkszentmárton,3102,2319,1735,1721,1725,764,815,123,755,813,126,2353,1264,1222,664,250,68,147,17,37,74.8,44.4,47.4,7.1,43.8,47.1,7.3,53.7,54.3,20.5,5.6,12.0,1.4,3.0,6,-7.0,0,-3.0,0
Szank,3103,1763,1306,1299,1301,560,627,88,542,642,95,1850,1199,1180,696,225,49,120,26,28,74.1,43.1,48.3,6.8,41.7,49.3,7.3,64.8,59.0,19.1,4.2,10.2,2.2,2.4,6,-10.7,0,-5.2,0
Szentkirály,3104,1492,1259,1250,1251,484,644,111,486,629,120,1501,845,833,498,180,15,87,11,22,84.4,38.7,51.5,8.9,38.8,50.3,9.6,56.3,59.8,21.6,1.8,10.4,1.3,2.6,7,-8.3,0,-12.8,0
Szeremle,3105,1051,793,790,792,366,376,44,348,371,50,1087,651,637,353,140,26,60,21,17,75.5,46.3,47.6,5.6,43.9,46.8,6.3,59.9,55.4,22.0,4.1,9.4,3.3,2.7,7,-7.8,0,-1.3,0
Tabdi,3106,844,680,675,675,284,335,45,286,333,46,865,486,479,286,98,22,46,13,4,80.6,42.1,49.6,6.7,42.4,49.3,6.8,56.2,59.7,20.5,4.6,9.6,2.7,0.8,8,-10.1,0,-7.6,0
Tass,3107,2196,1632,1624,1622,596,912,109,588,908,111,2263,1083,1063,698,145,55,106,12,15,74.3,36.7,56.2,6.7,36.3,56.0,6.8,47.9,65.7,13.6,5.2,10.0,1.1,1.4,6,-9.5,0,-19.5,0
Tataháza,3108,881,608,604,604,286,261,49,290,261,41,949,594,587,311,108,43,68,15,18,69.0,47.4,43.2,8.1,48.0,43.2,6.8,62.6,53.0,18.4,7.3,11.6,2.6,3.1,7,-9.8,1,4.1,0
Tázlár,3109,1289,985,976,975,360,520,87,364,500,97,1318,874,854,528,151,25,89,7,25,76.4,36.9,53.3,8.9,37.3,51.3,9.9,66.3,61.8,17.7,2.9,10.4,0.8,2.9,7,-8.5,0,-16.4,0
Tiszaalpár,3110,3754,2724,2696,2704,1272,1225,157,1263,1218,153,3917,2058,2025,1065,461,87,206,33,83,72.6,47.2,45.4,5.8,46.7,45.0,5.7,52.5,52.6,22.8,4.3,10.2,1.6,4.1,6,-7.2,1,1.7,0
Tiszakécske,3111,8840,6843,6812,6818,3179,3167,367,3210,3093,412,9150,4436,4388,2459,1079,291,274,83,96,77.4,46.7,46.5,5.4,47.1,45.4,6.0,48.5,56.0,24.6,6.6,6.2,1.9,2.2,4,-9.5,1,0.2,0
Tiszaug,3112,611,470,465,463,209,224,28,211,219,26,641,383,372,200,85,23,31,5,15,76.9,44.9,48.2,6.0,45.6,47.3,5.6,59.8,53.8,22.8,6.2,8.3,1.3,4.0,8,-5.6,0,-3.2,0
Tompa,3113,3397,2194,2188,2186,950,1011,203,965,985,205,3605,1563,1536,803,344,96,193,28,29,64.6,43.4,46.2,9.3,44.1,45.1,9.4,43.4,52.3,22.4,6.3,12.6,1.8,1.9,6,-6.1,0,-2.8,0
Uszód,3114,696,531,523,524,247,228,34,249,237,28,715,365,358,205,83,34,20,8,5,76.3,47.2,43.6,6.5,47.5,45.2,5.3,51.0,57.3,23.2,9.5,5.6,2.2,1.4,8,-13.7,1,3.6,0
Újsolt,3115,136,110,110,109,53,32,13,53,34,12,134,100,98,36,22,15,21,0,3,80.9,48.2,29.1,11.8,48.6,31.2,11.0,74.6,36.7,22.4,15.3,21.4,0.0,3.1,8,-7.6,1,19.1,0
Újtelek,3116,269,225,222,224,90,119,13,90,121,13,303,239,230,150,48,10,10,1,5,83.6,40.5,53.6,5.9,40.2,54.0,5.8,78.9,65.2,20.9,4.3,4.3,0.4,2.2,8,-11.6,0,-13.1,0
Vaskút,3117,2574,1970,1904,1904,943,845,95,879,778,93,2711,1602,1566,830,352,85,186,46,35,76.5,49.5,44.4,5.0,46.2,40.9,4.9,59.1,53.0,22.5,5.4,11.9,2.9,2.2,6,-8.6,1,5.1,0
Városföld,3118,1646,1330,1329,1330,584,625,90,584,618,98,1729,1095,1081,569,251,36,128,20,49,80.8,43.9,47.0,6.8,43.9,46.5,7.4,63.3,52.6,23.2,3.3,11.8,1.9,4.5,6,-5.6,0,-3.1,0
Zsana,3119,532,426,423,425,169,172,74,170,173,72,564,373,365,199,64,13,57,5,17,80.1,40.0,40.7,17.5,40.0,40.7,16.9,66.1,54.5,17.5,3.6,15.6,1.4,4.7,8,-13.9,0,-0.7,0
Almáskamarás,4001,607,420,411,407,173,169,18,184,177,16,629,292,284,168,52,17,24,2,6,69.2,42.1,41.1,4.4,45.2,43.5,3.9,46.4,59.2,18.3,6.0,8.5,0.7,2.1,8,-18.0,1,1.0,0
Battonya,4002,3985,2634,2608,2616,1323,1041,134,1342,1078,130,4233,2276,2208,1088,529,200,230,32,42,66.1,50.7,39.9,5.1,51.3,41.2,5.0,53.8,49.3,24.0,9.1,10.4,1.4,1.9,6,-9.4,1,10.8,0
Békés,4003,13435,10229,10171,10115,4644,4291,1025,4717,4269,905,14951,8201,8070,4196,1886,449,1033,126,156,76.1,45.7,42.2,10.1,46.6,42.2,8.9,54.9,52.0,23.4,5.6,12.8,1.6,1.9,4,-9.8,1,3.5,0
Békéscsaba,4004,43169,35434,35270,35263,20524,11723,2292,20829,11126,2449,46194,26569,26367,9746,9673,2259,2035,753,909,82.1,58.2,33.2,6.5,59.1,31.6,6.9,57.5,37.0,36.7,8.6,7.7,2.9,3.4,2,-3.7,1,25.0,0
Békéssámson,4005,1757,1261,1252,1255,508,626,94,549,563,116,1823,907,881,464,191,19,121,14,23,71.8,40.6,50.0,7.5,43.7,44.9,9.2,49.8,52.7,21.7,2.2,13.7,1.6,2.6,6,-2.7,0,-9.4,0
Békésszentandrás,4006,2769,2240,2208,2218,1241,796,136,1250,778,154,2977,1899,1859,771,539,113,187,46,83,80.9,56.2,36.1,6.2,56.4,35.1,6.9,63.8,41.5,29.0,6.1,10.1,2.5,4.5,6,-5.4,1,20.2,0
Bélmegyer,4007,688,568,564,563,249,261,50,249,251,54,729,520,512,284,81,24,79,4,15,82.6,44.1,46.3,8.9,44.2,44.6,9.6,71.3,55.5,15.8,4.7,15.4,0.8,2.9,8,-9.2,0,-2.1,0
Biharugra,4008,666,531,524,530,178,322,19,188,311,21,709,478,471,322,94,19,21,3,4,79.7,34.0,61.5,3.6,35.5,58.7,4.0,67.4,68.4,20.0,4.0,4.5,0.6,0.8,8,-6.9,0,-27.5,0
Bucsa,4009,1642,1194,1186,1191,481,647,45,495,635,50,1735,875,864,543,148,55,56,8,17,72.7,40.6,54.6,3.8,41.6,53.3,4.2,50.4,62.8,17.1,6.4,6.5,0.9,2.0,7,-8.3,0,-14.0,0
Csabacsűd,4010,1342,1077,1074,1072,533,455,69,530,439,81,1440,874,858,441,205,44,83,22,24,80.3,49.6,42.4,6.4,49.4,41.0,7.6,60.7,51.4,23.9,5.1,9.7,2.6,2.8,7,-9.0,1,7.3,0
Csabaszabadi,4011,228,199,198,199,80,93,23,80,90,24,233,166,161,85,22,15,21,4,7,87.3,40.4,47.0,11.6,40.2,45.2,12.1,71.2,52.8,13.7,9.3,13.0,2.5,4.3,8,-5.8,0,-6.6,0
Csanádapáca,4012,1890,1335,1328,1331,721,458,100,761,456,95,1965,973,956,422,272,65,115,26,16,70.6,54.3,34.5,7.5,57.2,34.3,7.1,49.5,44.1,28.5,6.8,12.0,2.7,1.7,6,-9.7,1,19.8,0
Csárdaszállás,4013,328,257,255,255,128,100,17,130,97,19,333,245,242,123,54,20,21,5,6,78.4,50.2,39.2,6.7,51.0,38.0,7.5,73.6,50.8,22.3,8.3,8.7,2.1,2.5,8,-11.6,1,11.0,0
Csorvás,4014,3669,2708,2693,2697,1462,983,207,1472,956,220,3836,1543,1508,681,460,118,134,28,37,73.8,54.3,36.5,7.7,54.6,35.4,8.2,40.2,45.2,30.5,7.8,8.9,1.9,2.5,6,-8.7,1,17.8,0
Dévaványa,4015,5307,3910,3872,3888,1752,1838,225,1772,1800,269,5661,2988,2911,1531,677,149,281,68,89,73.7,45.2,47.5,5.8,45.6,46.3,6.9,52.8,52.6,23.3,5.1,9.7,2.3,3.1,5,-5.1,0,-2.2,0
Doboz,4016,3211,2406,2378,2377,1186,1057,103,1183,978,116,3361,1698,1644,862,424,109,115,38,38,74.9,49.9,44.4,4.3,49.8,41.1,4.9,50.5,52.4,25.8,6.6,7.0,2.3,2.3,6,-8.0,1,5.4,0
Dombegyház,4017,1395,984,970,975,391,466,75,414,477,73,1487,886,862,464,157,84,83,13,22,70.5,40.3,48.0,7.7,42.5,48.9,7.5,59.6,53.8,18.2,9.7,9.6,1.5,2.6,7,-5.8,0,-7.7,0
Dombiratos,4018,382,293,291,289,134,137,10,134,144,11,428,304,297,159,65,31,22,6,4,76.7,46.0,47.1,3.4,46.4,49.8,3.8,71.0,53.5,21.9,10.4,7.4,2.0,1.3,8,-6.5,0,-1.0,0
Ecsegfalva,4019,856,592,587,589,255,284,35,260,280,36,903,540,524,276,106,35,57,13,13,69.2,43.4,48.4,6.0,44.1,47.5,6.1,59.8,52.7,20.2,6.7,10.9,2.5,2.5,7,-4.3,0,-4.9,0
Elek,4020,3429,2467,2453,2444,1096,1187,131,1091,1097,139,3587,2185,2126,1303,421,135,95,42,49,71.9,44.7,48.4,5.3,44.6,44.9,5.7,60.9,61.3,19.8,6.3,4.5,2.0,2.3,6,-12.9,0,-3.7,0
Füzesgyarmat,4021,4130,3163,3145,3149,1773,1106,180,1812,1101,176,4418,2738,2658,1129,711,257,273,75,74,76.6,56.4,35.2,5.7,57.5,35.0,5.6,62.0,42.5,26.7,9.7,10.3,2.8,2.8,6,-7.3,1,21.2,0
Gádoros,4022,2730,1928,1902,1910,921,781,145,937,784,135,2862,1554,1539,777,403,102,141,28,31,70.6,48.4,41.1,7.6,49.1,41.0,7.1,54.3,50.5,26.2,6.6,9.2,1.8,2.0,6,-9.4,1,7.4,0
Gerendás,4023,890,679,669,673,364,262,38,358,236,37,946,649,632,279,168,47,82,12,17,76.3,54.4,39.2,5.7,53.2,35.1,5.5,68.6,44.1,26.6,7.4,13.0,1.9,2.7,7,-5.0,1,15.2,0
Geszt,4024,532,368,359,367,81,262,10,87,262,12,548,388,388,297,48,8,15,4,3,69.2,22.6,73.0,2.8,23.7,71.4,3.3,70.8,76.5,12.4,2.1,3.9,1.0,0.8,8,-3.6,0,-50.4,0
Gyomaendrőd,4025,10062,7431,7371,7392,3983,2777,491,3982,2696,531,10564,5244,5190,2258,1741,346,427,94,150,73.9,54.0,37.7,6.7,53.9,36.5,7.2,49.6,43.5,33.5,6.7,8.2,1.8,2.9,4,-5.8,1,16.4,0
Gyula,4026,22258,17955,17863,17868,10078,6477,1030,10116,6162,1108,23687,13928,13789,5700,5053,832,1088,356,365,80.7,56.4,36.3,5.8,56.6,34.5,6.2,58.8,41.3,36.6,6.0,7.9,2.6,2.6,3,-5.1,1,20.2,0
Hunya,4027,471,353,352,350,152,167,24,160,159,23,510,326,316,164,91,24,20,4,3,74.9,43.2,47.4,6.8,45.7,45.4,6.6,63.9,51.9,28.8,7.6,6.3,1.3,0.9,8,-4.5,0,-4.3,0
Kamut,4028,764,623,616,620,272,269,53,284,264,49,808,571,556,283,134,41,51,19,10,81.5,44.2,43.7,8.6,45.8,42.6,7.9,70.7,50.9,24.1,7.4,9.2,3.4,1.8,8,-7.2,1,0.5,0
Kardos,4029,422,318,315,313,133,156,21,136,145,24,462,258,253,155,48,9,18,6,10,75.4,42.2,49.5,6.7,43.5,46.3,7.7,55.8,61.3,19.0,3.6,7.1,2.4,4.0,8,-11.7,0,-7.3,0
Kardoskút,4030,614,473,471,471,260,162,35,262,157,37,653,383,377,159,111,32,40,10,10,77.0,55.2,34.4,7.4,55.6,33.3,7.9,58.7,42.2,29.4,8.5,10.6,2.7,2.7,8,-7.8,1,20.8,0
Kaszaper,4031,1354,1032,1028,1027,557,371,63,562,384,68,1455,814,803,366,223,52,87,10,27,76.2,54.2,36.1,6.1,54.7,37.4,6.6,55.9,45.6,27.8,6.5,10.8,1.2,3.4,7,-9.5,1,18.1,0
Kertészsziget,4032,268,192,191,191,86,90,9,89,90,8,279,171,164,92,32,12,15,1,4,71.6,45.0,47.1,4.7,46.6,47.1,4.2,61.3,56.1,19.5,7.3,9.1,0.6,2.4,8,-9.0,0,-2.1,0
Kevermes,4033,1219,847,827,829,325,401,46,340,416,56,1320,747,718,446,129,31,62,2,14,69.5,39.3,48.5,5.6,41.0,50.2,6.8,56.6,62.1,18.0,4.3,8.6,0.3,1.9,7,-13.6,0,-9.2,0
Kétegyháza,4034,2715,1981,1966,1959,1034,779,125,1026,678,137,2827,1445,1387,633,414,93,130,23,38,73.0,52.6,39.6,6.4,52.4,34.6,7.0,51.1,45.6,29.8,6.7,9.4,1.7,2.7,6,-6.0,1,13.0,0
