country,region,name,2004,2010,2019,2024,diff_2004_2024,diff_2010_2024
Bulgaria,CEE,value,16.3835602241501,21.717128197205998,29.2015127020228,34.0851952950467,17.701635070896604,12.368067097840704
Bulgaria,CEE,% of DE,32.2446645956592,39.582534919884274,46.37316282011334,54.25004928132255,22.00538468566335,14.667514361438279
Bulgaria,CEE,% of W_EUR3,32.721545664055526,42.21128567327419,51.98872014582433,59.38382213018031,26.662276466124787,17.172536456906123
Bulgaria,CEE,% of S_EUR4,35.723872967718755,48.42412274789753,62.73536324678393,69.35149777416557,33.62762480644681,20.927375026268038
Bulgaria,CEE,% of G7,31.864936370344022,41.13371263385525,48.92422257006201,54.120021674503235,22.255085304159213,12.986309040647988
Bulgaria,CEE,% of EU8,32.08631907515304,40.19249825482142,48.52730102854715,55.88265569813764,23.796336622984597,15.690157443316217
Bulgaria,CEE,% of World,118.38879625961208,136.2017515335283,150.33319934786024,160.267539461656,41.878743202043935,24.06578792812772
Bulgaria,CEE,% of LAT_AM,99.99694791254146,114.32682796566215,144.78115548927545,160.30513802089263,60.30819010835117,45.97831005523048
Bulgaria,CEE,rel_val,109.55183334659633,145.2157636360383,195.26154323191196,227.91722821300598,118.36539486640966,82.70146457696768
Czechia,CEE,value,33.4523408000614,39.0973886218756,47.7636165520254,47.961809513148296,14.509468713086896,8.864420891272694
Czechia,CEE,% of DE,65.83791888210435,71.26051549489767,75.85052150709659,76.33608982395403,10.49817094184968,5.0755743290563515
Czechia,CEE,% of W_EUR3,66.81162592763259,75.99306064829214,85.03563905796227,83.5599016087869,16.74827568115431,7.566840960494758
Czechia,CEE,% of S_EUR4,72.94184883287306,87.17804345749232,102.61344557550433,97.58557335241167,24.64372451953861,10.40752989491935
Czechia,CEE,% of G7,65.06258080961865,74.05310378530146,80.02317656579885,76.15312595193464,11.090545142315989,2.100022166633181
Czechia,CEE,% of EU8,65.51460525285256,72.35863368688777,79.37394964034435,78.63335575702051,13.118750504167949,6.274722070132739
Czechia,CEE,% of World,241.72904455454054,245.20428126273154,245.89333305986568,225.51495252597152,-16.214092028569013,-19.689328736760018
Czechia,CEE,% of LAT_AM,204.17613356133978,205.82281332459408,236.81210166451055,225.56785804464218,21.391724483302397,19.7450447200481
Czechia,CEE,rel_val,119.82296733522148,140.04296882336143,171.08453785436976,171.79444538665987,51.971478051438396,31.75147656329844
Estonia,CEE,value,27.6653068254089,30.3791091281954,42.652534863145796,41.5461201868122,13.880813361403302,11.167011058616804
Estonia,CEE,% of DE,54.44839383605873,55.370219164450766,67.73392063905678,66.12486881980247,11.676474983743745,10.754649655351706
Estonia,CEE,% of W_EUR3,55.25365599494932,59.04745978682423,75.93615855237866,72.38237569175028,17.128719696800964,13.334915904926056
Estonia,CEE,% of S_EUR4,60.323390833394946,67.73831678098071,91.63300187014669,84.53188068074918,24.208489847354237,16.793563899768472
Estonia,CEE,% of G7,53.8071841282855,57.54009156295746,71.46006887092959,65.96637940720686,12.15919527892136,8.426287844249401
Estonia,CEE,% of EU8,54.18101132888091,56.22346930636583,70.88031431985034,68.1148372452032,13.933825916322292,11.891367938837377
Estonia,CEE,% of World,199.9115166912932,190.5264745741448,219.5808173262438,195.34857872697148,-4.562937964321719,4.822104152826682
