country,year,rel_val-2004,rel_val-2010,value-2004,% of DE-2004,% of EU8-2004,var_name
Bulgaria,2004,100,NA,16.3835602241501,32.2446645956592,32.08631907515304,GDP_per_cap
Bulgaria,2005,107.86550192097607,NA,17.6722094683049,34.45595152359907,34.170207840636934,GDP_per_cap
Bulgaria,2006,116.08145457554342,NA,19.018275019453597,35.66351612663969,35.65156949331341,GDP_per_cap
Bulgaria,2007,124.71964281625723,NA,20.433517792146397,37.191339786764644,37.29390894977312,GDP_per_cap
Bulgaria,2008,133.29677094300297,NA,21.8387567442943,39.31559683148049,39.665153561412,GDP_per_cap
Bulgaria,2009,129.66788008994575,NA,21.244215225915,40.38806333998551,40.40287540068986,GDP_per_cap
Bulgaria,2010,132.5543892785524,100,21.717128197205998,39.582534919884274,40.19249825482142,GDP_per_cap
Bulgaria,2011,136.1955394988755,102.74691033630842,22.3136782364044,38.47692289333713,39.95654832694436,GDP_per_cap
Bulgaria,2012,138.01247801391148,104.11762203052312,22.611357452251102,38.87909455407173,40.58449925728465,GDP_per_cap
Bulgaria,2013,140.06011482381615,105.66237420436607,22.946833262173698,39.41153371061355,41.169653343277034,GDP_per_cap
Bulgaria,2014,143.11757798652008,107.96894675873008,23.4477545807665,39.58139057675191,41.60047887851955,GDP_per_cap
Bulgaria,2015,149.87313659664272,113.06538954488812,24.5545555941337,41.130364869088986,43.150555984259924,GDP_per_cap
Bulgaria,2016,156.4269122509602,118.0096057945253,25.628297375414498,42.306077994386484,44.484696387205595,GDP_per_cap
Bulgaria,2017,162.86425395531867,122.86598342139581,26.682963130382397,43.0429402239843,45.40798049115556,GDP_per_cap
Bulgaria,2018,169.32276448275803,127.73833096310364,27.7410970922285,44.38895210117896,46.6806946637742,GDP_per_cap
Bulgaria,2019,178.23667324137804,134.4630488748494,29.2015127020228,46.37316282011334,48.52730102854715,GDP_per_cap
Bulgaria,2020,174.24387397343665,131.45085192711133,28.5473500293302,47.30873440154188,50.03577975315274,GDP_per_cap
Bulgaria,2021,189.05350109047475,142.62334285528183,30.9736942070222,49.53352809381527,51.740817714493616,GDP_per_cap
Bulgaria,2022,197.97293232657722,149.35222696439948,32.4350145952407,51.53980626212519,53.24946640466842,GDP_per_cap
