country,year,rel_val-2004,rel_val-2010,value-2004,% of DE-2004,% of S_EUR4-2004,% of EU8-2004,var_name
Bulgaria,2004,99.99999999999999,NA,44.781,87.30260849222131,93.11108861622672,84.57237647369398,employment
Bulgaria,2005,100.65652843840022,NA,45.075,87.0123351929425,92.68816464590621,84.7313900668044,employment
Bulgaria,2006,105.75467274067125,NA,47.358,89.46612763063436,95.8904669642,88.0495258395471,employment
Bulgaria,2007,111.35079609655881,NA,49.864,92.50004637616637,100.4373091472949,91.4164082859121,employment
Bulgaria,2008,115.64056184542552,NA,51.785,94.75581416625496,105.03538111460443,94.06689066252751,employment
Bulgaria,2009,112.57452937629799,NA,50.412,92.42277018975157,106.75396412563312,92.62472621012834,employment
Bulgaria,2010,107.19501574328399,100,48.003,87.06605724235499,103.56908079017902,88.08412239706385,employment
Bulgaria,2011,104.13568254393606,97.14601170760162,46.633,82.85597526740344,102.41376616448005,84.88803275221055,employment
Bulgaria,2012,104.17364507268708,97.18142616086494,46.65,82.22147804783475,105.55863662388785,84.80155333924542,employment
Bulgaria,2013,104.8592036801322,97.82096952273815,46.957,82.27389003749518,108.8883950306369,85.35279593666502,employment
Bulgaria,2014,106.74393157812466,99.57919296710622,47.801,83.31909849924178,110.0329932173005,87.16231347643736,employment
Bulgaria,2015,109.98414506152163,102.60192071328875,49.252,85.74213989763587,111.47714617369263,89.73956909531604,employment
Bulgaria,2016,110.02880686005226,102.6435847759515,49.272,85.05143961886348,109.49356926865116,89.30986324549653,employment
Bulgaria,2017,116.09834528036444,108.30573089181927,51.99,89.07583181989514,113.26187224913392,93.5926151137864,employment
Bulgaria,2018,117.08983720774435,109.23067308293231,52.434,89.1734693877551,112.61866060132164,93.59197833709034,employment
Bulgaria,2019,120.93521806123131,112.8179488781951,54.156,91.22085972240937,115.02575548693507,96.09813739258936,employment
Bulgaria,2020,118.06346441571202,110.13894964898027,52.87,90.94975142350897,115.20612099826991,95.22831749673486,employment
Bulgaria,2021,116.9714834416382,109.12026331687603,52.381,89.96461940093434,112.76728188503793,93.59992899441826,employment
Bulgaria,2022,121.14289542439876,113.01168676957691,54.249,91.90384224435861,113.44588200064531,95.52819081894239,employment
Bulgaria,2023,121.45329492418661,113.30125200508301,54.388,91.80803835181716,112.17474919110548,95.7033467956204,employment
Bulgaria,2024,121.37067059690494,113.22417348915694,54.351,92.41795612990988,111.4936083563281,96.30938780999709,employment
Croatia,2004,100,NA,45.687,89.06889694701135,94.99489304860433,86.28342743470796,employment
Croatia,2005,100.73762777157616,NA,46.024,88.84427542806401,94.63960265475734,86.51530774120033,employment
Croatia,2006,101.35705999518463,NA,46.307,87.4806362640269,93.76240241799084,86.09547263507555,employment
Croatia,2007,104.25503972683697,NA,47.631,88.35772719683901,95.93954500230235,87.32261637787342,employment
Croatia,2008,106.27311926806311,NA,48.553,88.84192420998698,98.47992390185166,88.19599772786903,employment
Croatia,2009,105.43261759362619,NA,48.169,88.31056925474378,102.00412001046618,88.50353957025455,employment
