year,region,country,REF_AREA,value,Measure,Price base,UNIT_MEASURE,pop,% of DE,% of W_EUR3,% of S_EUR4,% of G7,% of EU8,% of LAT_AM,rel_val,start_val,end_val,diff_end_start,country_val_str
2020,CEE,Slovakia,SVK,16.29113818,Statutory minimum wages,Constant prices,USD_PPP,5454981,53.33233215231837,54.93574513246101,68.65944676802071,71.91583384816856,54.1365470149973,259.90803766906004,160.3219133974941,35.07043313511466,49.82295672982639,14.752523594711725,Slovakia (+15%)
2021,CEE,Slovakia,SVK,16.96460429,Statutory minimum wages,Constant prices,USD_PPP,5442712,55.41270537873405,57.15595982857334,72.96744156631311,76.0028774518491,56.42620404362586,269.43426919083697,166.9495273904881,35.07043313511466,49.82295672982639,14.752523594711725,Slovakia (+15%)
2022,CEE,Slovakia,SVK,15.59834501,Statutory minimum wages,Constant prices,USD_PPP,5473145,51.22898831740025,52.712001379615415,68.89381131644716,72.14113474522924,52.37387535917482,241.2193369561948,153.5041008311829,35.07043313511466,49.82295672982639,14.752523594711725,Slovakia (+15%)
2023,CEE,Slovakia,SVK,15.29171702,Statutory minimum wages,Constant prices,USD_PPP,5518008,45.168465502291085,48.443920785494164,64.66251940809536,70.07701602078824,48.09952918819345,225.5211200303273,150.4865592994084,35.07043313511466,49.82295672982639,14.752523594711725,Slovakia (+15%)
2024,CEE,Slovakia,SVK,15.944301240000001,Statutory minimum wages,Constant prices,USD_PPP,5422069,46.822347592490765,50.38548310935205,65.58924246427412,71.79095907443937,49.82295672982639,218.71545089561536,156.90867355854922,35.07043313511466,49.82295672982639,14.752523594711725,Slovakia (+15%)
2010,CEE,Slovenia,SVN,19.15900738,Statutory minimum wages,Constant prices,USD_PPP,2044566,NA,69.74839638518041,101.77075389015774,88.2560394361026,66.12346363430937,380.7507524324119,100,66.12346363430937,78.23952437229953,12.116060737990153,Slovenia (+12%)
2011,CEE,Slovenia,SVN,19.73010679,Statutory minimum wages,Constant prices,USD_PPP,2048754,NA,71.91385542235447,106.84497073133542,92.14380523084274,68.42337478914416,390.83419404124453,102.98084028401267,66.12346363430937,78.23952437229953,12.116060737990153,Slovenia (+12%)
2012,CEE,Slovenia,SVN,19.67554562,Statutory minimum wages,Constant prices,USD_PPP,2053274,NA,70.80603564801967,112.27379541801693,92.39856533343507,67.78300541956708,369.8143075074133,102.69605950744199,66.12346363430937,78.23952437229953,12.116060737990153,Slovenia (+12%)
2013,CEE,Slovenia,SVN,19.856209330000002,Statutory minimum wages,Constant prices,USD_PPP,2056403,NA,71.1562112001878,114.40753222860413,93.64607930960666,68.23304356498747,365.0841842408642,103.63902960196053,66.12346363430937,78.23952437229953,12.116060737990153,Slovenia (+12%)
2014,CEE,Slovenia,SVN,19.94396468,Statutory minimum wages,Constant prices,USD_PPP,2058351,NA,71.08015464310512,114.50732109958379,94.7168676881798,68.25252804364321,364.1919454034276,104.09706664041174,66.12346363430937,78.23952437229953,12.116060737990153,Slovenia (+12%)
2015,CEE,Slovenia,SVN,20.10114303,Statutory minimum wages,Constant prices,USD_PPP,2059899,66.92480122281877,68.69434980997765,113.7412250113616,90.37732384245814,67.72563851973696,365.6028729604844,104.91745543656657,66.12346363430937,78.23952437229953,12.116060737990153,Slovenia (+12%)
2016,CEE,Slovenia,SVN,20.11219861,Statutory minimum wages,Constant prices,USD_PPP,2061329,67.29085994799412,68.79092501727007,112.06112353351557,89.63206576701697,67.73532077516447,357.3958261237807,104.97515978304301,66.12346363430937,78.23952437229953,12.116060737990153,Slovenia (+12%)
2017,CEE,Slovenia,SVN,20.1856562,Statutory minimum wages,Constant prices,USD_PPP,2062366,65.5516973473726,67.89339791482494,107.50755261794052,89.84051380899822,67.01971706379683,348.73970101748057,105.35856999080086,66.12346363430937,78.23952437229953,12.116060737990153,Slovenia (+12%)
2018,CEE,Slovenia,SVN,20.77314031,Statutory minimum wages,Constant prices,USD_PPP,2069431,68.62798757456936,70.74982956458028,108.47350326191605,92.62208364386039,69.7271291192449,357.0844844693071,108.4249298410156,66.12346363430937,78.23952437229953,12.116060737990153,Slovenia (+12%)
2019,CEE,Slovenia,SVN,21.50311226,Statutory minimum wages,Constant prices,USD_PPP,2083395,69.52743539813561,72.20712851884647,95.55655391445462,95.37475801620067,71.32065179352703,358.3005057599729,112.23500170706654,66.12346363430937,78.23952437229953,12.116060737990153,Slovenia (+12%)
2020,CEE,Slovenia,SVN,22.82414327,Statutory minimum wages,Constant prices,USD_PPP,2102370,74.71944418605024,76.96585123111977,96.19297513516291,100.75522514118866,75.8461619784376,364.13528773980255,119.13009279293884,66.12346363430937,78.23952437229953,12.116060737990153,Slovenia (+12%)
2021,CEE,Slovenia,SVN,24.386628130000002,Statutory minimum wages,Constant prices,USD_PPP,2113450,79.65579489201502,82.16172413607394,104.89073795396986,109.25417873264206,81.1126997881426,387.31191225653146,127.28544671608141,66.12346363430937,78.23952437229953,12.116060737990153,Slovenia (+12%)
2022,CEE,Slovenia,SVN,23.50525787,Statutory minimum wages,Constant prices,USD_PPP,2115184,77.19732959155199,79.43209260196099,103.81657795118961,108.70999289565209,78.92256807881972,363.4951473858816,122.68515484020865,66.12346363430937,78.23952437229953,12.116060737990153,Slovenia (+12%)
2023,CEE,Slovenia,SVN,24.50126046,Statutory minimum wages,Constant prices,USD_PPP,2118353,72.37148950655632,77.6196106242751,103.60597360946647,112.28138864584648,77.06780678075222,361.3427906014162,127.88376753576888,66.12346363430937,78.23952437229953,12.116060737990153,Slovenia (+12%)
2024,CEE,Slovenia,SVN,25.03814762,Statutory minimum wages,Constant prices,USD_PPP,2126324,73.52751514720725,79.1228881722366,102.99812518497474,112.73699637446084,78.23952437229953,343.4600026598142,130.68603776486464,66.12346363430937,78.23952437229953,12.116060737990153,Slovenia (+12%)
