country,year,rel_val-2004,rel_val-2010,value-2004,% of S_EUR4-2004,% of EU8-2004,var_name
Bulgaria,2004,100,NA,3.816059612,23.693208790975362,14.021089380219411,min_wage
Bulgaria,2005,117.88287651099724,NA,4.49848084,26.823859993074777,16.205154884875036,min_wage
Bulgaria,2006,117.0744540769506,NA,4.467630958,25.7666734680796,15.83299330622849,min_wage
Bulgaria,2007,122.4321350040797,NA,4.672083256,26.276258436243143,16.39945830085157,min_wage
Bulgaria,2008,133.670125617524,NA,5.100931676999999,28.27339372443016,17.879016053843177,min_wage
Bulgaria,2009,142.30892229573482,NA,5.430593308000001,28.775891403424378,18.621801105559346,min_wage
Bulgaria,2010,138.11297329911835,100,5.2704733930000005,27.996233830127977,18.189979722093025,min_wage
Bulgaria,2011,139.14598758631763,100.7479487715915,5.309893834,28.75480894851398,18.414540770681132,min_wage
Bulgaria,2012,154.0156030979738,111.51421870008859,5.877327226,33.537562175958854,20.247616554408264,min_wage
Bulgaria,2013,167.87139796913632,121.54643691984576,6.4060726180000005,36.91051737630998,22.01355881981263,min_wage
Bulgaria,2014,187.10427383124434,135.47190344387343,7.1400106260000005,40.99403015016883,24.434648942778587,min_wage
Bulgaria,2015,205.81250000137578,149.01750001112282,7.853927689,44.44102283956099,26.461792089709196,min_wage
Bulgaria,2016,236.75010132415093,171.4177138243263,9.034524998,50.338555296690785,30.427128364101417,min_wage
Bulgaria,2017,256.25938908943857,185.54331498927652,9.779011049000001,52.08240616432322,32.46793402077873,min_wage
Bulgaria,2018,276.82230688381605,200.43179164949822,10.56370425,55.1617131699955,35.458132917086445,min_wage
Bulgaria,2019,296.69492332867674,214.82045910785607,11.32205514,50.31348761641251,37.55253390594785,min_wage
Bulgaria,2020,319.2928389191002,231.18236563309028,12.18440507,51.351507921693084,40.48959689824609,min_wage
Bulgaria,2021,330.79826164937805,239.51280878802837,12.623458860000001,54.29548965517355,41.98706042265586,min_wage
Bulgaria,2022,319.7356703137372,231.50299546536388,12.20130378,53.88996844825998,40.96777978583438,min_wage
Bulgaria,2023,323.4252701710678,234.17443158696543,12.34210111,52.189780357448065,38.82162165358196,min_wage
Bulgaria,2024,377.08439288395476,273.02604807970044,14.38976522,59.19442851786955,44.96532266398779,min_wage
Croatia,2004,100,NA,10.42111966,64.70280578523577,38.289614170425,min_wage
Croatia,2005,103.53755433223765,NA,10.789772430000001,64.33801883647862,38.868662470662976,min_wage
Croatia,2006,104.51774967911653,NA,10.89191976,62.818201085722706,38.60025464799321,min_wage
Croatia,2007,107.83425789777372,NA,11.23753705,63.201020087442,39.444827961719355,min_wage
Croatia,2008,121.83673908605708,NA,12.69675237,70.3754336481778,44.502740642158464,min_wage
Croatia,2009,120.62874451246824,NA,12.570865809999999,66.61111390217557,43.10618556054394,min_wage
Croatia,2010,120.7762002609996,100,12.58623235,66.85682245904493,43.43885153241135,min_wage
Croatia,2011,118.17144876733907,97.84332386013833,12.31478808,66.68859859578075,42.70728836976178,min_wage
Croatia,2012,114.33957989884551,94.67062190378202,11.91546444,67.99274808864058,41.04922965349403,min_wage
Croatia,2013,115.12460255158418,95.32060315095009,11.99727259,69.12590050216669,41.22692351241948,min_wage
Croatia,2014,119.55537395681338,98.98918304968365,12.459008579999999,71.53280297789463,42.637401647386056,min_wage
Croatia,2015,120.3405013967568,99.63925105832007,12.540827649999999,70.96159145967508,42.25309769173969,min_wage
Croatia,2016,124.71910806175313,103.26463971563341,12.99712749,72.41737899871212,43.772668357259136,min_wage
Croatia,2017,129.26397795532077,107.02769061783609,13.47075382,71.74439912966382,44.725130593102065,min_wage
Croatia,2018,133.65601964501386,110.6642031759409,13.92845374,72.731813758174,46.75225208452895,min_wage
Croatia,2019,144.56365161821776,119.69547916378644,15.065151120000001,66.94723572203898,49.96748304407465,min_wage
Croatia,2020,156.58023045865303,129.64493842353068,16.31741318,68.7701834730868,54.2238606058037,min_wage
Croatia,2021,159.53459169856612,132.09108363552497,16.6252907,71.50800024202739,55.297608437337466,min_wage
Croatia,2022,158.99409382657447,131.64356345288667,16.568964769999997,73.18078500260332,55.63288253582094,min_wage
Croatia,2023,165.01928335021154,136.63228599144685,17.19685698,72.71858985966837,54.092076329483255,min_wage
Croatia,2024,190.37456374433378,157.6258926286229,19.83916109,81.6113247882792,61.99366467458472,min_wage
Czechia,2004,100,NA,10.35794649,64.31057524929471,38.05750127045445,min_wage
Czechia,2005,105.28358666969712,NA,10.905217570000001,65.02640328944895,39.28453761628349,min_wage
Czechia,2006,110.93475884523515,NA,11.49056296,66.27082374039055,40.721807181656885,min_wage
Czechia,2007,111.15743367776366,NA,11.5136275,64.75378009159263,40.41393180125897,min_wage
Czechia,2008,104.51187521050807,NA,10.82528411,60.00227785855278,37.94315247600669,min_wage
Czechia,2009,103.45726665363377,NA,10.71604832,56.782716959472275,36.745915065787756,min_wage
Czechia,2010,101.95572568554562,100.00000000000001,10.56051951,56.09643603594767,36.4475107675907,min_wage
Czechia,2011,100.03778577156947,98.1188502155421,10.36186032,56.112857086699314,35.934597807015784,min_wage
Czechia,2012,96.85361089367822,94.99575452230759,10.032045190000002,57.24546658271329,34.56077847172361,min_wage
Czechia,2013,97.96677951364856,96.08757022219639,10.1473466,58.466994574856074,34.86991555738335,min_wage
Czechia,2014,101.1000666986454,99.16075435572962,10.471890810000001,60.12386116502341,35.83705810992715,min_wage
Czechia,2015,109.08846614441238,106.99591946495065,11.29932495,63.93661592757904,38.07017322043029,min_wage
Czechia,2016,116.59180448228015,114.35532796056546,12.076516719999999,67.28792104019931,40.67216865435663,min_wage
Czechia,2017,126.44776117201198,124.02222663002304,13.097391439999999,69.75589425691118,43.48550574157676,min_wage
Czechia,2018,137.29095582535686,134.657425958394,14.22052374,74.25694937199626,47.73261433587591,min_wage
