country,region,start_yr,end_yr,start,end,pop_start,pop_end,mean_end,mean_start,scale_flag,scaling,change,log_change,mean_lin_diff,mean_log_diff,label_color,label_txt_linear,label_txt_log,label_final,x_text,mean_start_end_lin,mean_start_end_log,mean_label_val,mean_label_txt,region_lab,period_lab_T_F,period_lab,x_start,x_end,type_scale,sel_var
Georgia,ex-USSR/Balkans,2005,2023,14.98912,46.887165,3807436,4026093,32.228450630130936,14.341691389794603,FALSE,1,31.898045000000003,1.140419366033701,17.886759240336332,0.8096788450878547,black,$32,1.14,$32,30.9381425,14 → 32,2.66 → 3.47,18,+18 (14 → 32),"ex-USSR/Balkans
+18 (14 → 32)",FALSE,,14.98912,46.887165,linear,value
Romania,CEE,2005,2023,15.999725,47.077618,19118433,21213352,45.77661955120762,26.822660952896424,FALSE,1,31.077893000000003,1.0792261517876744,18.953958598311193,0.5345263824493995,black,$31,1.08,$31,31.5386715,27 → 46,3.29 → 3.82,19,+19 (27 → 46),"CEE
+19 (27 → 46)",FALSE,,15.999725,47.077618,linear,value
Kazakhstan,ex-USSR/Balkans,2005,2023,13.893486,37.569973,20330063,15968071,32.228450630130936,14.341691389794603,FALSE,1,23.676486999999998,0.994785043726801,17.886759240336332,0.8096788450878547,black,$24,0.99,$24,25.7317295,14 → 32,2.66 → 3.47,18,+18 (14 → 32),"ex-USSR/Balkans
+18 (14 → 32)",FALSE,,13.893486,37.569973,linear,value
Lithuania,CEE,2005,2023,26.430372,47.999832,2854061,3322225,45.77661955120762,26.822660952896424,FALSE,1,21.56946,0.5966837074697494,18.953958598311193,0.5345263824493995,black,$22,0.6,$22,37.215102,27 → 46,3.29 → 3.82,19,+19 (27 → 46),"CEE
+19 (27 → 46)",FALSE,,26.430372,47.999832,linear,value
Latvia,CEE,2005,2023,22.736782,43.99355,1882336,2239738,45.77661955120762,26.822660952896424,FALSE,1,21.256767999999997,0.6600590667080155,18.953958598311193,0.5345263824493995,black,$21,0.66,$21,33.365166,27 → 46,3.29 → 3.82,19,+19 (27 → 46),"CEE
+19 (27 → 46)",FALSE,,22.736782,43.99355,linear,value
Russia,ex-USSR/Balkans,2005,2023,16.024183,36.641933,145440454,144597838,32.228450630130936,14.341691389794603,FALSE,1,20.61775,0.827094276296819,17.886759240336332,0.8096788450878547,black,$21,0.83,$21,26.333058,14 → 32,2.66 → 3.47,18,+18 (14 → 32),"ex-USSR/Balkans
+18 (14 → 32)",FALSE,,16.024183,36.641933,linear,value
"South
Korea",Asia,2005,2023,33.5136,53.608574,51748695,47851594,19.409006059628425,7.743862430083926,FALSE,1,20.094974,0.4697576913739677,11.665143629544499,0.9188366031194388,black,$20,0.47,$20,43.561087,8 → 19,2.05 → 2.97,12,+12 (8 → 19),"Asia
+12 (8 → 19)",FALSE,,33.5136,53.608574,linear,value
Estonia,CEE,2005,2023,26.179033,46.154022,1367143,1354799,45.77661955120762,26.822660952896424,FALSE,1,19.974988999999997,0.5670252845405893,18.953958598311193,0.5345263824493995,black,$20,0.57,$20,36.1665275,27 → 46,3.29 → 3.82,19,+19 (27 → 46),"CEE
+19 (27 → 46)",FALSE,,26.179033,46.154022,linear,value
Belarus,ex-USSR/Balkans,2005,2023,15.565367,35.130318,9115626,9667778,32.228450630130936,14.341691389794603,FALSE,1,19.564951,0.8140161361717929,17.886759240336332,0.8096788450878547,black,$20,0.81,$20,25.347842500000002,14 → 32,2.66 → 3.47,18,+18 (14 → 32),"ex-USSR/Balkans
+18 (14 → 32)",FALSE,,15.565367,35.130318,linear,value
Uruguay,Latin America,2005,2023,19.504658,38.73502,3388029,3285727,23.15919863828814,17.107780762123383,FALSE,1,19.230362,0.6860907915733858,6.051417876164756,0.30285867564659485,black,$19,0.69,$19,29.119839,17 → 23,2.84 → 3.14,6,+6 (17 → 23),"Latin America
+6 (17 → 23)",FALSE,,19.504658,38.73502,linear,value
Poland,CEE,2005,2023,27.993326,46.688633,38762796,38124333,45.77661955120762,26.822660952896424,FALSE,1,18.695307000000003,0.5115346057154283,18.953958598311193,0.5345263824493995,black,$19,0.51,$19,37.3409795,27 → 46,3.29 → 3.82,19,+19 (27 → 46),"CEE
+19 (27 → 46)",FALSE,,27.993326,46.688633,linear,value
Spain,Southern Europe,2005,2023,46.64838,63.997158,47911535,43958840,61.39878314432743,47.82907161537171,FALSE,1,17.348777999999996,0.31620047612142055,13.569711528955722,0.24975636904707782,black,$17,0.32,$17,55.322769,48 → 61,3.87 → 4.12,14,+14 (48 → 61),"Southern Europe
+14 (48 → 61)",FALSE,,46.64838,63.997158,linear,value
Egypt,Africa,2005,2023,11.516994,28.79086,114535724,81100965,23.191506911659534,15.539268095484172,FALSE,1,17.273865999999998,0.9162342919434621,7.6522388161753625,0.4004158845264678,black,$17,0.92,$17,20.153927,16 → 23,2.74 → 3.14,8,+8 (16 → 23),"Africa
+8 (16 → 23)",FALSE,,11.516994,28.79086,linear,value
Azerbaijan,ex-USSR/Balkans,2005,2023,6.820282,23.42494,10318161,8597205,32.228450630130936,14.341691389794603,FALSE,1,16.604658,1.2339004467810113,17.886759240336332,0.8096788450878547,black,$17,1.23,$17,15.122611,14 → 32,2.66 → 3.47,18,+18 (14 → 32),"ex-USSR/Balkans
+18 (14 → 32)",FALSE,,6.820282,23.42494,linear,value
Bulgaria,CEE,2005,2023,21.04667,37.252995,6795757,7695001,45.77661955120762,26.822660952896424,FALSE,1,16.206325,0.5709899914380792,18.953958598311193,0.5345263824493995,black,$16,0.57,$16,29.1498325,27 → 46,3.29 → 3.82,19,+19 (27 → 46),"CEE
+19 (27 → 46)",FALSE,,21.04667,37.252995,linear,value
Czechia,CEE,2005,2023,35.115566,50.677856,10809674,10280103,45.77661955120762,26.822660952896424,FALSE,1,15.562289999999997,0.36684454195242777,18.953958598311193,0.5345263824493995,black,$16,0.37,$16,42.896710999999996,27 → 46,3.29 → 3.82,19,+19 (27 → 46),"CEE
+19 (27 → 46)",FALSE,,35.115566,50.677856,linear,value
Italy,Southern Europe,2005,2023,53.438343,67.24595,59499408,58519638,61.39878314432743,47.82907161537171,FALSE,1,13.80760699999999,0.22982827160899605,13.569711528955722,0.24975636904707782,black,$14,0.23,$14,60.3421465,48 → 61,3.87 → 4.12,14,+14 (48 → 61),"Southern Europe
+14 (48 → 61)",FALSE,,53.438343,67.24595,linear,value
Costa Rica,Latin America,2005,2023,14.271688,27.285439,5105469,4261187,23.15919863828814,17.107780762123383,FALSE,1,13.013751000000001,0.648075475323035,6.051417876164756,0.30285867564659485,black,$13,0.65,$13,20.7785635,17 → 23,2.84 → 3.14,6,+6 (17 → 23),"Latin America
+6 (17 → 23)",FALSE,,14.271688,27.285439,linear,value
Chile,Latin America,2005,2023,19.48057,32.017334,19658791,16348730,23.15919863828814,17.107780762123383,FALSE,1,12.536763999999998,0.4968598850734246,6.051417876164756,0.30285867564659485,black,$13,0.5,$13,25.748952,17 → 23,2.84 → 3.14,6,+6 (17 → 23),"Latin America
+6 (17 → 23)",FALSE,,19.48057,32.017334,linear,value
Croatia,CEE,2005,2023,29.038477,41.5619,3895973,4313901,45.77661955120762,26.822660952896424,FALSE,1,12.523423000000001,0.358562138543914,18.953958598311193,0.5345263824493995,black,$13,0.36,$13,35.300188500000004,27 → 46,3.29 → 3.82,19,+19 (27 → 46),"CEE
+19 (27 → 46)",FALSE,,29.038477,41.5619,linear,value
China,Asia,2005,2023,5.267778,17.692911,1422584878,1310027084,19.409006059628425,7.743862430083926,FALSE,1,12.425132999999999,1.2115554091172671,11.665143629544499,0.9188366031194388,black,$12,1.21,$12,11.4803445,8 → 19,2.05 → 2.97,12,+12 (8 → 19),"Asia
+12 (8 → 19)",FALSE,,5.267778,17.692911,linear,value
