22.1.1.28. A bevándorló külföldi állampolgárok az állampolgárság országa szerint;;;;;;;;;;;;;;;;;;;;;;;;
Ország;A bevándorlás éve 2000;A bevándorlás éve 2001;A bevándorlás éve 2002;A bevándorlás éve 2003;A bevándorlás éve 2004;A bevándorlás éve 2005;A bevándorlás éve 2006;A bevándorlás éve 2007;A bevándorlás éve 2008;A bevándorlás éve 2009;A bevándorlás éve 2010;A bevándorlás éve 2011;A bevándorlás éve 2012;A bevándorlás éve 2013;A bevándorlás éve 2014;A bevándorlás éve 2015;A bevándorlás éve 2016;A bevándorlás éve 2017;A bevándorlás éve 2018;A bevándorlás éve 2019;A bevándorlás éve 2020;A bevándorlás éve 2021;A bevándorlás éve 2022;A bevándorlás éve 2023
Együtt;2 217;1 676;1 357;2 400;2 681;2 067;4 744;4 354;5 022;4 113;4 091;3 824;3 960;5 103;8 695;8 060;6 187;10 256;11 152;12 546;10 293;11 635;18 526;37 720
Amerika;;;;;;;;;;;;;;;;;;;;;;;;
Egyesült Államok;365;534;398;514;439;394;566;431;1 209;1 271;1 125;998;1 045;1 039;1 051;1 188;1 132;1 405;1 260;1 379;650;854;952;907
Kanada;48;73;50;72;82;50;80;60;177;172;172;180;173;169;148;214;189;226;240;242;127;140;197;129
Egyéb amerikai;71;100;73;82;95;98;205;118;409;346;353;346;416;669;775;577;563;780;962;1 115;1 021;1 219;992;1 185
Együtt;484;707;521;668;616;542;851;609;1 795;1 789;1 650;1 524;1 634;1 877;1 974;1 979;1 884;2 411;2 462;2 736;1 798;2 213;2 141;2 221
Afrika;;;;;;;;;;;;;;;;;;;;;;;;
Nigéria;30;54;217;183;107;93;179;109;225;206;181;239;302;234;241;235;177;310;206;180;154;266;397;313
Egyéb afrikai;127;174;186;189;246;135;242;187;399;428;365;350;470;504;739;757;960;1 199;1 229;1 232;1 480;1 581;1 839;1 962
Együtt;157;228;403;372;353;228;421;296;624;634;546;589;772;738;980;992;1 137;1 509;1 435;1 412;1 634;1 847;2 236;2 275
Egyéb és ismeretlen;65;53;54;41;67;44;119;156;124;151;225;59;81;52;110;87;76;82;115;92;68;70;80;92
Összesen;20 184;20 308;17 972;19 365;22 164;25 582;23 569;22 607;35 547;25 582;23 884;22 514;20 340;21 250;26 004;25 787;23 803;36 453;49 312;55 297;43 785;49 069;55 514;61 347
