variable,init_yr,last_yr,country,unit,val_init,val_2010,val_prewar,val_last,unit_clean
gdp_per_cap,2004,2024,Bulgaria,usd_constant,13.056249882704606,16.352708534216777,21.01490667036195,22.81781967469643,constant price
gdp_per_cap,2004,2024,Bulgaria,usd_ppp_const,32.1058668076925,40.22047136646581,51.71645822803869,56.164996128943095,constant PPP/PPS
gdp_per_cap,2004,2024,Bulgaria,usd_ppp_current,29.273828583246555,38.10018906088035,51.71645822803869,59.08651402683398,current PPP/PPS
gdp_per_cap,2004,2024,Croatia,usd_constant,29.771995063063443,30.435345846410097,35.31386708034904,40.22891544898581,constant price
gdp_per_cap,2004,2024,Croatia,usd_ppp_const,51.96970226006141,53.138837008216655,61.69115927412562,70.29205791094056,constant PPP/PPS
gdp_per_cap,2004,2024,Croatia,usd_ppp_current,46.72784171687183,51.31054688947621,61.69115927412562,69.75987214013351,current PPP/PPS
gdp_per_cap,2004,2024,Czechia,usd_constant,38.38809762428079,42.393078873303345,46.73429113279128,46.0674333976889,constant price
gdp_per_cap,2004,2024,Czechia,usd_ppp_const,65.53264673653587,72.38483534953458,79.84213483647885,78.7192192518489,constant PPP/PPS
gdp_per_cap,2004,2024,Czechia,usd_ppp_current,66.77939404124498,71.72989409525937,79.84213483647885,80.64904029524112,current PPP/PPS
gdp_per_cap,2004,2024,Estonia,usd_constant,35.93532861320452,37.28535594334844,49.479522872095835,45.239852534550295,constant price
gdp_per_cap,2004,2024,Estonia,usd_ppp_const,53.64501868270369,55.67209791947076,73.92113836937423,67.60123097268158,constant PPP/PPS
gdp_per_cap,2004,2024,Estonia,usd_ppp_current,46.25667438153578,55.06855500858753,73.92113836937423,70.34823717374024,current PPP/PPS
gdp_per_cap,2004,2024,Hungary,usd_constant,29.038107052571036,28.7116445932981,36.214941811098214,37.21961847654217,constant price
gdp_per_cap,2004,2024,Hungary,usd_ppp_const,52.04655656938762,51.47226538982531,64.96012535879527,66.77613216260394,constant PPP/PPS
gdp_per_cap,2004,2024,Hungary,usd_ppp_current,51.70585522466239,55.26391851275433,64.96012535879527,68.35438968254553,current PPP/PPS
gdp_per_cap,2004,2024,Latvia,usd_constant,24.11360519876668,26.711021787832987,36.86229488549806,36.89546686080998,constant price
gdp_per_cap,2004,2024,Latvia,usd_ppp_const,40.30439687484709,44.65522642509136,61.660637780515565,61.728956291074006,constant PPP/PPS
gdp_per_cap,2004,2024,Latvia,usd_ppp_current,36.01493185760514,41.71587324808386,61.660637780515565,61.092443216282966,current PPP/PPS
gdp_per_cap,2004,2024,Lithuania,usd_constant,23.83010760784723,27.685892509890877,42.59581904932471,43.01934640625968,constant price
gdp_per_cap,2004,2024,Lithuania,usd_ppp_const,42.8376939804861,49.77945330193372,76.63063370242583,77.40865683600968,constant PPP/PPS
gdp_per_cap,2004,2024,Lithuania,usd_ppp_current,40.106288264621426,47.691698981367495,76.63063370242583,77.83401821638047,current PPP/PPS
gdp_per_cap,2004,2024,Poland,usd_constant,22.407239474101623,27.493287297057883,37.54690327382741,40.55854435159541,constant price
gdp_per_cap,2004,2024,Poland,usd_ppp_const,40.90097903393295,50.195355235794686,68.58905745917475,74.10599643229426,constant PPP/PPS
gdp_per_cap,2004,2024,Poland,usd_ppp_current,42.67726786303976,53.480281093940114,68.58905745917475,72.16970765014985,current PPP/PPS
gdp_per_cap,2004,2024,Romania,usd_constant,16.1757508478446,19.486515761128555,26.485345065798203,28.074540382751504,constant price
gdp_per_cap,2004,2024,Romania,usd_ppp_const,38.26400158185188,46.10538401808614,62.69991259112857,66.47590144381178,constant PPP/PPS
gdp_per_cap,2004,2024,Romania,usd_ppp_current,28.601951212689055,44.21593872934717,62.69991259112857,69.0921981786189,current PPP/PPS
gdp_per_cap,2004,2024,Slovakia,usd_constant,28.854297065304383,37.128175733635416,43.14346803215998,44.55947053882876,constant price
gdp_per_cap,2004,2024,Slovakia,usd_ppp_const,42.8076604105988,55.09423013233718,64.0562350929139,66.17236541046573,constant PPP/PPS
gdp_per_cap,2004,2024,Slovakia,usd_ppp_current,48.25436935533306,64.66708241075008,64.0562350929139,67.76293343994985,current PPP/PPS
gdp_per_cap,2004,2024,Slovenia,usd_constant,49.60230484632165,52.00364482820259,56.57842289828505,58.88626609650606,constant price
gdp_per_cap,2004,2024,Slovenia,usd_ppp_const,67.18953099799114,70.45714639156989,76.69833795962843,79.84347181228924,constant PPP/PPS
gdp_per_cap,2004,2024,Slovenia,usd_ppp_current,71.86915065141396,70.26638851643197,76.69833795962843,80.50958987044271,current PPP/PPS
gdp_per_hr_worked,2004,2023,Bulgaria,eur_constant,13.99768203724132,16.314230071775853,20.088953417369947,20.492285558065564,constant price
