variable,init_yr,last_yr,country,unit,val_init,val_2010,val_last,unit_clean
gdp_per_hr_worked,2004,2023,Poland,eur_constant,22.07080988652313,24.983933514648452,31.76754748765665,constant price
gdp_per_hr_worked,2004,2023,Poland,usd_ppp_const,41.44737637156248,46.94663620712169,59.94887176816017,constant PPP/PPS
gdp_per_hr_worked,2004,2023,Poland,usd_ppp_current,43.315108053858985,50.087249435040725,59.07120493284564,current PPP/PPS
gdp_per_hr_worked,2004,2023,Romania,eur_constant,14.806052693690653,18.469169250789182,26.886229053806325,constant price
gdp_per_hr_worked,2004,2023,Romania,usd_ppp_const,31.827187353674447,39.72781473958269,58.207705313408944,constant PPP/PPS
gdp_per_hr_worked,2004,2023,Romania,usd_ppp_current,24.094133361156103,38.5784146265558,65.66081614464376,current PPP/PPS
gdp_per_hr_worked,2004,2023,Slovakia,eur_constant,29.70390982437863,35.63008856086105,43.16471187321011,constant price
gdp_per_hr_worked,2004,2023,Slovakia,usd_ppp_const,43.579740429996704,52.308982044916824,63.78102299194339,constant PPP/PPS
gdp_per_hr_worked,2004,2023,Slovakia,usd_ppp_current,49.4215427844703,61.75650144654739,65.58279080201815,current PPP/PPS
gdp_per_hr_worked,2004,2023,Slovenia,eur_constant,41.845431662930345,45.854922432467866,50.90532409749205,constant price
gdp_per_hr_worked,2004,2023,Slovenia,usd_ppp_const,56.413859333936415,61.86030618969757,69.11822430849004,constant PPP/PPS
gdp_per_hr_worked,2004,2023,Slovenia,usd_ppp_current,60.20564579346285,61.540137464886584,71.44090830437813,current PPP/PPS
actual_indiv_consump,2004,2024,Austria,constant-PPS,102.02265064847823,101.95503396981582,101.69119943501552,constant PPP/PPS
actual_indiv_consump,2004,2024,Austria,constant-euro_2006,99.5818386374098,100.97628099907637,95.8531880284232,constant price
actual_indiv_consump,2004,2024,Austria,current-PPS,102.02265064847822,101.9550339698158,101.6911994350155,current PPP/PPS
actual_indiv_consump,2004,2024,Belgium,constant-PPS,94.52946161779904,96.56318121179672,100.68102195718424,constant PPP/PPS
actual_indiv_consump,2004,2024,Belgium,constant-euro_2006,95.14621809144796,96.97459569514456,98.37930123777258,constant price
actual_indiv_consump,2004,2024,Belgium,current-PPS,94.52946161779904,96.5631812117967,100.68102195718424,current PPP/PPS
actual_indiv_consump,2004,2024,Bulgaria,constant-PPS,32.85475190374723,38.72330617122813,64.65135858120192,constant PPP/PPS
actual_indiv_consump,2004,2024,Bulgaria,constant-euro_2006,11.928500926142656,13.601230610929388,26.40534859506916,constant price
actual_indiv_consump,2004,2024,Bulgaria,current-PPS,32.85475190374722,38.72330617122812,64.65135858120192,current PPP/PPS
actual_indiv_consump,2004,2024,Croatia,constant-PPS,49.57032743372389,51.9578538500023,70.03897179630208,constant PPP/PPS
actual_indiv_consump,2004,2024,Croatia,constant-euro_2006,30.325608282840555,30.629762417192808,41.5634896218775,constant price
actual_indiv_consump,2004,2024,Croatia,current-PPS,49.57032743372388,51.95785385000229,70.03897179630208,current PPP/PPS
actual_indiv_consump,2004,2024,Czechia,constant-PPS,61.674709714051815,65.68256996132367,72.3960525779084,constant PPP/PPS
actual_indiv_consump,2004,2024,Czechia,constant-euro_2006,32.901239606939484,34.38653128741045,36.51690005404396,constant price
actual_indiv_consump,2004,2024,Czechia,current-PPS,61.6747097140518,65.68256996132365,72.39605257790839,current PPP/PPS
actual_indiv_consump,2004,2024,Denmark,constant-PPS,94.52946161779904,100.97469710472144,93.27305378642151,constant PPP/PPS
actual_indiv_consump,2004,2024,Denmark,constant-euro_2006,125.7328448276576,127.10302678513838,122.73426305787916,constant price
actual_indiv_consump,2004,2024,Denmark,current-PPS,94.52946161779904,100.97469710472144,93.27305378642151,current PPP/PPS
actual_indiv_consump,2004,2024,Estonia,constant-PPS,46.111932496487334,50.97751698490791,65.99826188497696,constant PPP/PPS
actual_indiv_consump,2004,2024,Estonia,constant-euro_2006,25.197151474229145,27.015323225547277,38.401602857832025,constant price
actual_indiv_consump,2004,2024,Estonia,current-PPS,46.11193249648733,50.9775169849079,65.99826188497696,current PPP/PPS
actual_indiv_consump,2004,2024,Finland,constant-PPS,86.45987343091376,94.60250748160796,90.57924717887144,constant PPP/PPS
actual_indiv_consump,2004,2024,Finland,constant-euro_2006,96.96018410504075,102.0268379605604,103.34561835744998,constant price
actual_indiv_consump,2004,2024,Finland,current-PPS,86.45987343091375,94.60250748160792,90.57924717887144,current PPP/PPS
actual_indiv_consump,2004,2024,France,constant-PPS,95.68225993021122,95.58284434670232,93.60977961236529,constant PPP/PPS
