country,year,value,pop,year_end,value_end,era,start_val,end_val,diff_end_start,country_val_str,facet_id,var,start_year
Slovenia,2018,125.61307901907358,2069431,2022,168.1198910081744,2018-2022,100,168.1198910081744,68.11989100817439,Slovenia (+68%),rel_val-2006,rel_val,2006
Bulgaria,2010,100,7437542,2014,101.75438596491229,2010-2014,100,196.49122807017545,96.49122807017545,Bulgaria (+96%),rel_val-2010,rel_val,2010
Bulgaria,2014,101.75438596491229,7223406,2018,134.79532163742692,2014-2018,100,196.49122807017545,96.49122807017545,Bulgaria (+96%),rel_val-2010,rel_val,2010
Bulgaria,2018,134.79532163742692,7024687,2022,196.49122807017545,2018-2022,100,196.49122807017545,96.49122807017545,Bulgaria (+96%),rel_val-2010,rel_val,2010
Croatia,2010,100,4301108,2014,107.39130434782608,2010-2014,100,136.231884057971,36.231884057971,Croatia (+36%),rel_val-2010,rel_val,2010
Croatia,2014,107.39130434782608,4219439,2018,111.01449275362319,2014-2018,100,136.231884057971,36.231884057971,Croatia (+36%),rel_val-2010,rel_val,2010
Croatia,2018,111.01449275362319,4024820,2022,136.231884057971,2018-2022,100,136.231884057971,36.231884057971,Croatia (+36%),rel_val-2010,rel_val,2010
Czechia,2010,100,10463981,2014,112.77602523659306,2010-2014,100,161.04100946372242,61.04100946372242,Czechia (+61%),rel_val-2010,rel_val,2010
Czechia,2014,112.77602523659306,10517176,2018,132.49211356466878,2014-2018,100,161.04100946372242,61.04100946372242,Czechia (+61%),rel_val-2010,rel_val,2010
Czechia,2018,132.49211356466878,10548878,2022,161.04100946372242,2018-2022,100,161.04100946372242,61.04100946372242,Czechia (+61%),rel_val-2010,rel_val,2010
Estonia,2010,100,1331406,2014,108.89261744966443,2010-2014,100,175.33557046979865,75.33557046979865,Estonia (+75%),rel_val-2010,rel_val,2010
Estonia,2014,108.89261744966443,1314402,2018,131.8791946308725,2014-2018,100,175.33557046979865,75.33557046979865,Estonia (+75%),rel_val-2010,rel_val,2010
Estonia,2018,131.8791946308725,1321918,2022,175.33557046979865,2018-2022,100,175.33557046979865,75.33557046979865,Estonia (+75%),rel_val-2010,rel_val,2010
Hungary,2010,100,9979076,2014,110.8348134991119,2010-2014,100,157.37122557726465,57.37122557726465,Hungary (+57%),rel_val-2010,rel_val,2010
Hungary,2014,110.8348134991119,9862785,2018,120.42628774422735,2014-2018,100,157.37122557726465,57.37122557726465,Hungary (+57%),rel_val-2010,rel_val,2010
Hungary,2018,120.42628774422735,9774342,2022,157.37122557726465,2018-2022,100,157.37122557726465,57.37122557726465,Hungary (+57%),rel_val-2010,rel_val,2010
Latvia,2010,100,2097787,2014,152.22929936305732,2010-2014,100,284.3949044585987,184.39490445859872,Latvia (+184%),rel_val-2010,rel_val,2010
Latvia,2014,152.22929936305732,1994096,2018,204.77707006369425,2014-2018,100,284.3949044585987,184.39490445859872,Latvia (+184%),rel_val-2010,rel_val,2010
Latvia,2018,204.77707006369425,1927526,2022,284.3949044585987,2018-2022,100,284.3949044585987,184.39490445859872,Latvia (+184%),rel_val-2010,rel_val,2010
Lithuania,2010,100,3097660,2014,108.79120879120879,2010-2014,100,257.5824175824176,157.58241758241758,Lithuania (+158%),rel_val-2010,rel_val,2010
Lithuania,2014,108.79120879120879,2933118,2018,142.63736263736266,2014-2018,100,257.5824175824176,157.58241758241758,Lithuania (+158%),rel_val-2010,rel_val,2010
Lithuania,2018,142.63736263736266,2802430,2022,257.5824175824176,2018-2022,100,257.5824175824176,157.58241758241758,Lithuania (+158%),rel_val-2010,rel_val,2010
Poland,2010,100,38095304,2014,114.26448736998513,2010-2014,100,166.86478454680534,66.86478454680534,Poland (+67%),rel_val-2010,rel_val,2010
Poland,2014,114.26448736998513,38265064,2018,124.21991084695394,2014-2018,100,166.86478454680534,66.86478454680534,Poland (+67%),rel_val-2010,rel_val,2010
Poland,2018,124.21991084695394,38241017,2022,166.86478454680534,2018-2022,100,166.86478454680534,66.86478454680534,Poland (+67%),rel_val-2010,rel_val,2010
Romania,2010,100,20432524,2014,97.69820971867007,2010-2014,100,253.9641943734015,153.9641943734015,Romania (+154%),rel_val-2010,rel_val,2010
Romania,2014,97.69820971867007,19968125,2018,176.72634271099744,2014-2018,100,253.9641943734015,153.9641943734015,Romania (+154%),rel_val-2010,rel_val,2010
Romania,2018,176.72634271099744,19597823,2022,253.9641943734015,2018-2022,100,253.9641943734015,153.9641943734015,Romania (+154%),rel_val-2010,rel_val,2010
Slovakia,2010,100,5391807,2014,110.56218057921635,2010-2014,100,165.92844974446336,65.92844974446336,Slovakia (+66%),rel_val-2010,rel_val,2010
Slovakia,2014,110.56218057921635,5415184,2018,120.61328790459966,2014-2018,100,165.92844974446336,65.92844974446336,Slovakia (+66%),rel_val-2010,rel_val,2010
Slovakia,2018,120.61328790459966,5443188,2022,165.92844974446336,2018-2022,100,165.92844974446336,65.92844974446336,Slovakia (+66%),rel_val-2010,rel_val,2010
Slovenia,2010,100,2044566,2014,104.67289719626169,2010-2014,100,144.15887850467288,44.158878504672884,Slovenia (+44%),rel_val-2010,rel_val,2010
Slovenia,2014,104.67289719626169,2058351,2018,107.71028037383178,2014-2018,100,144.15887850467288,44.158878504672884,Slovenia (+44%),rel_val-2010,rel_val,2010
Slovenia,2018,107.71028037383178,2069431,2022,144.15887850467288,2018-2022,100,144.15887850467288,44.158878504672884,Slovenia (+44%),rel_val-2010,rel_val,2010
Bulgaria,2006,2.09,7640243,2010,3.42,2006-2010,2.09,6.72,4.63,Bulgaria (+4.6k PPS),value-2006,value,2006
Bulgaria,2010,3.42,7437542,2014,3.48,2010-2014,2.09,6.72,4.63,Bulgaria (+4.6k PPS),value-2006,value,2006
Bulgaria,2014,3.48,7223406,2018,4.61,2014-2018,2.09,6.72,4.63,Bulgaria (+4.6k PPS),value-2006,value,2006
Bulgaria,2018,4.61,7024687,2022,6.72,2018-2022,2.09,6.72,4.63,Bulgaria (+4.6k PPS),value-2006,value,2006
Czechia,2006,5.85,10304542,2010,6.34,2006-2010,5.85,10.21,4.360000000000001,Czechia (+4.4k PPS),value-2006,value,2006
Czechia,2010,6.34,10463981,2014,7.15,2010-2014,5.85,10.21,4.360000000000001,Czechia (+4.4k PPS),value-2006,value,2006
Czechia,2014,7.15,10517176,2018,8.4,2014-2018,5.85,10.21,4.360000000000001,Czechia (+4.4k PPS),value-2006,value,2006
Czechia,2018,8.4,10548878,2022,10.21,2018-2022,5.85,10.21,4.360000000000001,Czechia (+4.4k PPS),value-2006,value,2006
Estonia,2006,4.56,1346833,2010,5.96,2006-2010,4.56,10.45,5.89,Estonia (+5.9k PPS),value-2006,value,2006
Estonia,2010,5.96,1331406,2014,6.49,2010-2014,4.56,10.45,5.89,Estonia (+5.9k PPS),value-2006,value,2006
Estonia,2014,6.49,1314402,2018,7.86,2014-2018,4.56,10.45,5.89,Estonia (+5.9k PPS),value-2006,value,2006
Estonia,2018,7.86,1321918,2022,10.45,2018-2022,4.56,10.45,5.89,Estonia (+5.9k PPS),value-2006,value,2006
Hungary,2006,4.44,10049900,2010,5.63,2006-2010,4.44,8.86,4.419999999999999,Hungary (+4.4k PPS),value-2006,value,2006
Hungary,2010,5.63,9979076,2014,6.24,2010-2014,4.44,8.86,4.419999999999999,Hungary (+4.4k PPS),value-2006,value,2006
Hungary,2014,6.24,9862785,2018,6.78,2014-2018,4.44,8.86,4.419999999999999,Hungary (+4.4k PPS),value-2006,value,2006
Hungary,2018,6.78,9774342,2022,8.86,2018-2022,4.44,8.86,4.419999999999999,Hungary (+4.4k PPS),value-2006,value,2006
Latvia,2006,3.4,2218989,2010,3.14,2006-2010,3.4,8.93,5.529999999999999,Latvia (+5.5k PPS),value-2006,value,2006
Latvia,2010,3.14,2097787,2014,4.78,2010-2014,3.4,8.93,5.529999999999999,Latvia (+5.5k PPS),value-2006,value,2006
Latvia,2014,4.78,1994096,2018,6.43,2014-2018,3.4,8.93,5.529999999999999,Latvia (+5.5k PPS),value-2006,value,2006
Latvia,2018,6.43,1927526,2022,8.93,2018-2022,3.4,8.93,5.529999999999999,Latvia (+5.5k PPS),value-2006,value,2006
Lithuania,2006,3.96,3269761,2010,4.55,2006-2010,3.96,11.72,7.760000000000001,Lithuania (+7.8k PPS),value-2006,value,2006
Lithuania,2010,4.55,3097660,2014,4.95,2010-2014,3.96,11.72,7.760000000000001,Lithuania (+7.8k PPS),value-2006,value,2006
Lithuania,2014,4.95,2933118,2018,6.49,2014-2018,3.96,11.72,7.760000000000001,Lithuania (+7.8k PPS),value-2006,value,2006
Lithuania,2018,6.49,2802430,2022,11.72,2018-2022,3.96,11.72,7.760000000000001,Lithuania (+7.8k PPS),value-2006,value,2006
Poland,2006,5.42,38071124,2010,6.73,2006-2010,5.42,11.23,5.8100000000000005,Poland (+5.8k PPS),value-2006,value,2006
Poland,2010,6.73,38095304,2014,7.69,2010-2014,5.42,11.23,5.8100000000000005,Poland (+5.8k PPS),value-2006,value,2006
Poland,2014,7.69,38265064,2018,8.36,2014-2018,5.42,11.23,5.8100000000000005,Poland (+5.8k PPS),value-2006,value,2006
Poland,2018,8.36,38241017,2022,11.23,2018-2022,5.42,11.23,5.8100000000000005,Poland (+5.8k PPS),value-2006,value,2006
Romania,2006,2.78,21035673,2010,3.91,2006-2010,2.78,9.93,7.15,Romania (+7.2k PPS),value-2006,value,2006
Romania,2010,3.91,20432524,2014,3.82,2010-2014,2.78,9.93,7.15,Romania (+7.2k PPS),value-2006,value,2006
Romania,2014,3.82,19968125,2018,6.91,2014-2018,2.78,9.93,7.15,Romania (+7.2k PPS),value-2006,value,2006
Romania,2018,6.91,19597823,2022,9.93,2018-2022,2.78,9.93,7.15,Romania (+7.2k PPS),value-2006,value,2006
Slovakia,2006,3.7,5376793,2010,5.87,2006-2010,3.7,9.74,6.04,Slovakia (+6k PPS),value-2006,value,2006
Slovakia,2010,5.87,5391807,2014,6.49,2010-2014,3.7,9.74,6.04,Slovakia (+6k PPS),value-2006,value,2006
Slovakia,2014,6.49,5415184,2018,7.08,2014-2018,3.7,9.74,6.04,Slovakia (+6k PPS),value-2006,value,2006
Slovakia,2018,7.08,5443188,2022,9.74,2018-2022,3.7,9.74,6.04,Slovakia (+6k PPS),value-2006,value,2006
Slovenia,2006,7.34,2003069,2010,8.56,2006-2010,7.34,12.34,5,Slovenia (+5k PPS),value-2006,value,2006
Slovenia,2010,8.56,2044566,2014,8.96,2010-2014,7.34,12.34,5,Slovenia (+5k PPS),value-2006,value,2006
Slovenia,2014,8.96,2058351,2018,9.22,2014-2018,7.34,12.34,5,Slovenia (+5k PPS),value-2006,value,2006
Slovenia,2018,9.22,2069431,2022,12.34,2018-2022,7.34,12.34,5,Slovenia (+5k PPS),value-2006,value,2006
Bulgaria,2010,3.42,7437542,2014,3.48,2010-2014,3.42,6.72,3.3,Bulgaria (+3.3k PPS),value-2010,value,2010
Bulgaria,2014,3.48,7223406,2018,4.61,2014-2018,3.42,6.72,3.3,Bulgaria (+3.3k PPS),value-2010,value,2010
Bulgaria,2018,4.61,7024687,2022,6.72,2018-2022,3.42,6.72,3.3,Bulgaria (+3.3k PPS),value-2010,value,2010
