variable,init_yr,last_yr,country,unit,val_init,val_2010,val_prewar,val_last
actual_indiv_consump,2004,2024,Austria,constant-PPS,102.02265064847825,101.95503396981582,101.13508794332473,101.69119943501552
actual_indiv_consump,2004,2024,Austria,constant-euro_2006,99.5818386374098,100.97628099907637,96.19660605280798,95.8531880284232
actual_indiv_consump,2004,2024,Austria,current-PPS,102.02265064847822,101.9550339698158,101.13508794332473,101.6911994350155
actual_indiv_consump,2004,2024,Belgium,constant-PPS,94.52946161779904,96.56318121179672,98.31458748275392,100.68102195718424
actual_indiv_consump,2004,2024,Belgium,constant-euro_2006,95.14621809144795,96.97459569514457,95.56331053947112,98.37930123777258
actual_indiv_consump,2004,2024,Belgium,current-PPS,94.52946161779903,96.5631812117967,98.31458748275392,100.68102195718423
actual_indiv_consump,2004,2024,Bulgaria,constant-PPS,32.85475190374723,38.72330617122813,58.02172376031379,64.65135858120192
actual_indiv_consump,2004,2024,Bulgaria,constant-euro_2006,11.928500926142657,13.601230610929388,22.83847669212878,26.40534859506916
actual_indiv_consump,2004,2024,Bulgaria,current-PPS,32.85475190374722,38.72330617122812,58.02172376031379,64.65135858120192
actual_indiv_consump,2004,2024,Croatia,constant-PPS,49.57032743372389,51.9578538500023,64.46858195590421,70.03897179630208
actual_indiv_consump,2004,2024,Croatia,constant-euro_2006,30.325608282840555,30.629762417192808,35.784553976456706,41.5634896218775
actual_indiv_consump,2004,2024,Croatia,current-PPS,49.57032743372388,51.95785385000229,64.46858195590421,70.03897179630208
actual_indiv_consump,2004,2024,Czechia,constant-PPS,61.674709714051815,65.68256996132367,74.94472652373865,72.3960525779084
actual_indiv_consump,2004,2024,Czechia,constant-euro_2006,32.901239606939484,34.38653128741045,40.2379941352557,36.51690005404396
actual_indiv_consump,2004,2024,Czechia,current-PPS,61.6747097140518,65.68256996132365,74.94472652373865,72.39605257790839
actual_indiv_consump,2004,2024,Denmark,constant-PPS,94.52946161779904,100.97469710472144,105.16437431556875,93.27305378642153
actual_indiv_consump,2004,2024,Denmark,constant-euro_2006,125.7328448276576,127.10302678513838,134.05689851424412,122.73426305787916
actual_indiv_consump,2004,2024,Denmark,current-PPS,94.52946161779903,100.97469710472143,105.16437431556875,93.27305378642151
actual_indiv_consump,2004,2024,Estonia,constant-PPS,46.111932496487334,50.97751698490791,68.09493969092384,65.99826188497696
actual_indiv_consump,2004,2024,Estonia,constant-euro_2006,25.197151474229145,27.015323225547277,40.75323882712646,38.401602857832025
actual_indiv_consump,2004,2024,Estonia,current-PPS,46.11193249648733,50.9775169849079,68.09493969092382,65.99826188497696
actual_indiv_consump,2004,2024,Finland,constant-PPS,86.45987343091376,94.60250748160796,94.68822974773433,90.57924717887144
actual_indiv_consump,2004,2024,Finland,constant-euro_2006,96.96018410504075,102.0268379605604,104.68328064420089,103.34561835744998
