variable,init_yr,last_yr,country,series,val_init,val_2010,val_prewar,val_last
gdp_per_hr_worked,2004,2023,Bulgaria,eur_constant,13.99768203724132,16.314230071775853,20.088953417369947,20.492285558065564
gdp_per_hr_worked,2004,2023,Bulgaria,usd_ppp_const,29.094111650213275,33.931566121773436,41.83857595558569,42.897401868595416
gdp_per_hr_worked,2004,2023,Bulgaria,usd_ppp_current,27.155766960569338,32.897181907761684,42.77658046834449,45.65262213559762
gdp_per_hr_worked,2004,2023,Czechia,eur_constant,33.66323106978851,37.368764934709354,41.935063132238675,41.24539793276869
gdp_per_hr_worked,2004,2023,Czechia,usd_ppp_const,52.59412514350503,58.42228345550738,65.64918600736553,64.2974110339625
gdp_per_hr_worked,2004,2023,Czechia,usd_ppp_current,52.924862921416754,57.15866160255243,64.77115872978223,65.6400286756962
gdp_per_hr_worked,2004,2023,Estonia,eur_constant,31.93898207519109,38.112329823458595,43.984175310412134,40.36122224061077
gdp_per_hr_worked,2004,2023,Estonia,usd_ppp_const,44.49048838450851,53.1086034922682,66.72849437145193,61.41997486954013
gdp_per_hr_worked,2004,2023,Estonia,usd_ppp_current,37.87794710788927,51.858310954336964,66.50243011138237,63.16075091194926
gdp_per_hr_worked,2004,2023,Hungary,eur_constant,26.454045438869255,29.11675679163432,31.511861461011375,32.42804903823601
gdp_per_hr_worked,2004,2023,Hungary,usd_ppp_const,47.00810509067406,51.774032717251835,56.10806812444304,58.035413790669345
gdp_per_hr_worked,2004,2023,Hungary,usd_ppp_current,46.52030983264618,55.362500750095926,55.84213557302591,59.70242596712024
gdp_per_hr_worked,2004,2023,Latvia,eur_constant,22.88360329064471,28.966159258089032,35.89797125140591,38.99072799814446
gdp_per_hr_worked,2004,2023,Latvia,usd_ppp_const,34.95855035571077,44.27360344254502,55.07697838086708,57.14453086046356
gdp_per_hr_worked,2004,2023,Latvia,usd_ppp_current,33.2931359977223,44.92855073361459,56.451070084654106,58.052834992432224
gdp_per_hr_worked,2004,2023,Lithuania,eur_constant,24.372370754026953,29.622639104730414,39.58546508938933,38.018721213138456
gdp_per_hr_worked,2004,2023,Lithuania,usd_ppp_const,40.33203831368622,49.057951277399724,65.69332814600958,63.4129477624093
gdp_per_hr_worked,2004,2023,Lithuania,usd_ppp_current,40.205717269022024,51.007141341008435,67.26712814330604,65.87202781449778
gdp_per_hr_worked,2004,2023,Poland,eur_constant,22.07080988652313,24.983933514648452,29.8664769450483,31.76754748765665
gdp_per_hr_worked,2004,2023,Poland,usd_ppp_const,41.447376371562484,46.94663620712169,56.19818377559472,59.94887176816017
gdp_per_hr_worked,2004,2023,Poland,usd_ppp_current,43.315108053858985,50.087249435040725,56.236243017190596,59.07120493284564
gdp_per_hr_worked,2004,2023,Romania,eur_constant,14.806052693690653,18.469169250789186,24.935878493501114,26.886229053806325
gdp_per_hr_worked,2004,2023,Romania,usd_ppp_const,31.827187353674447,39.72781473958269,53.709888475376,58.207705313408944
gdp_per_hr_worked,2004,2023,Romania,usd_ppp_current,24.094133361156103,38.5784146265558,57.260351886878816,65.66081614464376
gdp_per_hr_worked,2004,2023,Slovakia,eur_constant,29.703909824378634,35.63008856086105,44.06905849187868,43.164711873210116
gdp_per_hr_worked,2004,2023,Slovakia,usd_ppp_const,43.579740429996704,52.308982044916824,64.78513956540338,63.78102299194339
gdp_per_hr_worked,2004,2023,Slovakia,usd_ppp_current,49.4215427844703,61.75650144654739,65.09188009273805,65.58279080201815
gdp_per_hr_worked,2004,2023,Slovenia,eur_constant,41.845431662930345,45.854922432467866,50.25705224296046,50.90532409749205
gdp_per_hr_worked,2004,2023,Slovenia,usd_ppp_const,56.413859333936415,61.86030618969757,67.88993145121141,69.11822430849004
gdp_per_hr_worked,2004,2023,Slovenia,usd_ppp_current,60.20564579346285,61.540137464886584,67.69240151584769,71.44090830437813
