megye,telepules,AL,B,C,EL,FL,IL,JL,OL,KL,L,M,NL,MKKP,TISZA,Mi_Hazank,DK,FIDESZ_KDNP,reszvetel_pct
Baranya,Dunaszekcső,1442,0,0,1442,1006,0,1006,0,1002,0,32,970,4,360,41,7,431,69.7642
Baranya,Egerág,761,0,0,761,625,0,625,0,625,0,0,625,5,338,51,8,221,82.1288
Baranya,Egyházasharaszti,250,0,0,250,179,0,179,0,179,0,0,179,1,64,0,0,106,71.6
Baranya,Egyházaskozár,551,0,0,551,405,0,405,0,405,0,2,403,5,210,28,14,136,73.5027
Baranya,Ellend,173,0,0,173,133,0,133,0,133,0,1,132,0,70,12,0,49,76.8786
Baranya,Endrőc,279,0,0,279,187,0,187,0,187,0,9,178,1,77,7,1,79,67.0251
Baranya,Erdősmecske,270,0,0,270,199,0,199,0,205,0,20,185,0,53,6,0,109,73.7037
Baranya,Erdősmárok,56,0,0,56,46,0,46,0,46,0,1,45,0,17,4,0,24,82.1429
Baranya,Erzsébet,218,0,0,218,160,0,160,0,160,0,2,158,1,89,12,0,47,73.3945
Baranya,Fazekasboda,145,0,0,145,102,0,102,0,102,0,4,98,0,32,3,0,39,70.3448
Baranya,Feked,149,0,0,149,134,0,134,0,134,0,2,132,1,57,5,0,39,89.9329
Baranya,Felsőegerszeg,100,0,0,100,81,0,81,0,81,0,1,80,1,41,2,1,34,81.0
Baranya,Felsőszentmárton,619,0,0,619,467,0,467,0,467,0,8,459,2,140,27,3,218,75.4443
Baranya,Garé,238,0,0,238,196,0,196,0,196,0,0,196,2,98,7,2,86,82.3529
Baranya,Gerde,382,0,0,382,245,0,245,0,245,0,0,245,0,115,15,0,112,64.1361
Baranya,Geresdlak,550,0,0,550,421,0,421,0,421,0,4,417,2,167,16,4,177,76.5455
Baranya,Gerényes,150,0,0,150,91,0,91,0,91,0,3,88,0,40,1,0,36,60.6667
Baranya,Gilvánfa,255,0,0,255,133,0,133,0,133,0,20,113,0,29,0,0,55,52.1569
Baranya,Gordisa,213,0,0,213,142,0,142,0,142,0,2,140,0,49,4,2,72,66.6667
Baranya,Gyód,627,0,0,627,510,0,510,0,510,0,1,509,3,248,38,14,194,81.3397
Baranya,Gyöngyfa,104,0,0,104,72,0,72,0,74,0,7,67,0,13,0,0,38,69.2308
Baranya,Gyöngyösmellék,225,0,0,225,152,0,152,0,152,0,9,143,0,57,0,0,64,67.5556
Baranya,Gödre,598,0,0,598,431,0,431,0,431,0,13,418,2,142,15,4,201,72.0736
Baranya,Görcsöny,1281,0,0,1281,980,0,980,0,980,0,9,971,8,485,69,8,380,76.5027
Baranya,Görcsönydoboka,275,0,0,275,206,0,206,0,206,0,2,204,1,82,16,0,69,74.9091
Baranya,Harkány,4154,0,0,4154,3274,0,3274,1,3260,0,17,3243,25,1659,224,32,1239,78.8156
Baranya,Hegyhátmaróc,100,0,0,100,79,0,79,0,79,0,1,78,1,32,11,2,28,79.0
Baranya,Hegyszentmárton,331,0,0,331,239,0,239,0,239,0,3,236,1,110,6,1,112,72.2054
Baranya,Helesfa,280,0,0,280,182,0,182,0,182,0,4,178,1,92,8,3,71,65.0
Baranya,Hetvehely,371,0,0,371,284,0,284,0,284,0,4,280,2,125,13,3,112,76.5499
Baranya,Hidas,1553,0,0,1553,1172,0,1172,1,1171,0,7,1164,4,522,98,7,498,75.4668
Baranya,Himesháza,771,0,0,771,618,0,618,0,618,0,12,606,2,260,40,1,193,80.1556
Baranya,Hirics,171,0,0,171,99,0,99,0,98,0,3,95,0,24,2,0,60,57.8947
Baranya,Hobol,751,0,0,751,579,0,579,0,578,0,3,575,9,349,32,3,176,77.0972
Baranya,Homorúd,436,0,0,436,328,0,328,0,328,0,4,324,2,111,36,3,169,75.2294
