megye,telepules,AL,B,C,EL,FL,IL,JL,OL,KL,L,M,NL,reszvetel_pct,part,szavazat,szavazat_pct
Baranya,Geresdlak,550,0,0,550,421,0,421,0,421,0,4,417,76.5455,Mi_Hazank,16,3.8369
Baranya,Geresdlak,550,0,0,550,421,0,421,0,421,0,4,417,76.5455,TISZA,167,40.048
Baranya,Gerényes,150,0,0,150,91,0,91,0,91,0,3,88,60.6667,DK,0,0.0
Baranya,Gerényes,150,0,0,150,91,0,91,0,91,0,3,88,60.6667,FIDESZ_KDNP,36,40.9091
Baranya,Gerényes,150,0,0,150,91,0,91,0,91,0,3,88,60.6667,MKKP,0,0.0
Baranya,Gerényes,150,0,0,150,91,0,91,0,91,0,3,88,60.6667,Mi_Hazank,1,1.1364
Baranya,Gerényes,150,0,0,150,91,0,91,0,91,0,3,88,60.6667,TISZA,40,45.4545
Baranya,Gilvánfa,255,0,0,255,133,0,133,0,133,0,20,113,52.1569,DK,0,0.0
Baranya,Gilvánfa,255,0,0,255,133,0,133,0,133,0,20,113,52.1569,FIDESZ_KDNP,55,48.6726
Baranya,Gilvánfa,255,0,0,255,133,0,133,0,133,0,20,113,52.1569,MKKP,0,0.0
Baranya,Gilvánfa,255,0,0,255,133,0,133,0,133,0,20,113,52.1569,Mi_Hazank,0,0.0
Baranya,Gilvánfa,255,0,0,255,133,0,133,0,133,0,20,113,52.1569,TISZA,29,25.6637
Baranya,Gordisa,213,0,0,213,142,0,142,0,142,0,2,140,66.6667,DK,2,1.4286
Baranya,Gordisa,213,0,0,213,142,0,142,0,142,0,2,140,66.6667,FIDESZ_KDNP,72,51.4286
Baranya,Gordisa,213,0,0,213,142,0,142,0,142,0,2,140,66.6667,MKKP,0,0.0
Baranya,Gordisa,213,0,0,213,142,0,142,0,142,0,2,140,66.6667,Mi_Hazank,4,2.8571
Baranya,Gordisa,213,0,0,213,142,0,142,0,142,0,2,140,66.6667,TISZA,49,35.0
Baranya,Gyód,627,0,0,627,510,0,510,0,510,0,1,509,81.3397,DK,14,2.7505
Baranya,Gyód,627,0,0,627,510,0,510,0,510,0,1,509,81.3397,FIDESZ_KDNP,194,38.1139
Baranya,Gyód,627,0,0,627,510,0,510,0,510,0,1,509,81.3397,MKKP,3,0.5894
Baranya,Gyód,627,0,0,627,510,0,510,0,510,0,1,509,81.3397,Mi_Hazank,38,7.4656
Baranya,Gyód,627,0,0,627,510,0,510,0,510,0,1,509,81.3397,TISZA,248,48.723
Baranya,Gyöngyfa,104,0,0,104,72,0,72,0,74,0,7,67,69.2308,DK,0,0.0
Baranya,Gyöngyfa,104,0,0,104,72,0,72,0,74,0,7,67,69.2308,FIDESZ_KDNP,38,56.7164
Baranya,Gyöngyfa,104,0,0,104,72,0,72,0,74,0,7,67,69.2308,MKKP,0,0.0
Baranya,Gyöngyfa,104,0,0,104,72,0,72,0,74,0,7,67,69.2308,Mi_Hazank,0,0.0
Baranya,Gyöngyfa,104,0,0,104,72,0,72,0,74,0,7,67,69.2308,TISZA,13,19.403
Baranya,Gyöngyösmellék,225,0,0,225,152,0,152,0,152,0,9,143,67.5556,DK,0,0.0
Baranya,Gyöngyösmellék,225,0,0,225,152,0,152,0,152,0,9,143,67.5556,FIDESZ_KDNP,64,44.7552
Baranya,Gyöngyösmellék,225,0,0,225,152,0,152,0,152,0,9,143,67.5556,MKKP,0,0.0
Baranya,Gyöngyösmellék,225,0,0,225,152,0,152,0,152,0,9,143,67.5556,Mi_Hazank,0,0.0
Baranya,Gyöngyösmellék,225,0,0,225,152,0,152,0,152,0,9,143,67.5556,TISZA,57,39.8601
Baranya,Gödre,598,0,0,598,431,0,431,0,431,0,13,418,72.0736,DK,4,0.9569
Baranya,Gödre,598,0,0,598,431,0,431,0,431,0,13,418,72.0736,FIDESZ_KDNP,201,48.0861
Baranya,Gödre,598,0,0,598,431,0,431,0,431,0,13,418,72.0736,MKKP,2,0.4785
Baranya,Gödre,598,0,0,598,431,0,431,0,431,0,13,418,72.0736,Mi_Hazank,15,3.5885
Baranya,Gödre,598,0,0,598,431,0,431,0,431,0,13,418,72.0736,TISZA,142,33.9713
Baranya,Görcsöny,1281,0,0,1281,980,0,980,0,980,0,9,971,76.5027,DK,8,0.8239
Baranya,Görcsöny,1281,0,0,1281,980,0,980,0,980,0,9,971,76.5027,FIDESZ_KDNP,380,39.1349
Baranya,Görcsöny,1281,0,0,1281,980,0,980,0,980,0,9,971,76.5027,MKKP,8,0.8239
Baranya,Görcsöny,1281,0,0,1281,980,0,980,0,980,0,9,971,76.5027,Mi_Hazank,69,7.1061
Baranya,Görcsöny,1281,0,0,1281,980,0,980,0,980,0,9,971,76.5027,TISZA,485,49.9485
Baranya,Görcsönydoboka,275,0,0,275,206,0,206,0,206,0,2,204,74.9091,DK,0,0.0
Baranya,Görcsönydoboka,275,0,0,275,206,0,206,0,206,0,2,204,74.9091,FIDESZ_KDNP,69,33.8235
