country,region,start_yr,end_yr,start,end,scale_for_log,scaling,change,label_color,label_txt_linear,label_txt_log,label_final,sel_var,scale_type
Poland,CEE,1990,2024,30.25819134967237,71.80128262246758,100,1,41.54309127279521,black,+42%,41.54,+42%,% of DE,linear
China,Asia,1990,2024,3.933889296840227,37.952725042338194,100,1,34.01883574549797,black,+34%,34.02,+34%,% of DE,linear
Panama,Latin America,1990,2024,26.75239826921417,57.975690294834806,100,1,31.223292025620637,black,+31%,31.22,+31%,% of DE,linear
Lithuania,CEE,1990,2024,48.58275438909318,75.07426638260425,100,1,26.491511993511068,black,+26%,26.49,+26%,% of DE,linear
Romania,CEE,1990,2024,38.50524347279481,64.6361387772977,100,1,26.130895304502893,black,+26%,26.13,+26%,% of DE,linear
Malaysia,Asia,1990,2024,28.351891135223298,54.228960020464626,100,1,25.87706888524133,black,+26%,25.88,+26%,% of DE,linear
Slovakia,CEE,1990,2024,41.34890567182747,64.21567055835206,100,1,22.866764886524592,black,+23%,22.87,+23%,% of DE,linear
Chile,Latin America,1990,2024,25.84787221785107,48.038970428891524,100,1,22.191098211040455,black,+22%,22.19,+22%,% of DE,linear
Dominican Republic,Latin America,1990,2024,17.293170503538853,38.56365874731082,100,1,21.270488243771965,black,+21%,21.27,+21%,% of DE,linear
Latvia,CEE,1990,2024,41.32010369216002,61.97066975215436,100,1,20.65056605999434,black,+21%,20.65,+21%,% of DE,linear
Estonia,CEE,1990,2024,45.68896516180332,66.12486881980247,100,1,20.435903657999155,black,+20%,20.44,+20%,% of DE,linear
Bulgaria,CEE,1990,2024,35.29344014109946,54.25004928132255,100,1,18.956609140223094,black,+19%,18.96,+19%,% of DE,linear
Uruguay,Latin America,1990,2024,33.183087764426844,50.992959975919746,100,1,17.809872211492902,black,+18%,17.81,+18%,% of DE,linear
Kazakhstan,ex-USSR/Balkans,1990,2024,39.73634237139838,57.14715593236664,100,1,17.410813560968258,black,+17%,17.41,+17%,% of DE,linear
Slovenia,CEE,1990,2024,59.828415621894564,77.1861326506189,100,1,17.357717028724338,black,+17%,17.36,+17%,% of DE,linear
Costa Rica,Latin America,1990,2024,25.849690453151403,42.93096249550708,100,1,17.08127204235568,black,+17%,17.08,+17%,% of DE,linear
Belarus,ex-USSR/Balkans,1990,2024,29.149414415737823,46.21617606175536,100,1,17.06676164601754,black,+17%,17.07,+17%,% of DE,linear
Israel,Asia,1990,2024,59.79032791386606,75.34457450740442,100,1,15.554246593538359,black,+16%,15.55,+16%,% of DE,linear
Hungary,CEE,1990,2024,50.26015274694435,64.7816101640311,100,1,14.521457417086744,black,+15%,14.52,+15%,% of DE,linear
Thailand,Asia,1990,2024,20.53629817324323,34.596925909060225,100,1,14.060627735816993,black,+14%,14.06,+14%,% of DE,linear
Croatia,CEE,1990,2024,55.22243662027176,67.85596865333798,100,1,12.633532033066224,black,+13%,12.63,+13%,% of DE,linear
Czechia,CEE,1990,2024,65.88579677380272,76.33608982395403,100,1,10.450293050151302,black,+10%,10.45,+10%,% of DE,linear
Azerbaijan,ex-USSR/Balkans,1990,2024,25.431130784542816,35.12999760756625,100,1,9.698866823023437,black,+10%,9.7,+10%,% of DE,linear
Georgia,ex-USSR/Balkans,1990,2024,30.483876574510482,39.79104538308044,100,1,9.307168808569955,black,+9%,9.31,+9%,% of DE,linear
