country,year,rel_val-2004,rel_val-2010,value-2004,% of DE-2004,% of S_EUR4-2004,% of EU8-2004,var_name
Bulgaria,2004,100,NA,19.960627,31.23974312973392,42.99672111781538,31.581805998978563,per_hr_work
Bulgaria,2005,105.44092627952018,NA,21.04667,31.188839178905777,44.08409115711203,31.562466551586294,per_hr_work
Bulgaria,2006,109.50294797853795,NA,21.857475,32.18275052660066,44.62942206398279,32.561076492372926,per_hr_work
Bulgaria,2007,115.08803806613892,NA,22.972294,32.515015284918874,44.871854836613096,33.07628117645394,per_hr_work
Bulgaria,2008,117.02078296438283,NA,23.358082,32.59317130945864,44.71308322622522,33.09685679834221,per_hr_work
Bulgaria,2009,122.73389508255427,NA,24.498455,35.563217533162245,46.122944451770536,35.629540276662524,per_hr_work
Bulgaria,2010,131.9018485741956,100,26.328436,37.08296231735944,48.9048616138943,37.25231276164722,per_hr_work
Bulgaria,2011,133.43506694454038,101.1623933909329,26.634476,35.97517662626193,48.492386267658006,36.421501934646386,per_hr_work
Bulgaria,2012,138.39138920836504,104.91997701648513,27.623789,37.450840989569834,49.432758521895494,37.58615299013815,per_hr_work
Bulgaria,2013,129.9052730157224,98.48631722750261,25.929907,35.091456336524075,46.57614906717333,35.24643554435637,per_hr_work
Bulgaria,2014,132.48924495207493,100.44532838942655,26.445684,34.94821401999655,47.69429088969869,35.60917078766438,per_hr_work
Bulgaria,2015,135.00147064518566,102.34994589120295,26.94714,36.36604638365455,47.987342801608655,36.510325881833445,per_hr_work
Bulgaria,2016,142.7807052353616,108.24769082371623,28.499924,37.48555191177483,49.6296773906848,38.157733519880985,per_hr_work
Bulgaria,2017,142.41071184787936,107.96718422621079,28.426071,36.35268719681659,48.642724358249396,37.10463965620812,per_hr_work
Bulgaria,2018,145.4917673678287,110.30305408190597,29.041069,36.94808006191375,50.666680037474585,37.91446162108711,per_hr_work
Bulgaria,2019,153.45969342546204,116.34385346702706,30.631517,37.761362596220906,50.87405928269784,38.064566947134075,per_hr_work
Bulgaria,2020,156.86087916977758,118.92242668725176,31.310415,38.164592649872354,51.482931968976665,38.08766923967743,per_hr_work
Bulgaria,2021,173.48300732236518,131.5243184213449,34.628296,41.76654524463337,56.97823411180549,42.295115650940616,per_hr_work
