variable,init_yr,last_yr,country,series,val_init,val_2010,val_prewar,val_last
gni_per_capita,2004,2024,Bulgaria,usd_constant,12.41644353322557,15.716017752861644,20.82463265256564,22.510214204717446
gni_per_capita,2004,2024,Bulgaria,usd_ppp_const,28.73142573226935,36.38612160219539,48.252212485618934,52.15024123065869
gni_per_capita,2004,2024,Bulgaria,usd_ppp_current,29.430725143438046,36.632576746337165,48.24867913133148,54.81009237891815
gni_per_capita,2004,2024,Croatia,usd_constant,28.272206437121447,28.954047557063586,34.098827779132876,39.81117450903878
gni_per_capita,2004,2024,Croatia,usd_ppp_const,49.39794620229976,50.616460102372415,59.65798242117012,69.64194858817923
gni_per_capita,2004,2024,Croatia,usd_ppp_current,45.61604337484544,48.64325764677558,59.661472344429065,68.41289824159068
gni_per_capita,2004,2024,Czechia,usd_constant,37.15647728652906,38.285063529074655,44.277844729668374,43.95034613563459
gni_per_capita,2004,2024,Czechia,usd_ppp_const,63.12286360061199,65.075097595036425,75.32142981960753,74.75344190478513
gni_per_capita,2004,2024,Czechia,usd_ppp_current,63.223899341435114,64.982788121747,75.32768208929275,75.37247333412081
gni_per_capita,2004,2024,Estonia,usd_constant,30.089911938540723,33.601463650324035,46.71195874338039,44.31479974563598
gni_per_capita,2004,2024,Estonia,usd_ppp_const,45.19438467185456,50.49577622759132,70.25408188647796,66.63909439766827
gni_per_capita,2004,2024,Estonia,usd_ppp_current,43.37159494822449,51.17050508624283,70.26254484535755,67.23004555788003
gni_per_capita,2004,2024,Hungary,usd_constant,27.799374514343388,27.263157038219425,33.58505663925771,33.51967325875577
gni_per_capita,2004,2024,Hungary,usd_ppp_const,50.628071872938456,49.678194670119105,61.24665455983781,61.118526383628485
gni_per_capita,2004,2024,Hungary,usd_ppp_current,48.27144714718571,51.77103913126475,61.25244494028051,65.04314350311265
gni_per_capita,2004,2024,Latvia,usd_constant,22.796561850605723,26.63884660314075,37.08055909311253,37.77652714353881
gni_per_capita,2004,2024,Latvia,usd_ppp_const,36.10361694169172,42.21143085173702,58.8040931805582,59.89907625723134
gni_per_capita,2004,2024,Latvia,usd_ppp_current,35.02604023515505,41.386804602760705,58.80104838952982,58.67499475243785
gni_per_capita,2004,2024,Lithuania,usd_constant,22.956425002333987,26.919185438825252,38.94375910893967,40.044832358849554
gni_per_capita,2004,2024,Lithuania,usd_ppp_const,42.37046832401812,49.71119673632565,71.97419247198886,73.99838171190603
gni_per_capita,2004,2024,Lithuania,usd_ppp_current,38.91431004465331,46.54138848919885,71.98339275515605,74.1621124484634
gni_per_capita,2004,2024,Poland,usd_constant,21.085252312087373,25.957819916884343,35.27101734080501,38.50630421927547
gni_per_capita,2004,2024,Poland,usd_ppp_const,38.045755760212,46.86287457356419,63.72727122869656,69.56262872047326
gni_per_capita,2004,2024,Poland,usd_ppp_current,41.063922622262105,50.77014905622821,63.73631031951796,68.13781622212309
gni_per_capita,2004,2024,Romania,usd_constant,13.00893494474433,18.333123120454356,27.53761051375758,30.37573270229076
gni_per_capita,2004,2024,Romania,usd_ppp_const,28.239203128455486,39.81809210247267,59.85726531193417,66.01675791970293
gni_per_capita,2004,2024,Romania,usd_ppp_current,27.217888666487816,43.21342898970238,59.85628531534965,65.90965186443557
gni_per_capita,2004,2024,Slovakia,usd_constant,29.777549842816473,37.010767504335654,39.62698187841822,39.84250993377086
gni_per_capita,2004,2024,Slovakia,usd_ppp_const,45.36645835215071,56.416651203171966,60.45285766328894,60.772813128916084
gni_per_capita,2004,2024,Slovakia,usd_ppp_current,46.0902226199062,62.155273659768795,60.45695864235479,64.69929097877817
gni_per_capita,2004,2024,Slovenia,usd_constant,49.28252662374891,50.345425726892195,53.97787634224623,57.27282415331356
gni_per_capita,2004,2024,Slovenia,usd_ppp_const,67.35215336087106,68.8417392682885,73.86764224045191,78.3653095609242
gni_per_capita,2004,2024,Slovenia,usd_ppp_current,70.39981191668801,68.08554735436026,73.86658480738836,77.73817870154213
