country,region,start_yr,end_yr_gni,start_gni,end_gni,change_gni,end_yr_gdp,start_gdp,end_gdp,change_gdp,color_cntr,pop,text_str_lin,text_str_log,text_str,type_scale,sel_var
Spain,Southern Europe,1990,2023,30217.459,46008.44,15.790981000000004,2024,31773.2267420042,48373.0455699185,16.599818827914298,4,48807137,"Spain, ΔGNI/cap: 16k, ΔGDP/cap: 17k","Spain, logratio(GNI/cap): 15.8, logratio(GDP/cap): 16.6","Spain, ΔGNI/cap: 16k, ΔGDP/cap: 17k",lin,value
Portugal,Southern Europe,1990,2023,25878.822,41063.926,15.185103999999999,2024,27190.5717704405,41883.8514202164,14.693279649775901,3,10701636,"Portugal, ΔGNI/cap: 15k, ΔGDP/cap: 15k","Portugal, logratio(GNI/cap): 15.2, logratio(GDP/cap): 14.7","Portugal, ΔGNI/cap: 15k, ΔGDP/cap: 15k",lin,value
Dominican Republic,Latin America,1990,2023,6962.5503,22023.51,15.0609597,2024,7327.72670133751,24229.4681222745,16.90174142093699,6,11427557,"Dominican Republic, ΔGNI/cap: 15k, ΔGDP/cap: 17k","Dominican Republic, logratio(GNI/cap): 15.1, logratio(GDP/cap): 16.9","Dominican Republic, ΔGNI/cap: 15k, ΔGDP/cap: 17k",lin,value
Uruguay,Latin America,1990,2023,13637.145,28649.822,15.012677,2024,14060.8454762218,32038.7727288227,17.9779272526009,12,3386588,"Uruguay, ΔGNI/cap: 15k, ΔGDP/cap: 18k","Uruguay, logratio(GNI/cap): 15, logratio(GDP/cap): 18","Uruguay, ΔGNI/cap: 15k, ΔGDP/cap: 18k",lin,value
Bulgaria,CEE,1990,2023,17729.385,32174.93,14.445545000000003,2024,14955.0762626823,34085.1952950467,19.130119032364405,1,6444366,"Bulgaria, ΔGNI/cap: 14k, ΔGDP/cap: 19k","Bulgaria, logratio(GNI/cap): 14.4, logratio(GDP/cap): 19.1","Bulgaria, ΔGNI/cap: 14k, ΔGDP/cap: 19k",lin,value
Belarus,ex-USSR/Balkans,1990,2023,12383.924,26724.871,14.340946999999998,2024,12351.6357106896,29037.5291400434,16.6858934293538,2,9133712,"Belarus, ΔGNI/cap: 14k, ΔGDP/cap: 17k","Belarus, logratio(GNI/cap): 14.3, logratio(GDP/cap): 16.7","Belarus, ΔGNI/cap: 14k, ΔGDP/cap: 17k",lin,value
Kazakhstan,ex-USSR/Balkans,1990,2023,18539.242,30988.53,12.449288000000001,2024,16837.690749004,35905.4414938905,19.067750744886503,4,20592571,"Kazakhstan, ΔGNI/cap: 12k, ΔGDP/cap: 19k","Kazakhstan, logratio(GNI/cap): 12.4, logratio(GDP/cap): 19.1","Kazakhstan, ΔGNI/cap: 12k, ΔGDP/cap: 19k",lin,value
Thailand,Asia,1990,2023,8478.667,20569.902,12.091235,2024,8701.95436053257,21737.1779720129,13.035223611480331,6,71668011,"Thailand, ΔGNI/cap: 12k, ΔGDP/cap: 13k","Thailand, logratio(GNI/cap): 12.1, logratio(GDP/cap): 13","Thailand, ΔGNI/cap: 12k, ΔGDP/cap: 13k",lin,value
Costa Rica,Latin America,1990,2023,11946.281,23417.213,11.470932,2024,10953.4262046456,26973.4361581028,16.020009953457198,5,5129910,"Costa Rica, ΔGNI/cap: 11k, ΔGDP/cap: 16k","Costa Rica, logratio(GNI/cap): 11.5, logratio(GDP/cap): 16","Costa Rica, ΔGNI/cap: 11k, ΔGDP/cap: 16k",lin,value
Azerbaijan,ex-USSR/Balkans,1990,2023,10332.301,20667.957,10.335655999999998,2024,10776.0677000765,22072.1058327346,11.296038132658099,1,10202850,"Azerbaijan, ΔGNI/cap: 10k, ΔGDP/cap: 11k","Azerbaijan, logratio(GNI/cap): 10.3, logratio(GDP/cap): 11.3","Azerbaijan, ΔGNI/cap: 10k, ΔGDP/cap: 11k",lin,value
