cntr_group,region,country,Code,year,year_end,varname,value,value_end,pop,min_yr,max_yr,trans_rec_end_yr,era,era_col,era_num,era_low,era_high,cntr_region,change_val,change_lab,change_sign,sel_var
Baltics,CEE,Latvia,LVA,1995,2023,value,65.9954,76.1898,2485908,1950,2023,1995,1995-2023,capitalism,4,3.5,4.5,Baltics: Latvia,10.194400000000002,+10.2,increase,value
Baltics,CEE,Lithuania,LTU,1950,1965,value,66.0682,71.6943,2432951,1950,2023,1995,1950-1965,socialism,1,0.5,1.5,Baltics: Lithuania,5.626099999999994,+5.6,increase,value
Baltics,CEE,Lithuania,LTU,1965,1989,value,71.6943,71.6371,2965212,1950,2023,1995,1965-1989,socialism,2,1.5,2.5,Baltics: Lithuania,-0.05719999999999459,-0.1,no change,value
Baltics,CEE,Lithuania,LTU,1989,1995,value,71.6371,69.0184,3696048,1950,2023,1995,1989-1995,transition,3,2.5,3.5,Baltics: Lithuania,-2.618700000000004,-2.6,decrease,value
Baltics,CEE,Lithuania,LTU,1995,2023,value,69.0184,76.025,3626997,1950,2023,1995,1995-2023,capitalism,4,3.5,4.5,Baltics: Lithuania,7.006600000000006,+7,increase,value
CEE,CEE,Poland,POL,1950,1965,value,58.3331,69.3849,24780120,1950,2023,1995,1950-1965,socialism,1,0.5,1.5,CEE: Poland,11.0518,+11.1,increase,value
CEE,CEE,Poland,POL,1965,1989,value,69.3849,70.8161,31288294,1950,2023,1995,1965-1989,socialism,2,1.5,2.5,CEE: Poland,1.431200000000004,+1.4,increase,value
CEE,CEE,Poland,POL,1989,1995,value,70.8161,71.9588,37938044,1950,2023,1995,1989-1995,transition,3,2.5,3.5,CEE: Poland,1.1426999999999907,+1.1,increase,value
CEE,CEE,Poland,POL,1995,2023,value,71.9588,78.6329,38364630,1950,2023,1995,1995-2023,capitalism,4,3.5,4.5,CEE: Poland,6.67410000000001,+6.7,increase,value
CEE,CEE,Romania,ROU,1950,1965,value,60.5083,68.3864,16397220,1950,2023,1995,1950-1965,socialism,1,0.5,1.5,CEE: Romania,7.878099999999996,+7.9,increase,value
