year,ksh_kod,megye_kod,megye,telepules,telepules_tipus,ferfi,no,osszesen
2011,09238,SZA,Szabolcs-Szatmár-Bereg,Nyírgyulaj,község,995,1055,2050
2011,14696,SZA,Szabolcs-Szatmár-Bereg,Nyíribrony,község,547,586,1133
2011,31477,SZA,Szabolcs-Szatmár-Bereg,Nyírjákó,község,417,452,869
2011,18290,SZA,Szabolcs-Szatmár-Bereg,Nyírkarász,község,1150,1238,2388
2011,32452,SZA,Szabolcs-Szatmár-Bereg,Nyírkáta,község,953,964,1917
2011,25928,SZA,Szabolcs-Szatmár-Bereg,Nyírkércs,község,411,421,832
2011,11095,SZA,Szabolcs-Szatmár-Bereg,Nyírlövő,község,340,382,722
2011,23269,SZA,Szabolcs-Szatmár-Bereg,Nyírmeggyes,község,1317,1428,2745
2011,26365,SZA,Szabolcs-Szatmár-Bereg,Nyírmihálydi,község,1027,1067,2094
2011,10807,SZA,Szabolcs-Szatmár-Bereg,Nyírparasznya,község,484,516,1000
2011,33145,SZA,Szabolcs-Szatmár-Bereg,Nyírpazony,község,1702,1799,3501
2011,03878,SZA,Szabolcs-Szatmár-Bereg,Nyírpilis,község,427,435,862
2011,28060,SZA,Szabolcs-Szatmár-Bereg,Nyírtass,község,1064,1043,2107
2011,09256,SZA,Szabolcs-Szatmár-Bereg,Nyírtét,község,560,550,1110
2011,12098,SZA,Szabolcs-Szatmár-Bereg,Nyírtura,község,919,974,1893
2011,16522,SZA,Szabolcs-Szatmár-Bereg,Nyírvasvári,község,980,1026,2006
2011,22284,SZA,Szabolcs-Szatmár-Bereg,Ófehértó,község,1278,1353,2631
2011,11129,SZA,Szabolcs-Szatmár-Bereg,Olcsva,község,368,347,715
2011,10834,SZA,Szabolcs-Szatmár-Bereg,Olcsvaapáti,község,157,166,323
2011,27924,SZA,Szabolcs-Szatmár-Bereg,Ópályi,község,1517,1573,3090
2011,26550,SZA,Szabolcs-Szatmár-Bereg,Ömböly,község,236,229,465
2011,09025,SZA,Szabolcs-Szatmár-Bereg,Őr,község,740,760,1500
2011,29559,SZA,Szabolcs-Szatmár-Bereg,Panyola,község,289,333,622
2011,27748,SZA,Szabolcs-Szatmár-Bereg,Pap,község,960,1002,1962
2011,32577,SZA,Szabolcs-Szatmár-Bereg,Papos,község,421,452,873
2011,31972,SZA,Szabolcs-Szatmár-Bereg,Paszab,község,664,669,1333
2011,12186,SZA,Szabolcs-Szatmár-Bereg,Pátroha,község,1497,1583,3080
2011,23685,SZA,Szabolcs-Szatmár-Bereg,Pátyod,község,332,351,683
2011,17084,SZA,Szabolcs-Szatmár-Bereg,Penészlek,község,482,500,982
2011,32692,SZA,Szabolcs-Szatmár-Bereg,Penyige,község,379,422,801
2011,17224,SZA,Szabolcs-Szatmár-Bereg,Petneháza,község,953,921,1874
2011,03391,SZA,Szabolcs-Szatmár-Bereg,Piricse,község,953,955,1908
2011,11244,SZA,Szabolcs-Szatmár-Bereg,Pócspetri,község,837,918,1755
2011,13860,SZA,Szabolcs-Szatmár-Bereg,Pusztadobos,község,690,776,1466
2011,31857,SZA,Szabolcs-Szatmár-Bereg,Ramocsaháza,község,752,829,1581
2011,09061,SZA,Szabolcs-Szatmár-Bereg,Rápolt,község,80,78,158
2011,21573,SZA,Szabolcs-Szatmár-Bereg,Rétközberencs,község,559,588,1147
2011,24581,SZA,Szabolcs-Szatmár-Bereg,Rohod,község,618,660,1278
2011,17428,SZA,Szabolcs-Szatmár-Bereg,Rozsály,község,416,401,817
2011,04491,SZA,Szabolcs-Szatmár-Bereg,Sényő,község,738,716,1454
2011,23889,SZA,Szabolcs-Szatmár-Bereg,Sonkád,község,373,382,755
2011,19169,SZA,Szabolcs-Szatmár-Bereg,Szabolcs,község,179,203,382
2011,22053,SZA,Szabolcs-Szatmár-Bereg,Szabolcsbáka,község,609,660,1269
2011,03586,SZA,Szabolcs-Szatmár-Bereg,Szabolcsveresmart,község,824,802,1626
2011,04774,SZA,Szabolcs-Szatmár-Bereg,Szakoly,község,1507,1497,3004
2011,18005,SZA,Szabolcs-Szatmár-Bereg,Szamosangyalos,község,281,273,554
2011,22017,SZA,Szabolcs-Szatmár-Bereg,Szamosbecs,község,176,201,377
2011,16300,SZA,Szabolcs-Szatmár-Bereg,Szamoskér,község,231,215,446
2011,10436,SZA,Szabolcs-Szatmár-Bereg,Szamossályi,község,354,393,747
2011,13046,SZA,Szabolcs-Szatmár-Bereg,Szamosszeg,község,966,1039,2005
2011,30085,SZA,Szabolcs-Szatmár-Bereg,Szamostatárfalva,község,159,160,319
2011,31273,SZA,Szabolcs-Szatmár-Bereg,Szamosújlak,község,200,219,419
2011,31237,SZA,Szabolcs-Szatmár-Bereg,Szatmárcseke,község,759,779,1538
2011,31088,SZA,Szabolcs-Szatmár-Bereg,Székely,község,549,540,1089
2011,34388,SZA,Szabolcs-Szatmár-Bereg,Szorgalmatos,község,510,499,1009
2011,29911,SZA,Szabolcs-Szatmár-Bereg,Tákos,község,166,194,360
2011,33358,SZA,Szabolcs-Szatmár-Bereg,Terem,község,346,315,661
2011,08952,SZA,Szabolcs-Szatmár-Bereg,Tiborszállás,község,517,563,1080
2011,24475,SZA,Szabolcs-Szatmár-Bereg,Timár,község,709,715,1424
2011,09423,SZA,Szabolcs-Szatmár-Bereg,Tiszaadony,község,333,319,652
2011,03850,SZA,Szabolcs-Szatmár-Bereg,Tiszabercel,község,909,1008,1917
2011,20172,SZA,Szabolcs-Szatmár-Bereg,Tiszabezdéd,község,1011,1026,2037
2011,24448,SZA,Szabolcs-Szatmár-Bereg,Tiszacsécse,község,113,147,260
2011,06433,SZA,Szabolcs-Szatmár-Bereg,Tiszadada,község,1167,1200,2367
2011,09113,SZA,Szabolcs-Szatmár-Bereg,Tiszaeszlár,község,1326,1411,2737
2011,08554,SZA,Szabolcs-Szatmár-Bereg,Tiszakanyár,község,812,920,1732
2011,04446,SZA,Szabolcs-Szatmár-Bereg,Tiszakerecseny,község,480,489,969
2011,08794,SZA,Szabolcs-Szatmár-Bereg,Tiszakóród,község,390,417,807
2011,11907,SZA,Szabolcs-Szatmár-Bereg,Tiszamogyorós,község,367,366,733
2011,27252,SZA,Szabolcs-Szatmár-Bereg,Tiszanagyfalu,község,914,976,1890
2011,10205,SZA,Szabolcs-Szatmár-Bereg,Tiszarád,község,317,317,634
2011,13541,SZA,Szabolcs-Szatmár-Bereg,Tiszaszalka,község,432,512,944
2011,27544,SZA,Szabolcs-Szatmár-Bereg,Tiszaszentmárton,község,602,631,1233
2011,14447,SZA,Szabolcs-Szatmár-Bereg,Tiszatelek,község,746,730,1476
2011,33747,SZA,Szabolcs-Szatmár-Bereg,Tiszavid,község,267,275,542
2011,27261,SZA,Szabolcs-Szatmár-Bereg,Tisztaberek,község,345,344,689
2011,20260,SZA,Szabolcs-Szatmár-Bereg,Tivadar,község,115,105,220
2011,16957,SZA,Szabolcs-Szatmár-Bereg,Tornyospálca,község,1311,1364,2675
2011,13213,SZA,Szabolcs-Szatmár-Bereg,Tunyogmatolcs,község,1278,1286,2564
2011,13602,SZA,Szabolcs-Szatmár-Bereg,Túristvándi,község,372,361,733
2011,08998,SZA,Szabolcs-Szatmár-Bereg,Túrricse,község,335,344,679
2011,33659,SZA,Szabolcs-Szatmár-Bereg,Újdombrád,község,357,368,725
2011,10117,SZA,Szabolcs-Szatmár-Bereg,Újkenéz,község,552,531,1083
2011,28981,SZA,Szabolcs-Szatmár-Bereg,Ura,község,311,358,669
2011,31820,SZA,Szabolcs-Szatmár-Bereg,Uszka,község,196,217,413
2011,06938,SZA,Szabolcs-Szatmár-Bereg,Vállaj,község,468,537,1005
2011,27322,SZA,Szabolcs-Szatmár-Bereg,Vámosatya,község,291,296,587
2011,08934,SZA,Szabolcs-Szatmár-Bereg,Vámosoroszi,község,273,284,557
2011,27100,SZA,Szabolcs-Szatmár-Bereg,Vasmegyer,község,850,856,1706
2011,06275,SZA,Szabolcs-Szatmár-Bereg,Zajta,község,218,211,429
2011,28750,SZA,Szabolcs-Szatmár-Bereg,Zsarolyán,község,217,220,437
2011,13037,SZA,Szabolcs-Szatmár-Bereg,Zsurk,község,380,377,757
2011,27854,SZO,Jász-Nagykun-Szolnok,Szolnok,megyeszékhely,34985,39201,74186
2011,12441,SZO,Jász-Nagykun-Szolnok,Abádszalók,város,2203,2305,4508
2011,22202,SZO,Jász-Nagykun-Szolnok,Jászapáti,város,4410,4763,9173
2011,22105,SZO,Jász-Nagykun-Szolnok,Jászárokszállás,város,3890,4234,8124
2011,18209,SZO,Jász-Nagykun-Szolnok,Jászberény,város,13099,14218,27317
2011,23339,SZO,Jász-Nagykun-Szolnok,Jászfényszaru,város,2762,3057,5819
2011,22798,SZO,Jász-Nagykun-Szolnok,Jászkisér,város,2838,2885,5723
2011,04923,SZO,Jász-Nagykun-Szolnok,Karcag,város,10352,10970,21322
2011,17145,SZO,Jász-Nagykun-Szolnok,Kenderes,város,2409,2505,4914
2011,25919,SZO,Jász-Nagykun-Szolnok,Kisújszállás,város,5835,6073,11908
2011,22567,SZO,Jász-Nagykun-Szolnok,Kunhegyes,város,4037,4217,8254
2011,32504,SZO,Jász-Nagykun-Szolnok,Kunszentmárton,város,4288,4632,8920
2011,02626,SZO,Jász-Nagykun-Szolnok,Martfű,város,3279,3619,6898
2011,04260,SZO,Jász-Nagykun-Szolnok,Mezőtúr,város,8834,9281,18115
2011,14207,SZO,Jász-Nagykun-Szolnok,Rákóczifalva,város,2734,2809,5543
2011,13815,SZO,Jász-Nagykun-Szolnok,Tiszaföldvár,város,5680,5944,11624
2011,29726,SZO,Jász-Nagykun-Szolnok,Tiszafüred,város,5931,6216,12147
2011,27313,SZO,Jász-Nagykun-Szolnok,Törökszentmiklós,város,10675,11416,22091
2011,28228,SZO,Jász-Nagykun-Szolnok,Túrkeve,város,4642,4823,9465
2011,15291,SZO,Jász-Nagykun-Szolnok,Újszász,város,3199,3349,6548
2011,22938,SZO,Jász-Nagykun-Szolnok,Cibakháza,nagyközség,2240,2207,4447
2011,16647,SZO,Jász-Nagykun-Szolnok,Fegyvernek,nagyközség,3478,3585,7063
2011,21111,SZO,Jász-Nagykun-Szolnok,Jászladány,nagyközség,2903,2988,5891
2011,23171,SZO,Jász-Nagykun-Szolnok,Kunmadaras,nagyközség,2941,2913,5854
2011,28006,SZO,Jász-Nagykun-Szolnok,Öcsöd,nagyközség,1749,1845,3594
2011,25265,SZO,Jász-Nagykun-Szolnok,Alattyán,község,1003,1162,2165
2011,34005,SZO,Jász-Nagykun-Szolnok,Berekfürdő,község,582,633,1215
2011,11305,SZO,Jász-Nagykun-Szolnok,Besenyszög,község,1702,1774,3476
2011,34175,SZO,Jász-Nagykun-Szolnok,Csataszög,község,178,177,355
2011,13170,SZO,Jász-Nagykun-Szolnok,Csépa,község,890,962,1852
2011,05795,SZO,Jász-Nagykun-Szolnok,Cserkeszőlő,község,1103,1182,2285
2011,34050,SZO,Jász-Nagykun-Szolnok,Hunyadfalva,község,123,113,236
2011,22859,SZO,Jász-Nagykun-Szolnok,Jánoshida,község,1265,1376,2641
2011,22929,SZO,Jász-Nagykun-Szolnok,Jászágó,község,341,386,727
2011,30711,SZO,Jász-Nagykun-Szolnok,Jászalsószentgyörgy,község,1816,1894,3710
2011,15811,SZO,Jász-Nagykun-Szolnok,Jászboldogháza,község,836,871,1707
2011,17978,SZO,Jász-Nagykun-Szolnok,Jászdózsa,község,1030,1235,2265
2011,23579,SZO,Jász-Nagykun-Szolnok,Jászfelsőszentgyörgy,község,929,930,1859
2011,24086,SZO,Jász-Nagykun-Szolnok,Jászivány,község,202,205,407
2011,25186,SZO,Jász-Nagykun-Szolnok,Jászjákóhalma,község,1498,1554,3052
2011,13514,SZO,Jász-Nagykun-Szolnok,Jászszentandrás,község,1194,1320,2514
2011,23135,SZO,Jász-Nagykun-Szolnok,Jásztelek,község,812,819,1631
2011,07418,SZO,Jász-Nagykun-Szolnok,Kengyel,község,1837,1884,3721
2011,19813,SZO,Jász-Nagykun-Szolnok,Kétpó,község,380,345,725
2011,11235,SZO,Jász-Nagykun-Szolnok,Kőtelek,község,800,878,1678
2011,05254,SZO,Jász-Nagykun-Szolnok,Kuncsorba,község,335,343,678
2011,30234,SZO,Jász-Nagykun-Szolnok,Mesterszállás,község,376,404,780
2011,26286,SZO,Jász-Nagykun-Szolnok,Mezőhék,község,182,186,368
2011,21689,SZO,Jász-Nagykun-Szolnok,Nagyiván,község,577,637,1214
2011,15574,SZO,Jász-Nagykun-Szolnok,Nagykörű,község,838,867,1705
2011,06318,SZO,Jász-Nagykun-Szolnok,Nagyrév,község,354,358,712
2011,29382,SZO,Jász-Nagykun-Szolnok,Örményes,község,568,577,1145
2011,15246,SZO,Jász-Nagykun-Szolnok,Pusztamonostor,község,787,865,1652
2011,12423,SZO,Jász-Nagykun-Szolnok,Rákócziújfalu,község,1016,1055,2071
2011,05874,SZO,Jász-Nagykun-Szolnok,Szajol,község,2011,1966,3977
2011,05777,SZO,Jász-Nagykun-Szolnok,Szászberek,község,511,505,1016
2011,20428,SZO,Jász-Nagykun-Szolnok,Szelevény,község,552,570,1122
2011,10773,SZO,Jász-Nagykun-Szolnok,Tiszabő,község,1119,1007,2126
2011,22770,SZO,Jász-Nagykun-Szolnok,Tiszabura,község,1570,1505,3075
2011,16230,SZO,Jász-Nagykun-Szolnok,Tiszaderzs,község,609,646,1255
2011,30304,SZO,Jász-Nagykun-Szolnok,Tiszagyenda,község,531,545,1076
2011,28699,SZO,Jász-Nagykun-Szolnok,Tiszaigar,község,440,445,885
2011,20446,SZO,Jász-Nagykun-Szolnok,Tiszainoka,község,208,232,440
2011,29346,SZO,Jász-Nagykun-Szolnok,Tiszajenő,község,789,854,1643
2011,30386,SZO,Jász-Nagykun-Szolnok,Tiszakürt,község,735,778,1513
2011,15787,SZO,Jász-Nagykun-Szolnok,Tiszaörs,község,694,684,1378
2011,03373,SZO,Jász-Nagykun-Szolnok,Tiszapüspöki,község,1081,1124,2205
2011,20181,SZO,Jász-Nagykun-Szolnok,Tiszaroff,község,876,896,1772
2011,21494,SZO,Jász-Nagykun-Szolnok,Tiszasas,község,546,571,1117
2011,17695,SZO,Jász-Nagykun-Szolnok,Tiszasüly,község,808,804,1612
2011,22789,SZO,Jász-Nagykun-Szolnok,Tiszaszentimre,község,1113,1196,2309
2011,07852,SZO,Jász-Nagykun-Szolnok,Tiszaszőlős,község,807,800,1607
2011,09627,SZO,Jász-Nagykun-Szolnok,Tiszatenyő,község,905,898,1803
2011,31866,SZO,Jász-Nagykun-Szolnok,Tiszavárkony,község,797,789,1586
2011,09557,SZO,Jász-Nagykun-Szolnok,Tomajmonostora,község,402,363,765
2011,07490,SZO,Jász-Nagykun-Szolnok,Tószeg,község,2343,2293,4636
2011,21157,SZO,Jász-Nagykun-Szolnok,Vezseny,község,361,361,722
2011,14836,SZO,Jász-Nagykun-Szolnok,Zagyvarékas,község,1813,1921,3734
2011,22761,TOL,Tolna,Szekszárd,megyeszékhely,16142,18434,34576
2011,08864,TOL,Tolna,Bátaszék,város,3189,3578,6767
2011,06497,TOL,Tolna,Bonyhád,város,6693,7254,13947
2011,07685,TOL,Tolna,Dombóvár,város,9330,10469,19799
2011,31501,TOL,Tolna,Dunaföldvár,város,4336,4647,8983
2011,30289,TOL,Tolna,Gyönk,város,937,1051,1988
2011,14030,TOL,Tolna,Nagymányok,város,1145,1252,2397
2011,04862,TOL,Tolna,Paks,város,9535,10226,19761
2011,20783,TOL,Tolna,Simontornya,város,2037,2222,4259
2011,24563,TOL,Tolna,Tamási,város,4123,4483,8606
2011,25274,TOL,Tolna,Tolna,város,5685,6192,11877
2011,24989,TOL,Tolna,Decs,nagyközség,2040,2194,4234
2011,18980,TOL,Tolna,Fadd,nagyközség,2198,2210,4408
2011,26055,TOL,Tolna,Hőgyész,nagyközség,1420,1564,2984
2011,18388,TOL,Tolna,Nagydorog,nagyközség,1375,1442,2817
2011,19585,TOL,Tolna,Pincehely,nagyközség,1127,1242,2369
2011,29665,TOL,Tolna,Alsónána,község,357,388,745
2011,11563,TOL,Tolna,Alsónyék,község,405,397,802
2011,26125,TOL,Tolna,Aparhant,község,548,545,1093
2011,32735,TOL,Tolna,Attala,község,426,443,869
2011,11712,TOL,Tolna,Báta,község,891,926,1817
2011,28909,TOL,Tolna,Bátaapáti,község,229,200,429
2011,28662,TOL,Tolna,Belecska,község,197,215,412
2011,11970,TOL,Tolna,Bikács,község,225,227,452
2011,03425,TOL,Tolna,Bogyiszló,község,1141,1169,2310
2011,14818,TOL,Tolna,Bonyhádvarasd,község,232,232,464
2011,06558,TOL,Tolna,Bölcske,község,1398,1447,2845
2011,19284,TOL,Tolna,Cikó,község,477,484,961
2011,11998,TOL,Tolna,Csibrák,község,161,186,347
2011,30094,TOL,Tolna,Csikóstőttős,község,450,441,891
2011,29230,TOL,Tolna,Dalmand,község,645,701,1346
2011,11688,TOL,Tolna,Diósberény,község,178,191,369
2011,02565,TOL,Tolna,Döbrököz,község,985,1062,2047
2011,09539,TOL,Tolna,Dunaszentgyörgy,község,1305,1299,2604
2011,19202,TOL,Tolna,Dúzs,község,142,134,276
2011,08448,TOL,Tolna,Értény,község,426,364,790
2011,24192,TOL,Tolna,Fácánkert,község,351,369,720
2011,15820,TOL,Tolna,Felsőnána,község,331,335,666
2011,17914,TOL,Tolna,Felsőnyék,község,565,593,1158
2011,17950,TOL,Tolna,Fürged,község,369,374,743
2011,05731,TOL,Tolna,Gerjen,község,637,645,1282
2011,26727,TOL,Tolna,Grábóc,község,98,93,191
2011,25539,TOL,Tolna,Györe,község,331,338,669
2011,12326,TOL,Tolna,Györköny,község,491,520,1011
2011,30359,TOL,Tolna,Gyulaj,község,520,486,1006
2011,14164,TOL,Tolna,Harc,község,450,486,936
2011,04701,TOL,Tolna,Iregszemcse,község,1375,1380,2755
2011,27711,TOL,Tolna,Izmény,község,279,253,532
2011,09326,TOL,Tolna,Jágónak,község,130,116,246
2011,14100,TOL,Tolna,Kajdacs,község,650,658,1308
2011,02033,TOL,Tolna,Kakasd,község,851,893,1744
2011,23791,TOL,Tolna,Kalaznó,község,103,93,196
2011,23296,TOL,Tolna,Kapospula,község,421,480,901
2011,18962,TOL,Tolna,Kaposszekcső,község,747,795,1542
2011,17640,TOL,Tolna,Keszőhidegkút,község,112,117,229
2011,21731,TOL,Tolna,Kéty,község,358,359,717
2011,17710,TOL,Tolna,Kisdorog,község,404,392,796
2011,06512,TOL,Tolna,Kismányok,község,186,180,366
2011,27766,TOL,Tolna,Kisszékely,község,169,182,351
2011,03869,TOL,Tolna,Kistormás,község,181,176,357
2011,31185,TOL,Tolna,Kisvejke,község,235,206,441
2011,22433,TOL,Tolna,Kocsola,község,650,684,1334
2011,21184,TOL,Tolna,Koppányszántó,község,178,189,367
2011,10463,TOL,Tolna,Kölesd,község,758,779,1537
2011,20507,TOL,Tolna,Kurd,község,657,626,1283
2011,14605,TOL,Tolna,Lápafő,község,90,92,182
2011,24411,TOL,Tolna,Lengyel,község,283,297,580
2011,29337,TOL,Tolna,Madocsa,község,945,1026,1971
2011,06017,TOL,Tolna,Magyarkeszi,község,622,690,1312
2011,30562,TOL,Tolna,Medina,község,418,411,829
2011,02811,TOL,Tolna,Miszla,község,167,154,321
2011,20701,TOL,Tolna,Mórágy,község,414,399,813
2011,33349,TOL,Tolna,Mőcsény,község,166,188,354
2011,13620,TOL,Tolna,Mucsfa,község,214,202,416
2011,07029,TOL,Tolna,Mucsi,község,255,235,490
2011,18917,TOL,Tolna,Murga,község,45,30,75
2011,27182,TOL,Tolna,Nagykónyi,község,567,611,1178
2011,06761,TOL,Tolna,Nagyszékely,község,223,225,448
2011,13709,TOL,Tolna,Nagyszokoly,község,446,450,896
2011,16452,TOL,Tolna,Nagyvejke,község,86,83,169
2011,02796,TOL,Tolna,Nak,község,294,304,598
2011,15006,TOL,Tolna,Németkér,község,877,896,1773
2011,05661,TOL,Tolna,Ozora,község,848,904,1752
2011,08961,TOL,Tolna,Őcsény,község,1270,1268,2538
2011,09371,TOL,Tolna,Pálfa,község,805,840,1645
2011,09618,TOL,Tolna,Pári,község,317,365,682
2011,33570,TOL,Tolna,Pörböly,község,286,289,575
2011,19938,TOL,Tolna,Pusztahencse,község,526,538,1064
2011,15459,TOL,Tolna,Regöly,község,579,632,1211
2011,04747,TOL,Tolna,Sárpilis,község,338,355,693
2011,20817,TOL,Tolna,Sárszentlőrinc,község,531,595,1126
2011,25645,TOL,Tolna,Sióagárd,község,641,683,1324
2011,15316,TOL,Tolna,Szakadát,község,124,153,277
2011,04464,TOL,Tolna,Szakály,község,707,711,1418
2011,10083,TOL,Tolna,Szakcs,község,457,499,956
2011,14711,TOL,Tolna,Szálka,község,308,318,626
2011,18263,TOL,Tolna,Szárazd,község,131,125,256
2011,16814,TOL,Tolna,Szedres,község,1147,1198,2345
2011,06901,TOL,Tolna,Tengelic,község,1174,1216,2390
2011,31459,TOL,Tolna,Tevel,község,732,754,1486
2011,11031,TOL,Tolna,Tolnanémedi,község,514,586,1100
2011,21360,TOL,Tolna,Udvari,község,203,164,367
2011,20561,TOL,Tolna,Újireg,község,155,163,318
2011,32850,TOL,Tolna,Váralja,község,428,466,894
2011,09414,TOL,Tolna,Várdomb,község,620,631,1251
2011,29124,TOL,Tolna,Várong,község,89,79,168
2011,06637,TOL,Tolna,Varsád,község,186,221,407
2011,14304,TOL,Tolna,Závod,község,148,165,313
2011,21625,TOL,Tolna,Zomba,község,1051,1154,2205
2011,03009,VAS,Vas,Szombathely,megyeszékhely,37178,41611,78789
2011,02431,VAS,Vas,Bük,város,1656,1698,3354
2011,27094,VAS,Vas,Celldömölk,város,5489,5997,11486
2011,12140,VAS,Vas,Csepreg,város,1566,1724,3290
2011,13532,VAS,Vas,Körmend,város,5684,6202,11886
2011,16832,VAS,Vas,Kőszeg,város,5568,5948,11516
2011,10630,VAS,Vas,Őriszentpéter,város,571,613,1184
2011,30881,VAS,Vas,Répcelak,város,1329,1381,2710
2011,21306,VAS,Vas,Sárvár,város,7321,7880,15201
2011,31583,VAS,Vas,Szentgotthárd,város,4285,4486,8771
2011,04695,VAS,Vas,Vasvár,város,2138,2340,4478
2011,26426,VAS,Vas,Vép,város,1719,1727,3446
2011,11679,VAS,Vas,Jánosháza,nagyközség,1240,1359,2599
2011,07214,VAS,Vas,Acsád,község,296,388,684
2011,22549,VAS,Vas,Alsószölnök,község,185,207,392
2011,22725,VAS,Vas,Alsóújlak,község,300,339,639
2011,12317,VAS,Vas,Andrásfa,község,149,153,302
2011,08873,VAS,Vas,Apátistvánfalva,község,177,215,392
2011,17020,VAS,Vas,Bajánsenye,község,268,278,546
2011,05102,VAS,Vas,Balogunyom,község,604,625,1229
2011,10384,VAS,Vas,Bejcgyertyános,község,226,249,475
2011,32124,VAS,Vas,Bérbaltavár,község,274,272,546
2011,29203,VAS,Vas,Boba,község,423,444,867
2011,03090,VAS,Vas,Borgáta,község,72,89,161
2011,05023,VAS,Vas,Bozsok,község,177,188,365
2011,06390,VAS,Vas,Bozzai,község,174,159,333
2011,05476,VAS,Vas,Bő,község,337,330,667
2011,11651,VAS,Vas,Bögöt,község,207,190,397
2011,07296,VAS,Vas,Bögöte,község,148,170,318
2011,32984,VAS,Vas,Bucsu,község,295,306,601
2011,08271,VAS,Vas,Cák,község,138,149,287
2011,09876,VAS,Vas,Chernelházadamonya,község,114,111,225
2011,03911,VAS,Vas,Csákánydoroszló,község,889,916,1805
2011,26772,VAS,Vas,Csánig,község,187,193,380
2011,19488,VAS,Vas,Csehi,község,139,137,276
2011,12724,VAS,Vas,Csehimindszent,község,182,199,381
2011,23816,VAS,Vas,Csempeszkopács,község,160,169,329
2011,09070,VAS,Vas,Csénye,község,345,351,696
2011,26064,VAS,Vas,Csipkerek,község,162,205,367
2011,22390,VAS,Vas,Csönge,község,213,215,428
2011,04224,VAS,Vas,Csörötnek,község,449,455,904
2011,15990,VAS,Vas,Daraboshegy,község,52,51,103
2011,16151,VAS,Vas,Dozmat,község,115,113,228
2011,20695,VAS,Vas,Döbörhegy,község,76,85,161
2011,03036,VAS,Vas,Döröske,község,46,46,92
2011,02927,VAS,Vas,Duka,község,136,144,280
2011,28796,VAS,Vas,Egervölgy,község,172,206,378
2011,10232,VAS,Vas,Egyházashetye,község,169,181,350
2011,30429,VAS,Vas,Egyházashollós,község,289,289,578
2011,25946,VAS,Vas,Egyházasrádóc,község,666,657,1323
2011,13587,VAS,Vas,Felsőcsatár,község,242,247,489
2011,08013,VAS,Vas,Felsőjánosfa,község,88,114,202
2011,29841,VAS,Vas,Felsőmarác,község,146,135,281
2011,23287,VAS,Vas,Felsőszölnök,község,303,287,590
2011,30906,VAS,Vas,Gasztony,község,223,241,464
2011,24183,VAS,Vas,Gencsapáti,község,1301,1391,2692
2011,26152,VAS,Vas,Gérce,község,551,583,1134
2011,30942,VAS,Vas,Gersekarát,község,360,366,726
2011,11156,VAS,Vas,Gór,község,160,153,313
2011,27030,VAS,Vas,Gyanógeregye,község,80,84,164
2011,11943,VAS,Vas,Gyöngyösfalu,község,536,570,1106
2011,09724,VAS,Vas,Győrvár,község,344,332,676
2011,29452,VAS,Vas,Halastó,község,53,56,109
2011,10676,VAS,Vas,Halogy,község,152,140,292
2011,05713,VAS,Vas,Harasztifalu,község,81,85,166
2011,32188,VAS,Vas,Hegyfalu,község,351,425,776
2011,14997,VAS,Vas,Hegyháthodász,község,90,86,176
2011,30216,VAS,Vas,Hegyhátsál,község,72,88,160
2011,18032,VAS,Vas,Hegyhátszentjakab,község,155,138,293
2011,21838,VAS,Vas,Hegyhátszentmárton,község,30,34,64
2011,08226,VAS,Vas,Hegyhátszentpéter,község,74,84,158
2011,12733,VAS,Vas,Horvátlövő,község,106,114,220
2011,16887,VAS,Vas,Horvátzsidány,község,392,413,805
2011,20880,VAS,Vas,Hosszúpereszteg,község,328,386,714
2011,11387,VAS,Vas,Ikervár,község,851,917,1768
2011,29504,VAS,Vas,Iklanberény,község,27,24,51
2011,07977,VAS,Vas,Ispánk,község,51,58,109
2011,31680,VAS,Vas,Ivánc,község,338,362,700
2011,13958,VAS,Vas,Ják,község,1300,1315,2615
2011,06406,VAS,Vas,Jákfa,község,272,269,541
2011,29957,VAS,Vas,Káld,község,556,579,1135
2011,04640,VAS,Vas,Kám,község,209,220,429
2011,10913,VAS,Vas,Karakó,község,104,111,215
2011,26620,VAS,Vas,Katafa,község,192,183,375
2011,32036,VAS,Vas,Keléd,község,38,41,79
2011,16911,VAS,Vas,Kemeneskápolna,község,52,47,99
2011,12247,VAS,Vas,Kemenesmagasi,község,463,481,944
2011,13426,VAS,Vas,Kemenesmihályfa,község,268,263,531
2011,20996,VAS,Vas,Kemenespálfa,község,225,225,450
2011,24484,VAS,Vas,Kemenessömjén,község,298,321,619
2011,20084,VAS,Vas,Kemenesszentmárton,község,102,116,218
2011,22716,VAS,Vas,Kemestaródfa,község,121,123,244
2011,02574,VAS,Vas,Kenéz,község,131,145,276
2011,09937,VAS,Vas,Kenyeri,község,442,478,920
2011,26596,VAS,Vas,Kercaszomor,község,118,128,246
2011,19761,VAS,Vas,Kerkáskápolna,község,48,42,90
2011,19345,VAS,Vas,Kétvölgy,község,69,61,130
2011,11147,VAS,Vas,Kisrákos,község,118,106,224
2011,05953,VAS,Vas,Kissomlyó,község,125,126,251
2011,02501,VAS,Vas,Kisunyom,község,206,225,431
2011,15486,VAS,Vas,Kiszsidány,község,43,56,99
2011,13028,VAS,Vas,Kondorfa,község,250,290,540
2011,04190,VAS,Vas,Köcsk,község,150,138,288
2011,05740,VAS,Vas,Kőszegdoroszló,község,122,127,249
2011,26046,VAS,Vas,Kőszegpaty,község,129,91,220
