cntr_group,country,Code,cntr_region,era,varname,value,value_end,era_col,scaling,change_val,change_val_lab,change_lab,change_sign,era_num,pop,type_scale,sel_var
world regions,LAT_AM,LAT_AM,world regions: LAT_AM,1995-2023,value,69.76176888192232,76.23877667417244,capitalism,1,6.47700779225012,6,+6,increase,4,374006763,linear,value
Baltics,Latvia,LVA,Baltics: Latvia,1950-1965,value,64.5724,71.2237,socialism,1,6.651299999999992,7,+7,increase,1,1918675,linear,value
Baltics,Latvia,LVA,Baltics: Latvia,1965-1989,value,71.2237,70.4035,socialism,1,-0.8201999999999998,-1,-1,decrease,2,2252726,linear,value
Baltics,Latvia,LVA,Baltics: Latvia,1989-1995,value,70.4035,65.9954,transition,1,-4.40809999999999,-4,-4,decrease,3,2664789,linear,value
Baltics,Latvia,LVA,Baltics: Latvia,1995-2023,value,65.9954,76.1898,capitalism,1,10.194400000000002,10,+10,increase,4,2485908,linear,value
Baltics,Lithuania,LTU,Baltics: Lithuania,1950-1965,value,66.0682,71.6943,socialism,1,5.626099999999994,6,+6,increase,1,2432951,linear,value
Baltics,Lithuania,LTU,Baltics: Lithuania,1965-1989,value,71.6943,71.6371,socialism,1,-0.05719999999999459,-0,+0,no change,2,2965212,linear,value
Baltics,Lithuania,LTU,Baltics: Lithuania,1989-1995,value,71.6371,69.0184,transition,1,-2.618700000000004,-3,-3,decrease,3,3696048,linear,value
Baltics,Lithuania,LTU,Baltics: Lithuania,1995-2023,value,69.0184,76.025,capitalism,1,7.006600000000006,7,+7,increase,4,3626997,linear,value
CEE,Poland,POL,CEE: Poland,1950-1965,value,58.3331,69.3849,socialism,1,11.0518,11,+11,increase,1,24780120,linear,value
CEE,Poland,POL,CEE: Poland,1965-1989,value,69.3849,70.8161,socialism,1,1.431200000000004,1,+1,increase,2,31288294,linear,value
CEE,Poland,POL,CEE: Poland,1989-1995,value,70.8161,71.9588,transition,1,1.1426999999999907,1,+1,increase,3,37938044,linear,value
CEE,Poland,POL,CEE: Poland,1995-2023,value,71.9588,78.6329,capitalism,1,6.67410000000001,7,+7,increase,4,38364630,linear,value
CEE,Romania,ROU,CEE: Romania,1950-1965,value,60.5083,68.3864,socialism,1,7.878099999999996,8,+8,increase,1,16397220,linear,value
CEE,Romania,ROU,CEE: Romania,1965-1989,value,68.3864,69.5461,socialism,1,1.1597000000000008,1,+1,increase,2,18713016,linear,value
CEE,Romania,ROU,CEE: Romania,1989-1995,value,69.5461,69.323,transition,1,-0.2231000000000023,-0,+0,no change,3,22887592,linear,value
CEE,Romania,ROU,CEE: Romania,1995-2023,value,69.323,75.9381,capitalism,1,6.615100000000012,7,+7,increase,4,22657664,linear,value
USSR,Russia,RUS,USSR: Russia,1950-1965,value,55.4723,69.2843,socialism,1,13.812000000000005,14,+14,increase,1,103392314,linear,value
USSR,Russia,RUS,USSR: Russia,1965-1989,value,69.2843,69.6868,socialism,1,0.4025000000000034,0,+0,no change,2,126634148,linear,value
USSR,Russia,RUS,USSR: Russia,1989-1995,value,69.6868,63.9945,transition,1,-5.692300000000003,-6,-6,decrease,3,148281823,linear,value
USSR,Russia,RUS,USSR: Russia,1995-2023,value,63.9945,73.1541,capitalism,1,9.159599999999998,9,+9,increase,4,148291356,linear,value
world regions,S_EUR4,S_EUR4,world regions: S_EUR4,1950-1965,value,63.86104821887171,70.19821640318807,socialism,1,6.337168184316361,6,+6,increase,1,90538481,linear,value
