cntr_group,country,Code,cntr_region,era,varname,value,value_end,era_col,scaling,change_val,change_val_lab,change_lab,change_sign,era_num,pop,type_scale,sel_var
Baltics,Estonia,EST,Baltics: Estonia,1989-1995,% of W_EUR3,92.4984204569574,87.61836277350027,transition,1,-4.880057683457139,-5,-5,divergence,3,1567538,linear,% of W_EUR3
Baltics,Estonia,EST,Baltics: Estonia,1995-2023,% of W_EUR3,87.61836277350027,95.76563476326928,capitalism,1,8.14727198976901,8,+8,convergence,4,1452730,linear,% of W_EUR3
CEE,Hungary,HUN,CEE: Hungary,1950-1965,% of W_EUR3,93.6118469861242,97.87257568916539,socialism,1,4.260728703041181,4,+4,convergence,1,9337826,linear,% of W_EUR3
CEE,Hungary,HUN,CEE: Hungary,1965-1989,% of W_EUR3,97.87257568916539,91.05054949644429,socialism,1,-6.822026192721097,-7,-7,divergence,2,10141073,linear,% of W_EUR3
CEE,Hungary,HUN,CEE: Hungary,1989-1995,% of W_EUR3,91.05054949644429,90.40217864171366,transition,1,-0.6483708547306293,-1,-1,divergence,3,10403359,linear,% of W_EUR3
CEE,Hungary,HUN,CEE: Hungary,1995-2023,% of W_EUR3,90.40217864171366,93.18921149419864,capitalism,1,2.787032852484984,3,+3,convergence,4,10322744,linear,% of W_EUR3
Baltics,Latvia,LVA,Baltics: Latvia,1950-1965,% of W_EUR3,97.278681593456,100.80951585658742,socialism,1,3.5308342631314247,4,+4,convergence,1,1918675,linear,% of W_EUR3
Baltics,Latvia,LVA,Baltics: Latvia,1965-1989,% of W_EUR3,100.80951585658742,92.37442969504667,socialism,1,-8.435086161540752,-8,-8,divergence,2,2252726,linear,% of W_EUR3
Baltics,Latvia,LVA,Baltics: Latvia,1989-1995,% of W_EUR3,92.37442969504667,85.26828262744375,transition,1,-7.106147067602919,-7,-7,divergence,3,2664789,linear,% of W_EUR3
Baltics,Latvia,LVA,Baltics: Latvia,1995-2023,% of W_EUR3,85.26828262744375,92.17993594075479,capitalism,1,6.911653313311035,7,+7,convergence,4,2485908,linear,% of W_EUR3
Baltics,Lithuania,LTU,Baltics: Lithuania,1950-1965,% of W_EUR3,99.53211265575959,101.47559973263024,socialism,1,1.9434870768706531,2,+2,convergence,1,2432951,linear,% of W_EUR3
Baltics,Lithuania,LTU,Baltics: Lithuania,1965-1989,% of W_EUR3,101.47559973263024,93.99300116481466,socialism,1,-7.482598567815586,-7,-7,divergence,2,2965212,linear,% of W_EUR3
Baltics,Lithuania,LTU,Baltics: Lithuania,1989-1995,% of W_EUR3,93.99300116481466,89.17410058419169,transition,1,-4.818900580622966,-5,-5,divergence,3,3696048,linear,% of W_EUR3
Baltics,Lithuania,LTU,Baltics: Lithuania,1995-2023,% of W_EUR3,89.17410058419169,91.98054896975557,capitalism,1,2.8064483855638827,3,+3,convergence,4,3626997,linear,% of W_EUR3
CEE,Poland,POL,CEE: Poland,1950-1965,% of W_EUR3,87.8791412625089,98.20689148075337,socialism,1,10.327750218244475,10,+10,convergence,1,24780120,linear,% of W_EUR3
CEE,Poland,POL,CEE: Poland,1965-1989,% of W_EUR3,98.20689148075337,92.91579041847913,socialism,1,-5.291101062274237,-5,-5,divergence,2,31288294,linear,% of W_EUR3
CEE,Poland,POL,CEE: Poland,1989-1995,% of W_EUR3,92.91579041847913,92.97319655508866,transition,1,0.05740613660952931,0,+0,no change,3,37938044,linear,% of W_EUR3
CEE,Poland,POL,CEE: Poland,1995-2023,% of W_EUR3,92.97319655508866,95.13577519347442,capitalism,1,2.162578638385753,2,+2,convergence,4,38364630,linear,% of W_EUR3
CEE,Romania,ROU,CEE: Romania,1950-1965,% of W_EUR3,91.15609222301346,96.79362171826135,socialism,1,5.63752949524789,6,+6,convergence,1,16397220,linear,% of W_EUR3
CEE,Romania,ROU,CEE: Romania,1965-1989,% of W_EUR3,96.79362171826135,91.24945954412331,socialism,1,-5.544162174138037,-6,-6,divergence,2,18713016,linear,% of W_EUR3
CEE,Romania,ROU,CEE: Romania,1989-1995,% of W_EUR3,91.24945954412331,89.56765405743859,transition,1,-1.6818054866847234,-2,-2,divergence,3,22887592,linear,% of W_EUR3
CEE,Romania,ROU,CEE: Romania,1995-2023,% of W_EUR3,89.56765405743859,91.87541105847018,capitalism,1,2.3077570010315895,2,+2,convergence,4,22657664,linear,% of W_EUR3
USSR,Russia,RUS,USSR: Russia,1950-1965,% of W_EUR3,83.56933006914207,98.06450295986534,socialism,1,14.495172890723268,14,+14,convergence,1,103392314,linear,% of W_EUR3
USSR,Russia,RUS,USSR: Russia,1965-1989,% of W_EUR3,98.06450295986534,91.43406801185706,socialism,1,-6.630434948008272,-7,-7,divergence,2,126634148,linear,% of W_EUR3
USSR,Russia,RUS,USSR: Russia,1989-1995,% of W_EUR3,91.43406801185706,82.68305234307162,transition,1,-8.751015668785442,-9,-9,divergence,3,148281823,linear,% of W_EUR3
USSR,Russia,RUS,USSR: Russia,1995-2023,% of W_EUR3,82.68305234307162,88.50712630566781,capitalism,1,5.824073962596188,6,+6,convergence,4,148291356,linear,% of W_EUR3
Yugosl.,Serbia,SRB,Yugosl.: Serbia,1950-1965,% of W_EUR3,82.989626717909,97.26169213434159,socialism,1,14.272065416432582,14,+14,convergence,1,6009148,linear,% of W_EUR3
Yugosl.,Serbia,SRB,Yugosl.: Serbia,1965-1989,% of W_EUR3,97.26169213434159,94.91473143192879,socialism,1,-2.346960702412801,-2,-2,divergence,2,7031084,linear,% of W_EUR3
Yugosl.,Serbia,SRB,Yugosl.: Serbia,1989-1995,% of W_EUR3,94.91473143192879,93.96496164394071,transition,1,-0.9497697879880747,-1,-1,divergence,3,7881211,linear,% of W_EUR3
Yugosl.,Serbia,SRB,Yugosl.: Serbia,1995-2023,% of W_EUR3,93.96496164394071,92.88105699472352,capitalism,1,-1.0839046492171889,-1,-1,divergence,4,7823230,linear,% of W_EUR3
CEE,Slovakia,SVK,CEE: Slovakia,1950-1965,% of W_EUR3,91.55878116736011,99.47890503663878,socialism,1,7.920123869278669,8,+8,convergence,1,3465707,linear,% of W_EUR3
CEE,Slovakia,SVK,CEE: Slovakia,1965-1989,% of W_EUR3,99.47890503663878,93.07507590520889,socialism,1,-6.403829131429887,-6,-6,divergence,2,4364999,linear,% of W_EUR3
CEE,Slovakia,SVK,CEE: Slovakia,1989-1995,% of W_EUR3,93.07507590520889,93.35421730118361,transition,1,0.2791413959747189,0,+0,no change,3,5249882,linear,% of W_EUR3
CEE,Slovakia,SVK,CEE: Slovakia,1995-2023,% of W_EUR3,93.35421730118361,94.78309738979556,capitalism,1,1.4288800886119475,1,+1,convergence,4,5354244,linear,% of W_EUR3
Yugosl.,Slovenia,SVN,Yugosl.: Slovenia,1950-1965,% of W_EUR3,93.12494437926732,97.23833815228737,socialism,1,4.11339377302005,4,+4,convergence,1,1446309,linear,% of W_EUR3
Yugosl.,Slovenia,SVN,Yugosl.: Slovenia,1965-1989,% of W_EUR3,97.23833815228737,96.16185544458642,socialism,1,-1.0764827077009471,-1,-1,divergence,2,1675272,linear,% of W_EUR3
Yugosl.,Slovenia,SVN,Yugosl.: Slovenia,1989-1995,% of W_EUR3,96.16185544458642,96.15159952353059,transition,1,-0.010255921055829731,-0,+0,no change,3,1995417,linear,% of W_EUR3
Yugosl.,Slovenia,SVN,Yugosl.: Slovenia,1995-2023,% of W_EUR3,96.15159952353059,98.7297011482874,capitalism,1,2.578101624756812,3,+3,convergence,4,1988051,linear,% of W_EUR3
USSR,Ukraine,UKR,USSR: Ukraine,1950-1965,% of W_EUR3,92.15957559686049,100.6954351927348,socialism,1,8.535859595874314,9,+9,convergence,1,37310845,linear,% of W_EUR3
USSR,Ukraine,UKR,USSR: Ukraine,1965-1989,% of W_EUR3,100.6954351927348,92.94570564992425,socialism,1,-7.749729542810556,-8,-8,divergence,2,45386845,linear,% of W_EUR3
USSR,Ukraine,UKR,USSR: Ukraine,1989-1995,% of W_EUR3,92.94570564992425,86.71329314773051,transition,1,-6.232412502193739,-6,-6,divergence,3,51917779,linear,% of W_EUR3
USSR,Ukraine,UKR,USSR: Ukraine,1995-2023,% of W_EUR3,86.71329314773051,88.83185605697965,capitalism,1,2.1185629092491354,2,+2,convergence,4,51665488,linear,% of W_EUR3
USSR,Belarus,BLR,USSR: Belarus,1950-1965,% of LAT_AM,117.42738318419458,124.1431762165089,socialism,1,6.715793032314323,7,+7,convergence,1,7127548,linear,% of LAT_AM
USSR,Belarus,BLR,USSR: Belarus,1965-1989,% of LAT_AM,124.1431762165089,105.48247665059492,socialism,1,-18.660699565913987,-19,-19,divergence,2,8679894,linear,% of LAT_AM
USSR,Belarus,BLR,USSR: Belarus,1989-1995,% of LAT_AM,105.48247665059492,98.55269025125887,transition,1,-6.929786399336052,-7,-7,divergence,3,10158729,linear,% of LAT_AM
USSR,Belarus,BLR,USSR: Belarus,1995-2023,% of LAT_AM,98.55269025125887,97.63260016371184,capitalism,1,-0.9200900875470239,-1,-1,divergence,4,10197421,linear,% of LAT_AM
CEE,Bulgaria,BGR,CEE: Bulgaria,1950-1965,% of LAT_AM,123.0893352106282,123.58009591138006,socialism,1,0.4907607007518493,0,+0,no change,1,7248464,linear,% of LAT_AM
CEE,Bulgaria,BGR,CEE: Bulgaria,1965-1989,% of LAT_AM,123.58009591138006,105.44810427521193,socialism,1,-18.131991636168124,-18,-18,divergence,2,8202371,linear,% of LAT_AM
CEE,Bulgaria,BGR,CEE: Bulgaria,1989-1995,% of LAT_AM,105.44810427521193,101.72047116538742,transition,1,-3.7276331098245095,-4,-4,divergence,3,8936335,linear,% of LAT_AM
CEE,Bulgaria,BGR,CEE: Bulgaria,1995-2023,% of LAT_AM,101.72047116538742,99.20975033906002,capitalism,1,-2.5107208263274003,-3,-3,divergence,4,8357522,linear,% of LAT_AM
Yugosl.,Croatia,HRV,Yugosl.: Croatia,1950-1965,% of LAT_AM,117.04931897815015,118.6733770444034,socialism,1,1.624058066253241,2,+2,convergence,1,3864936,linear,% of LAT_AM
Yugosl.,Croatia,HRV,Yugosl.: Croatia,1965-1989,% of LAT_AM,118.6733770444034,106.94794951348955,socialism,1,-11.725427530913848,-12,-12,divergence,2,4346657,linear,% of LAT_AM
Yugosl.,Croatia,HRV,Yugosl.: Croatia,1989-1995,% of LAT_AM,106.94794951348955,104.01284423108014,transition,1,-2.9351052824094097,-3,-3,divergence,3,4820680,linear,% of LAT_AM
Yugosl.,Croatia,HRV,Yugosl.: Croatia,1995-2023,% of LAT_AM,104.01284423108014,103.07130233192842,capitalism,1,-0.9415418991517157,-1,-1,divergence,4,4619314,linear,% of LAT_AM
CEE,Czechia,CZE,CEE: Czechia,1950-1965,% of LAT_AM,128.9699557291172,121.76399295125543,socialism,1,-7.205962777861771,-7,-7,divergence,1,8916664,linear,% of LAT_AM
CEE,Czechia,CZE,CEE: Czechia,1965-1989,% of LAT_AM,121.76399295125543,105.85275417081493,socialism,1,-15.911238780440499,-16,-16,divergence,2,9706802,linear,% of LAT_AM
CEE,Czechia,CZE,CEE: Czechia,1989-1995,% of LAT_AM,105.85275417081493,104.89584936393827,transition,1,-0.9569048068766648,-1,-1,divergence,3,10305562,linear,% of LAT_AM
CEE,Czechia,CZE,CEE: Czechia,1995-2023,% of LAT_AM,104.89584936393827,104.71587226693468,capitalism,1,-0.17997709700358655,-0,+0,no change,4,10311979,linear,% of LAT_AM
Baltics,Estonia,EST,Baltics: Estonia,1950-1965,% of LAT_AM,132.8873657200322,122.55532095163039,socialism,1,-10.3320447684018,-10,-10,divergence,1,1102004,linear,% of LAT_AM
Baltics,Estonia,EST,Baltics: Estonia,1965-1989,% of LAT_AM,122.55532095163039,103.99930127677341,socialism,1,-18.556019674856984,-19,-19,divergence,2,1292753,linear,% of LAT_AM
Baltics,Estonia,EST,Baltics: Estonia,1989-1995,% of LAT_AM,103.99930127677341,97.20840094347582,transition,1,-6.790900333297586,-7,-7,divergence,3,1567538,linear,% of LAT_AM
Baltics,Estonia,EST,Baltics: Estonia,1995-2023,% of LAT_AM,97.20840094347582,103.82315070227901,capitalism,1,6.614749758803185,7,+7,convergence,4,1452730,linear,% of LAT_AM
CEE,Hungary,HUN,CEE: Hungary,1950-1965,% of LAT_AM,124.42958083089064,119.84078515008139,socialism,1,-4.588795680809255,-5,-5,divergence,1,9337826,linear,% of LAT_AM
CEE,Hungary,HUN,CEE: Hungary,1965-1989,% of LAT_AM,119.84078515008139,102.37140787612488,socialism,1,-17.46937727395651,-17,-17,divergence,2,10141073,linear,% of LAT_AM
CEE,Hungary,HUN,CEE: Hungary,1989-1995,% of LAT_AM,102.37140787612488,100.29691207863188,transition,1,-2.0744957974930003,-2,-2,divergence,3,10403359,linear,% of LAT_AM
CEE,Hungary,HUN,CEE: Hungary,1995-2023,% of LAT_AM,100.29691207863188,101.02995268298103,capitalism,1,0.7330406043491564,1,+1,convergence,4,10322744,linear,% of LAT_AM
Baltics,Latvia,LVA,Baltics: Latvia,1950-1965,% of LAT_AM,129.30356535161192,123.4369428390389,socialism,1,-5.8666225125730165,-6,-6,divergence,1,1918675,linear,% of LAT_AM
Baltics,Latvia,LVA,Baltics: Latvia,1965-1989,% of LAT_AM,123.4369428390389,103.85989400322444,socialism,1,-19.577048835814466,-20,-20,divergence,2,2252726,linear,% of LAT_AM
Baltics,Latvia,LVA,Baltics: Latvia,1989-1995,% of LAT_AM,103.85989400322444,94.60109893672963,transition,1,-9.258795066494812,-9,-9,divergence,3,2664789,linear,% of LAT_AM
Baltics,Latvia,LVA,Baltics: Latvia,1995-2023,% of LAT_AM,94.60109893672963,99.9357588404366,capitalism,1,5.334659903706978,5,+5,convergence,4,2485908,linear,% of LAT_AM
Baltics,Lithuania,LTU,Baltics: Lithuania,1950-1965,% of LAT_AM,132.29884310267806,124.25253407201407,socialism,1,-8.046309030663991,-8,-8,divergence,1,2432951,linear,% of LAT_AM
Baltics,Lithuania,LTU,Baltics: Lithuania,1965-1989,% of LAT_AM,124.25253407201407,105.67971212650492,socialism,1,-18.572821945509148,-19,-19,divergence,2,2965212,linear,% of LAT_AM
Baltics,Lithuania,LTU,Baltics: Lithuania,1989-1995,% of LAT_AM,105.67971212650492,98.93441795723308,transition,1,-6.745294169271844,-7,-7,divergence,3,3696048,linear,% of LAT_AM
Baltics,Lithuania,LTU,Baltics: Lithuania,1995-2023,% of LAT_AM,98.93441795723308,99.71959587561844,capitalism,1,0.785177918385358,1,+1,convergence,4,3626997,linear,% of LAT_AM
CEE,Poland,POL,CEE: Poland,1950-1965,% of LAT_AM,116.809624669551,120.25014054580753,socialism,1,3.4405158762565264,3,+3,convergence,1,24780120,linear,% of LAT_AM
CEE,Poland,POL,CEE: Poland,1965-1989,% of LAT_AM,120.25014054580753,104.46856533725942,socialism,1,-15.781575208548105,-16,-16,divergence,2,31288294,linear,% of LAT_AM
CEE,Poland,POL,CEE: Poland,1989-1995,% of LAT_AM,104.46856533725942,103.14933401673964,transition,1,-1.3192313205197763,-1,-1,divergence,3,37938044,linear,% of LAT_AM
CEE,Poland,POL,CEE: Poland,1995-2023,% of LAT_AM,103.14933401673964,103.14029609375753,capitalism,1,-0.009037922982116697,-0,+0,no change,4,38364630,linear,% of LAT_AM
CEE,Romania,ROU,CEE: Romania,1950-1965,% of LAT_AM,121.16537287393592,118.51965213500071,socialism,1,-2.6457207389352106,-3,-3,divergence,1,16397220,linear,% of LAT_AM
CEE,Romania,ROU,CEE: Romania,1965-1989,% of LAT_AM,118.51965213500071,102.59504959750079,socialism,1,-15.924602537499922,-16,-16,divergence,2,18713016,linear,% of LAT_AM
CEE,Romania,ROU,CEE: Romania,1989-1995,% of LAT_AM,102.59504959750079,99.37104679403272,transition,1,-3.2240028034680677,-3,-3,divergence,3,22887592,linear,% of LAT_AM
CEE,Romania,ROU,CEE: Romania,1995-2023,% of LAT_AM,99.37104679403272,99.60561188506806,capitalism,1,0.23456509103533563,0,+0,no change,4,22657664,linear,% of LAT_AM
USSR,Russia,RUS,USSR: Russia,1950-1965,% of LAT_AM,111.08099076779277,120.0757918886947,socialism,1,8.994801120901926,9,+9,convergence,1,103392314,linear,% of LAT_AM
USSR,Russia,RUS,USSR: Russia,1965-1989,% of LAT_AM,120.0757918886947,102.80261153811816,socialism,1,-17.27318035057654,-17,-17,divergence,2,126634148,linear,% of LAT_AM
USSR,Russia,RUS,USSR: Russia,1989-1995,% of LAT_AM,102.80261153811816,91.7329090498208,transition,1,-11.069702488297352,-11,-11,divergence,3,148281823,linear,% of LAT_AM
USSR,Russia,RUS,USSR: Russia,1995-2023,% of LAT_AM,91.7329090498208,95.95392684833381,capitalism,1,4.221017798513003,4,+4,convergence,4,148291356,linear,% of LAT_AM
Yugosl.,Serbia,SRB,Yugosl.: Serbia,1950-1965,% of LAT_AM,110.31044465293101,119.0927843507782,socialism,1,8.782339697847192,9,+9,convergence,1,6009148,linear,% of LAT_AM
Yugosl.,Serbia,SRB,Yugosl.: Serbia,1965-1989,% of LAT_AM,119.0927843507782,106.71604662034778,socialism,1,-12.37673773043042,-12,-12,divergence,2,7031084,linear,% of LAT_AM
Yugosl.,Serbia,SRB,Yugosl.: Serbia,1989-1995,% of LAT_AM,106.71604662034778,104.2496501530739,transition,1,-2.4663964672738814,-2,-2,divergence,3,7881211,linear,% of LAT_AM
Yugosl.,Serbia,SRB,Yugosl.: Serbia,1995-2023,% of LAT_AM,104.2496501530739,100.69587072218498,capitalism,1,-3.5537794308889232,-4,-4,divergence,4,7823230,linear,% of LAT_AM
CEE,Slovakia,SVK,CEE: Slovakia,1950-1965,% of LAT_AM,121.70063008937913,121.8076667699358,socialism,1,0.10703668055667492,0,+0,no change,1,3465707,linear,% of LAT_AM
CEE,Slovakia,SVK,CEE: Slovakia,1965-1989,% of LAT_AM,121.8076667699358,104.6476557394694,socialism,1,-17.160011030466407,-17,-17,divergence,2,4364999,linear,% of LAT_AM
CEE,Slovakia,SVK,CEE: Slovakia,1989-1995,% of LAT_AM,104.6476557394694,103.57205838959658,transition,1,-1.0755973498728224,-1,-1,divergence,3,5249882,linear,% of LAT_AM
CEE,Slovakia,SVK,CEE: Slovakia,1995-2023,% of LAT_AM,103.57205838959658,102.7579447330506,capitalism,1,-0.8141136565459703,-1,-1,divergence,4,5354244,linear,% of LAT_AM
Yugosl.,Slovenia,SVN,Yugosl.: Slovenia,1950-1965,% of LAT_AM,123.78238617308574,119.06418839807081,socialism,1,-4.718197775014929,-5,-5,divergence,1,1446309,linear,% of LAT_AM
Yugosl.,Slovenia,SVN,Yugosl.: Slovenia,1965-1989,% of LAT_AM,119.06418839807081,108.11823300667892,socialism,1,-10.945955391391891,-11,-11,divergence,2,1675272,linear,% of LAT_AM
Yugosl.,Slovenia,SVN,Yugosl.: Slovenia,1989-1995,% of LAT_AM,108.11823300667892,106.67562074860817,transition,1,-1.4426122580707528,-1,-1,divergence,3,1995417,linear,% of LAT_AM
Yugosl.,Slovenia,SVN,Yugosl.: Slovenia,1995-2023,% of LAT_AM,106.67562074860817,107.03660730123563,capitalism,1,0.36098655262746604,0,+0,no change,4,1988051,linear,% of LAT_AM
USSR,Ukraine,UKR,USSR: Ukraine,1950-1965,% of LAT_AM,122.49921062629929,123.29725594278351,socialism,1,0.7980453164842203,1,+1,convergence,1,37310845,linear,% of LAT_AM
USSR,Ukraine,UKR,USSR: Ukraine,1965-1989,% of LAT_AM,123.29725594278351,104.50220010802042,socialism,1,-18.79505583476309,-19,-19,divergence,2,45386845,linear,% of LAT_AM
USSR,Ukraine,UKR,USSR: Ukraine,1989-1995,% of LAT_AM,104.50220010802042,96.2042692948279,transition,1,-8.297930813192522,-8,-8,divergence,3,51917779,linear,% of LAT_AM
USSR,Ukraine,UKR,USSR: Ukraine,1995-2023,% of LAT_AM,96.2042692948279,96.30597866724885,capitalism,1,0.1017093724209559,0,+0,no change,4,51665488,linear,% of LAT_AM
USSR,Belarus,BLR,USSR: Belarus,1950-1965,% of G7,88.97376613981415,101.51767305499416,socialism,1,12.543906915180017,13,+13,convergence,1,7127548,linear,% of G7
USSR,Belarus,BLR,USSR: Belarus,1965-1989,% of G7,101.51767305499416,93.74074518159273,socialism,1,-7.7769278734014335,-8,-8,divergence,2,8679894,linear,% of G7
USSR,Belarus,BLR,USSR: Belarus,1989-1995,% of G7,93.74074518159273,89.09154906231053,transition,1,-4.649196119282195,-5,-5,divergence,3,10158729,linear,% of G7
USSR,Belarus,BLR,USSR: Belarus,1995-2023,% of G7,89.09154906231053,91.44567974882506,capitalism,1,2.354130686514523,2,+2,convergence,4,10197421,linear,% of G7
CEE,Bulgaria,BGR,CEE: Bulgaria,1950-1965,% of G7,93.26378080108404,101.05721599193268,socialism,1,7.793435190848641,8,+8,convergence,1,7248464,linear,% of G7
CEE,Bulgaria,BGR,CEE: Bulgaria,1965-1989,% of G7,101.05721599193268,93.71019895074592,socialism,1,-7.34701704118676,-7,-7,divergence,2,8202371,linear,% of G7
CEE,Bulgaria,BGR,CEE: Bulgaria,1989-1995,% of G7,93.71019895074592,91.9552203432285,transition,1,-1.7549786075174154,-2,-2,divergence,3,8936335,linear,% of G7
CEE,Bulgaria,BGR,CEE: Bulgaria,1995-2023,% of G7,91.9552203432285,92.92288684572564,capitalism,1,0.9676665024971385,1,+1,convergence,4,8357522,linear,% of G7
Yugosl.,Croatia,HRV,Yugosl.: Croatia,1950-1965,% of G7,88.6873099884268,97.04476281575668,socialism,1,8.35745282732988,8,+8,convergence,1,3864936,linear,% of G7
Yugosl.,Croatia,HRV,Yugosl.: Croatia,1965-1989,% of G7,97.04476281575668,95.0430896332327,socialism,1,-2.0016731825239873,-2,-2,divergence,2,4346657,linear,% of G7
Yugosl.,Croatia,HRV,Yugosl.: Croatia,1989-1995,% of G7,95.0430896332327,94.02752366575169,transition,1,-1.0155659674810096,-1,-1,divergence,3,4820680,linear,% of G7
Yugosl.,Croatia,HRV,Yugosl.: Croatia,1995-2023,% of G7,94.02752366575169,96.5397345613571,capitalism,1,2.5122108956054063,3,+3,convergence,4,4619314,linear,% of G7
CEE,Czechia,CZE,CEE: Czechia,1950-1965,% of G7,97.71947878720297,99.57210378392377,socialism,1,1.8526249967207917,2,+2,convergence,1,8916664,linear,% of G7
CEE,Czechia,CZE,CEE: Czechia,1965-1989,% of G7,99.57210378392377,94.06980543663767,socialism,1,-5.5022983472861,-6,-6,divergence,2,9706802,linear,% of G7
CEE,Czechia,CZE,CEE: Czechia,1989-1995,% of G7,94.06980543663767,94.8257595628717,transition,1,0.7559541262340304,1,+1,convergence,3,10305562,linear,% of G7
CEE,Czechia,CZE,CEE: Czechia,1995-2023,% of G7,94.8257595628717,98.08008906742326,capitalism,1,3.2543295045515634,3,+3,convergence,4,10311979,linear,% of G7
Baltics,Estonia,EST,Baltics: Estonia,1950-1965,% of G7,100.68766824143545,100.21920964724745,socialism,1,-0.46845859418799307,-0,+0,no change,1,1102004,linear,% of G7
Baltics,Estonia,EST,Baltics: Estonia,1965-1989,% of G7,100.21920964724745,92.42266876556813,socialism,1,-7.79654088167932,-8,-8,divergence,2,1292753,linear,% of G7
Baltics,Estonia,EST,Baltics: Estonia,1989-1995,% of G7,92.42266876556813,87.87631265919507,transition,1,-4.546356106373068,-5,-5,divergence,3,1567538,linear,% of G7
Baltics,Estonia,EST,Baltics: Estonia,1995-2023,% of G7,87.87631265919507,97.24393874294675,capitalism,1,9.367626083751688,9,+9,convergence,4,1452730,linear,% of G7
CEE,Hungary,HUN,CEE: Hungary,1950-1965,% of G7,94.27927392673848,97.999406945267907,socialism,1,3.720133018529424,4,+4,convergence,1,9337826,linear,% of G7
CEE,Hungary,HUN,CEE: Hungary,1965-1989,% of G7,97.999406945267907,90.97598354069926,socialism,1,-7.023423404568646,-7,-7,divergence,2,10141073,linear,% of G7
CEE,Hungary,HUN,CEE: Hungary,1989-1995,% of G7,90.97598354069926,90.66832412662158,transition,1,-0.3076594140776763,-0,+0,no change,3,10403359,linear,% of G7
CEE,Hungary,HUN,CEE: Hungary,1995-2023,% of G7,90.66832412662158,94.62774403831455,capitalism,1,3.9594199116929616,4,+4,convergence,4,10322744,linear,% of G7
Baltics,Latvia,LVA,Baltics: Latvia,1950-1965,% of G7,97.97225206485729,100.94015303899677,socialism,1,2.967900974139482,3,+3,convergence,1,1918675,linear,% of G7
Baltics,Latvia,LVA,Baltics: Latvia,1965-1989,% of G7,100.94015303899677,92.29877954603926,socialism,1,-8.641373492957513,-9,-9,divergence,2,2252726,linear,% of G7
Baltics,Latvia,LVA,Baltics: Latvia,1989-1995,% of G7,92.29877954603926,85.51931383894905,transition,1,-6.7794657070902105,-7,-7,divergence,3,2664789,linear,% of G7
Baltics,Latvia,LVA,Baltics: Latvia,1995-2023,% of G7,85.51931383894905,93.60288861563122,capitalism,1,8.08357477668217,8,+8,convergence,4,2485908,linear,% of G7
Baltics,Lithuania,LTU,Baltics: Lithuania,1950-1965,% of G7,100.24174947611371,101.60710008078418,socialism,1,1.3653506046704678,1,+1,convergence,1,2432951,linear,% of G7
Baltics,Lithuania,LTU,Baltics: Lithuania,1965-1989,% of G7,101.60710008078418,93.91602548477802,socialism,1,-7.69107459600616,-8,-8,divergence,2,2965212,linear,% of G7
Baltics,Lithuania,LTU,Baltics: Lithuania,1989-1995,% of G7,93.91602548477802,89.43663058731549,transition,1,-4.479394897462527,-4,-4,divergence,3,3696048,linear,% of G7
Baltics,Lithuania,LTU,Baltics: Lithuania,1995-2023,% of G7,89.43663058731549,93.4004237706801,capitalism,1,3.963793183364615,4,+4,convergence,4,3626997,linear,% of G7
CEE,Poland,POL,CEE: Poland,1950-1965,% of G7,88.50569557464996,98.3341559704914,socialism,1,9.828460395841432,10,+10,convergence,1,24780120,linear,% of G7
CEE,Poland,POL,CEE: Poland,1965-1989,% of G7,98.3341559704914,92.83969692146373,socialism,1,-5.494459049027668,-5,-5,divergence,2,31288294,linear,% of G7
CEE,Poland,POL,CEE: Poland,1989-1995,% of G7,92.83969692146373,93.24691115856811,transition,1,0.40721423710438387,0,+0,no change,3,37938044,linear,% of G7
CEE,Poland,POL,CEE: Poland,1995-2023,% of G7,93.24691115856811,96.60435622910242,capitalism,1,3.357445070534311,3,+3,convergence,4,38364630,linear,% of G7
CEE,Romania,ROU,CEE: Romania,1950-1965,% of G7,91.80601030186278,96.91905477791872,socialism,1,5.113044476055933,5,+5,convergence,1,16397220,linear,% of G7
CEE,Romania,ROU,CEE: Romania,1965-1989,% of G7,96.91905477791872,91.17473069075828,socialism,1,-5.744324087160436,-6,-6,divergence,2,18713016,linear,% of G7
CEE,Romania,ROU,CEE: Romania,1989-1995,% of G7,91.17473069075828,89.83134268839137,transition,1,-1.3433880023669076,-1,-1,divergence,3,22887592,linear,% of G7
CEE,Romania,ROU,CEE: Romania,1995-2023,% of G7,89.83134268839137,93.29366287853053,capitalism,1,3.4623201901391525,3,+3,convergence,4,22657664,linear,% of G7
USSR,Russia,RUS,USSR: Russia,1950-1965,% of G7,84.16515660278048,98.1915829309593,socialism,1,14.026426328178815,14,+14,convergence,1,103392314,linear,% of G7
USSR,Russia,RUS,USSR: Russia,1965-1989,% of G7,98.1915829309593,91.35918797316793,socialism,1,-6.832394957791365,-7,-7,divergence,2,126634148,linear,% of G7
USSR,Russia,RUS,USSR: Russia,1989-1995,% of G7,91.35918797316793,82.92647259455393,transition,1,-8.432715378614006,-8,-8,divergence,3,148281823,linear,% of G7
USSR,Russia,RUS,USSR: Russia,1995-2023,% of G7,82.92647259455393,89.87338297353119,capitalism,1,6.946910378977265,7,+7,convergence,4,148291356,linear,% of G7
Yugosl.,Serbia,SRB,Yugosl.: Serbia,1950-1965,% of G7,83.581320124741,97.38773175777229,socialism,1,13.806411633031288,14,+14,convergence,1,6009148,linear,% of G7
