variable,init_yr,last_yr,country,unit,val_init,val_2010,val_last
median_hourly_earnings,2006,2022,Austria,constant_PPS,84.75747423515924,85.60092109277164,93.61252783153418
median_hourly_earnings,2006,2022,Austria,constant_euro_2006,82.56035502653091,85.00956330623993,86.3113249618123
median_hourly_earnings,2006,2022,Austria,current_PPS,84.75747423515924,85.60092109277164,93.61252783153418
median_hourly_earnings,2006,2022,Belgium,constant_PPS,100.66862463309528,107.83966124038267,126.84140221448334
median_hourly_earnings,2006,2022,Belgium,constant_euro_2006,101.12757650030866,106.57069852714993,115.75519716610427
median_hourly_earnings,2006,2022,Belgium,current_PPS,100.66862463309528,107.83966124038267,126.84140221448334
median_hourly_earnings,2006,2022,Bulgaria,constant_PPS,15.987646313310721,24.936554526173676,40.01756914935812
median_hourly_earnings,2006,2022,Bulgaria,constant_euro_2006,5.652481133445369,8.437488423170494,17.630746814461055
median_hourly_earnings,2006,2022,Bulgaria,current_PPS,15.987646313310721,24.936554526173683,40.017569149358124
median_hourly_earnings,2006,2022,Croatia,constant_PPS,NA,50.310592465087254,55.976956845828326
median_hourly_earnings,2006,2022,Croatia,constant_euro_2006,NA,29.608264577576293,33.99484246122032
median_hourly_earnings,2006,2022,Croatia,current_PPS,NA,50.310592465087254,55.976956845828326
median_hourly_earnings,2006,2022,Czechia,constant_PPS,44.750110494195084,46.22741394618161,60.80050312722417
median_hourly_earnings,2006,2022,Czechia,constant_euro_2006,25.72466645106159,26.54226675352517,32.45982563891332
median_hourly_earnings,2006,2022,Czechia,current_PPS,44.750110494195084,46.22741394618161,60.80050312722418
median_hourly_earnings,2006,2022,Denmark,constant_PPS,116.80926277715538,131.9741628431999,133.33234721043576
median_hourly_earnings,2006,2022,Denmark,constant_euro_2006,148.6095122142445,160.43585135351012,160.1929362351062
median_hourly_earnings,2006,2022,Denmark,current_PPS,116.80926277715538,131.9741628431999,133.33234721043576
median_hourly_earnings,2006,2022,Estonia,constant_PPS,34.882137410859755,43.45668566549566,62.229702025415534
median_hourly_earnings,2006,2022,Estonia,constant_euro_2006,20.653349248576262,23.790932490120696,35.04546296825684
median_hourly_earnings,2006,2022,Estonia,current_PPS,34.882137410859755,43.456685665495655,62.229702025415534
median_hourly_earnings,2006,2022,Finland,constant_PPS,89.95919648063833,97.41297323674864,92.8383784283472
median_hourly_earnings,2006,2022,Finland,constant_euro_2006,97.22987733596604,103.35863112787523,100.101615165923
