country,year,rel_val-2005,rel_val-2010,var_name
Bulgaria,2006,100,NA,median_equiv_net_income
Bulgaria,2007,103.09375,NA,median_equiv_net_income
Bulgaria,2008,148.90625,NA,median_equiv_net_income
Bulgaria,2009,179.71875,NA,median_equiv_net_income
Bulgaria,2010,183.90625,100,median_equiv_net_income
Bulgaria,2011,182.21875,99.08241291418861,median_equiv_net_income
Bulgaria,2012,178.03125,96.8054375531011,median_equiv_net_income
Bulgaria,2013,184.375,100.25488530161428,median_equiv_net_income
Bulgaria,2014,211.0625,114.76635514018692,median_equiv_net_income
Bulgaria,2015,215.0625,116.94137638062871,median_equiv_net_income
Bulgaria,2016,210.6875,114.5624468988955,median_equiv_net_income
Bulgaria,2017,235.40625,128.00339847068818,median_equiv_net_income
Bulgaria,2018,225.5625,122.65080713678844,median_equiv_net_income
Bulgaria,2019,261.59375,142.2429906542056,median_equiv_net_income
Bulgaria,2020,270.21875,146.93288020390824,median_equiv_net_income
Bulgaria,2021,292.96875,159.30331350892098,median_equiv_net_income
Bulgaria,2022,302.21875,164.33305012744265,median_equiv_net_income
Bulgaria,2023,348.59375,189.54970263381477,median_equiv_net_income
Bulgaria,2024,408.71875,222.2429906542056,median_equiv_net_income
Croatia,2010,100,100,median_equiv_net_income
Croatia,2011,97.52924168747536,97.52924168747536,median_equiv_net_income
Croatia,2012,97.37153371008017,97.37153371008017,median_equiv_net_income
Croatia,2013,96.71441713760021,96.71441713760021,median_equiv_net_income
Croatia,2014,100.30227362334078,100.30227362334078,median_equiv_net_income
Croatia,2015,108.46366145354186,108.46366145354186,median_equiv_net_income
Croatia,2016,118.08384807464844,118.08384807464844,median_equiv_net_income
Croatia,2017,124.11617821001445,124.11617821001445,median_equiv_net_income
Croatia,2018,129.7148114075437,129.7148114075437,median_equiv_net_income
Croatia,2019,141.06978577999737,141.06978577999737,median_equiv_net_income
Croatia,2020,145.74845577605467,145.74845577605467,median_equiv_net_income
Croatia,2021,149.62544355368644,149.62544355368644,median_equiv_net_income
Croatia,2022,161.34840320672888,161.34840320672888,median_equiv_net_income
Croatia,2023,176.6066500197135,176.6066500197135,median_equiv_net_income
Croatia,2024,213.91772900512552,213.91772900512552,median_equiv_net_income
Czechia,2005,100,NA,median_equiv_net_income
Czechia,2006,108.11412118832614,NA,median_equiv_net_income
Czechia,2007,115.70475068708284,NA,median_equiv_net_income
Czechia,2008,127.2739170265672,NA,median_equiv_net_income
Czechia,2009,132.23400078523753,NA,median_equiv_net_income
Czechia,2010,126.42324303101688,100,median_equiv_net_income
Czechia,2011,130.72896217772544,103.40579710144928,median_equiv_net_income
Czechia,2012,134.9692448632378,106.75983436853002,median_equiv_net_income
Czechia,2013,141.36893076822406,111.82194616977226,median_equiv_net_income
Czechia,2014,145.15115822536316,114.8136645962733,median_equiv_net_income
Czechia,2015,152.4931291715744,120.62111801242236,median_equiv_net_income
Czechia,2016,163.30323256118308,129.1718426501035,median_equiv_net_income
Czechia,2017,165.4364611961785,130.8592132505176,median_equiv_net_income
Czechia,2018,173.58984426122234,137.30848861283644,median_equiv_net_income
Czechia,2019,183.68014657767307,145.28985507246378,median_equiv_net_income
Czechia,2020,185.1982724774244,146.49068322981367,median_equiv_net_income
Czechia,2021,180.80094228504123,143.01242236024845,median_equiv_net_income
Czechia,2022,200.94228504122498,158.944099378882,median_equiv_net_income
Czechia,2023,212.11883261353225,167.78467908902692,median_equiv_net_income
Czechia,2024,222.11752388430833,175.6935817805383,median_equiv_net_income
Estonia,2005,100,NA,median_equiv_net_income
Estonia,2006,119.06474820143885,NA,median_equiv_net_income
Estonia,2007,137.3677528565383,NA,median_equiv_net_income
Estonia,2008,160.0507829030893,NA,median_equiv_net_income
Estonia,2009,171.41345746931867,NA,median_equiv_net_income
Estonia,2010,156.8556919170546,100,median_equiv_net_income
Estonia,2011,158.37917900973338,100.9712666936463,median_equiv_net_income
Estonia,2012,166.9699534490055,106.44813166059625,median_equiv_net_income
Estonia,2013,182.120186203978,116.10683933630109,median_equiv_net_income
Estonia,2014,195.53533643673296,124.65938216646433,median_equiv_net_income
Estonia,2015,220.73635209479474,140.72575205719681,median_equiv_net_income
Estonia,2016,251.10029623360134,160.0836368541751,median_equiv_net_income
Estonia,2017,262.6745662293694,167.46256576284904,median_equiv_net_income
Estonia,2018,283.07236563690225,180.4667476055578,median_equiv_net_income
Estonia,2019,301.3118916631401,192.0949682989343,median_equiv_net_income
Estonia,2020,303.23741007194246,193.3225414811817,median_equiv_net_income
Estonia,2021,313.3728311468472,199.7841629569675,median_equiv_net_income
Estonia,2022,361.06644096487514,230.1902063941724,median_equiv_net_income
Estonia,2023,327.80363944138804,208.98421691622823,median_equiv_net_income
Estonia,2024,348.7515869657215,222.33913395386483,median_equiv_net_income
Hungary,2005,100,NA,median_equiv_net_income
Hungary,2006,109.27890667146197,NA,median_equiv_net_income
Hungary,2007,116.7056284840856,NA,median_equiv_net_income
Hungary,2008,118.62974285200504,NA,median_equiv_net_income
Hungary,2009,122.92753101960079,NA,median_equiv_net_income
