STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,coicop,Classification of individual consumption by purpose (COICOP),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_HICP_AIND(1.0),HICP - annual data (average index and rate of change),A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,BG,Bulgaria,2007,,81.78,,,,,
dataflow,ESTAT:PRC_HICP_AIND(1.0),HICP - annual data (average index and rate of change),A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,BG,Bulgaria,2008,,91.55,,,,,
dataflow,ESTAT:PRC_HICP_AIND(1.0),HICP - annual data (average index and rate of change),A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,BG,Bulgaria,2009,,93.81,,,,,
dataflow,ESTAT:PRC_HICP_AIND(1.0),HICP - annual data (average index and rate of change),A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,BG,Bulgaria,2010,,96.66,,,,,
dataflow,ESTAT:PRC_HICP_AIND(1.0),HICP - annual data (average index and rate of change),A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,BG,Bulgaria,2011,,99.94,,,,,
dataflow,ESTAT:PRC_HICP_AIND(1.0),HICP - annual data (average index and rate of change),A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,BG,Bulgaria,2012,,102.33,,,,,
dataflow,ESTAT:PRC_HICP_AIND(1.0),HICP - annual data (average index and rate of change),A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,BG,Bulgaria,2013,,102.72,,,,,
dataflow,ESTAT:PRC_HICP_AIND(1.0),HICP - annual data (average index and rate of change),A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,BG,Bulgaria,2014,,101.08,,,,,
dataflow,ESTAT:PRC_HICP_AIND(1.0),HICP - annual data (average index and rate of change),A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,BG,Bulgaria,2015,,100.00,,,,,
dataflow,ESTAT:PRC_HICP_AIND(1.0),HICP - annual data (average index and rate of change),A,Annual,INX_A_AVG,Annual average index,CP00,All-items HICP,BG,Bulgaria,2016,,98.68,,,,,
