country,region,start_yr,end_yr,start,end,pop_start,pop_end,mean_end,mean_start,scaling,change,log_change,mean_lin_diff,mean_log_diff,label_color,label_txt_linear,label_txt_log,label_final,x_text,mean_start_end_lin,mean_start_end_log,mean_label_val,mean_label_txt,region_lab,period_lab_T_F,period_lab,x_start,x_end,type_scale,sel_var
Poland,CEE,1995,2024,118.11096434199249,216.47620190130175,38364630,36554707,207.01513356563513,108.55783180465701,1,98.36523755930926,0.605856061097788,98.45730176097811,0.6455088566012154,black,+98%,0.61,+98%,167.29358312164712,109 → 207,4.69 → 5.33,98,+98% (109 → 207),"CEE
 +98% (109 → 207)",FALSE,,118.11096434199249,216.47620190130175,linear,% of LAT_AM
Czechia,CEE,1995,2024,103.47086321971338,188.45805556031604,10311979,10882164,207.01513356563513,108.55783180465701,1,84.98719234060266,0.5995854069187816,98.45730176097811,0.6455088566012154,black,+85%,0.6,+85%,145.96445939001472,109 → 207,4.69 → 5.33,98,+98% (109 → 207),"CEE
 +98% (109 → 207)",FALSE,,103.47086321971338,188.45805556031604,linear,% of LAT_AM
Slovakia,CEE,1995,2024,92.7102458675811,176.7890573548746,5354244,5422069,207.01513356563513,108.55783180465701,1,84.07881148729349,0.6454782618764292,98.45730176097811,0.6455088566012154,black,+84%,0.65,+84%,134.74965161122785,109 → 207,4.69 → 5.33,98,+98% (109 → 207),"CEE
 +98% (109 → 207)",FALSE,,92.7102458675811,176.7890573548746,linear,% of LAT_AM
Hungary,CEE,1995,2024,101.24495568802101,171.3561574412974,10322744,9562314,207.01513356563513,108.55783180465701,1,70.11120175327639,0.5262012981723477,98.45730176097811,0.6455088566012154,black,+70%,0.53,+70%,136.3005565646592,109 → 207,4.69 → 5.33,98,+98% (109 → 207),"CEE
 +98% (109 → 207)",FALSE,,101.24495568802101,171.3561574412974,linear,% of LAT_AM
Israel,Asia,1995,2024,223.5813141658559,268.01471391113387,5354680,9974400,212.03042067986442,191.42244595397426,1,44.43339974527797,0.18126671199954733,20.60797472589016,0.10224701352093388,black,+44%,0.18,+44%,245.7980140384949,191 → 212,5.25 → 5.36,21,+21% (191 → 212),"Asia
 +21% (191 → 212)",FALSE,,223.5813141658559,268.01471391113387,linear,% of LAT_AM
"South
Korea",Asia,1995,2023,187.6268399838235,201.2396222953646,45368368,51748695,212.03042067986442,191.42244595397426,1,13.61278231154111,0.07004125212008264,20.60797472589016,0.10224701352093388,black,+14%,0.07,+14%,194.43323113959406,191 → 212,5.25 → 5.36,21,+21% (191 → 212),"Asia
 +21% (191 → 212)",TRUE,(1995-2023),187.6268399838235,201.2396222953646,linear,% of LAT_AM
Portugal,Southern Europe,1995,2024,183.3817643194311,195.87104150498095,10031702,10701636,244.5033100092973,261.0283186554434,1,12.489277185549838,0.06588636749324182,-16.52500864614609,-0.06540005533887087,black,+12%,0.07,+12%,189.62640291220603,261 → 245,5.56 → 5.5,-17,-17% (261 → 245),"Southern Europe
 -17% (261 → 245)",FALSE,,183.3817643194311,195.87104150498095,linear,% of LAT_AM
Greece,Southern Europe,1995,2024,146.27144208593938,157.94618282952675,10519187,10388805,244.5033100092973,261.0283186554434,1,11.674740743587364,0.07679027208267798,-16.52500864614609,-0.06540005533887087,black,+12%,0.08,+12%,152.10881245773305,261 → 245,5.56 → 5.5,-17,-17% (261 → 245),"Southern Europe
 -17% (261 → 245)",FALSE,,146.27144208593938,157.94618282952675,linear,% of LAT_AM
Spain,Southern Europe,1995,2024,289.2015585158105,267.17332791456636,40052688,48807137,244.5033100092973,261.0283186554434,1,-22.02823060124416,-0.0792262633278509,-16.52500864614609,-0.06540005533887087,red,-22%,-0.08,-22%,278.1874432151884,261 → 245,5.56 → 5.5,-17,-17% (261 → 245),"Southern Europe
 -17% (261 → 245)",FALSE,,289.2015585158105,267.17332791456636,linear,% of LAT_AM
Italy,Southern Europe,1995,2024,275.9693090256793,249.81323370636323,57403300,58986023,244.5033100092973,261.0283186554434,1,-26.156075319316074,-0.09957608685628781,-16.52500864614609,-0.06540005533887087,red,-26%,-0.1,-26%,262.8912713660213,261 → 245,5.56 → 5.5,-17,-17% (261 → 245),"Southern Europe
 -17% (261 → 245)",FALSE,,275.9693090256793,249.81323370636323,linear,% of LAT_AM
Latvia,CEE,1995,2024,11340,45566.516,2485908,1862441,42278.390205409305,19536.685846095614,1,34226.516,1.3908368502461146,22741.70435931369,0.7719820621310447,black,$34227k,1.39,1.39,10.0315100024048,19537 → 42278,9.88 → 10.65,0.77,+0.77 (9.88 → 10.65),"CEE
+0.77 (9.88 → 10.65)",FALSE,,9.336091577281744,10.726928427527858,logratio,value
Lithuania,CEE,1995,2024,13551.868,52897.636,3626997,2888055,42278.390205409305,19536.685846095614,1,39345.768,1.3618342521724522,22741.70435931369,0.7719820621310447,black,$39346k,1.36,1.36,10.195196802670885,19537 → 42278,9.88 → 10.65,0.77,+0.77 (9.88 → 10.65),"CEE
+0.77 (9.88 → 10.65)",FALSE,,9.514279676584659,10.87611392875711,logratio,value
Estonia,CEE,1995,2024,11589.685,38974.828,1452730,1371986,42278.390205409305,19536.685846095614,1,27385.143000000004,1.2128005234687194,22741.70435931369,0.7719820621310447,black,$27385k,1.21,1.21,9.964271019096568,19537 → 42278,9.88 → 10.65,0.77,+0.77 (9.88 → 10.65),"CEE
+0.77 (9.88 → 10.65)",FALSE,,9.357870757362209,10.570671280830929,logratio,value
Slovakia,CEE,1995,2024,16684.664,36105.364,5354244,5422069,42278.390205409305,19536.685846095614,1,19420.7,0.7719514674062584,22741.70435931369,0.7719820621310447,black,$19421k,0.77,0.77,10.108220986837468,19537 → 42278,9.88 → 10.65,0.77,+0.77 (9.88 → 10.65),"CEE
+0.77 (9.88 → 10.65)",FALSE,,9.72224525313434,10.494196720540597,logratio,value
Poland,CEE,1995,2024,21255.922,44210.61,38364630,36554707,42278.390205409305,19536.685846095614,1,22954.688000000002,0.7323292666276173,22741.70435931369,0.7719820621310447,black,$22955k,0.73,0.73,10.330555451194599,19537 → 42278,9.88 → 10.65,0.77,+0.77 (9.88 → 10.65),"CEE
+0.77 (9.88 → 10.65)",FALSE,,9.96439081788079,10.696720084508407,logratio,value
Czechia,CEE,1995,2024,18621.206,38488.506,10311979,10882164,42278.390205409305,19536.685846095614,1,19867.300000000003,0.7260586124486107,22741.70435931369,0.7719820621310447,black,$19867k,0.73,0.73,10.19508562402346,19537 → 42278,9.88 → 10.65,0.77,+0.77 (9.88 → 10.65),"CEE
+0.77 (9.88 → 10.65)",FALSE,,9.832056317799154,10.558114930247765,logratio,value
Hungary,CEE,1995,2024,18220.619,34995.811,10322744,9562314,42278.390205409305,19536.685846095614,1,16775.192000000003,0.652674503702177,22741.70435931369,0.7719820621310447,black,$16775k,0.65,0.65,10.13664639574327,19537 → 42278,9.88 → 10.65,0.77,+0.77 (9.88 → 10.65),"CEE
+0.77 (9.88 → 10.65)",FALSE,,9.810309143892182,10.462983647594358,logratio,value
Slovenia,CEE,1995,2024,32597.901,61776.28,1988051,2126324,42278.390205409305,19536.685846095614,1,29178.378999999997,0.6392715722194466,22741.70435931369,0.7719820621310447,black,$29178k,0.64,0.64,10.711638964888555,19537 → 42278,9.88 → 10.65,0.77,+0.77 (9.88 → 10.65),"CEE
+0.77 (9.88 → 10.65)",FALSE,,10.392003178778833,11.031274750998278,logratio,value
Chile,Latin America,1996,2023,20230.245,38129.817,14734005,19658791,23334.990473296504,18298.14139466596,1,17899.572000000004,0.6338178126544177,5036.849078630545,0.24315447958708095,black,$17900k,0.63,0.63,10.23184294714231,18298 → 23335,9.81 → 10.06,0.24,+0.24 (9.81 → 10.06),"Latin America
+0.24 (9.81 → 10.06)",TRUE,(1996-2023),9.914934040815101,10.548751853469518,logratio,value
Costa Rica,Latin America,1995,2023,23728.028,41009.612,3535133,5105469,23334.990473296504,18298.14139466596,1,17281.584000000003,0.5471495128168258,5036.849078630545,0.24315447958708095,black,$17282k,0.55,0.55,10.347987000825889,18298 → 23335,9.81 → 10.06,0.24,+0.24 (9.81 → 10.06),"Latin America
+0.24 (9.81 → 10.06)",TRUE,(1995-2023),10.074412244417475,10.621561757234302,logratio,value
"South
Korea",Asia,1995,2023,33766.395,50313.68,45368368,51748695,51028.362444021965,34449.47387327591,1,16547.285000000003,0.398810931175415,16578.888570746058,0.39288787933727204,black,$16547k,0.4,0.4,10.626626821714334,34449 → 51028,10.45 → 10.84,0.39,+0.39 (10.45 → 10.84),"Asia
+0.39 (10.45 → 10.84)",TRUE,(1995-2023),10.427221356126626,10.826032287302041,logratio,value
Israel,Asia,1995,2024,40236.967,54736.243,5354680,9974400,51028.362444021965,34449.47387327591,1,14499.276000000005,0.3077399175293764,16578.888570746058,0.39288787933727204,black,$14499k,0.31,0.31,10.756411387934222,34449 → 51028,10.45 → 10.84,0.39,+0.39 (10.45 → 10.84),"Asia
+0.39 (10.45 → 10.84)",FALSE,,10.602541429169532,10.910281346698909,logratio,value
Greece,Southern Europe,1995,2024,26323.842,32257.112,10519187,10388805,49934.544248233775,46976.14325682551,1,5933.27,0.20326347761250724,2958.4009914082635,0.061073150190958526,black,$5933k,0.2,0.2,10.279862086236914,46976 → 49935,10.76 → 10.82,0.06,+0.06 (10.76 → 10.82),"Southern Europe
+0.06 (10.76 → 10.82)",FALSE,,10.178230347430661,10.381493825043169,logratio,value
Portugal,Southern Europe,1995,2024,33002.427,40002.449,10031702,10701636,49934.544248233775,46976.14325682551,1,7000.021999999997,0.19235957302307113,2958.4009914082635,0.061073150190958526,black,$7000k,0.19,0.19,10.500516169710364,46976 → 49935,10.76 → 10.82,0.06,+0.06 (10.76 → 10.82),"Southern Europe
+0.06 (10.76 → 10.82)",FALSE,,10.404336383198828,10.5966959562219,logratio,value
Mexico,Latin America,1995,2024,17773.579,20422.85,90862395,130861007,23334.990473296504,18298.14139466596,1,2649.270999999997,0.1389413432951929,5036.849078630545,0.24315447958708095,black,$2649k,0.14,0.14,9.854938979382158,18298 → 23335,9.81 → 10.06,0.24,+0.24 (9.81 → 10.06),"Latin America
+0.24 (9.81 → 10.06)",FALSE,,9.785468307734561,9.924409651029753,logratio,value
