country,region,start_yr,end_yr,start,end,pop_start,pop_end,mean_start,mean_end,scaling,change,log_change,mean_lin_diff,mean_log_diff,label_color,label_txt_linear,label_txt_log,label_final,x_text,mean_start_end_lin,mean_start_end_log,mean_label_val,mean_label_txt,region_lab,x_start,x_end,type_scale,sel_var
Hungary,CEE,1990,2023,21.433262,37.236074,10381231,9686418,17205.041615056816,40600.789118439796,0.001,15.802812000000003,0.5523340081557382,23.39574750338298,0.8585850448101425,black,$16k,0.55,$16k,29.334668,17 → 41,2.85 → 3.7,23,+23k (17 → 41),"CEE
+23k (17 → 41)",21.433262,37.236074,linear,value
Spain,Southern Europe,1990,2023,30.217458999999998,46.00844,39084924,47911535,35740.763962358076,47750.19980309279,0.001,15.790981000000002,0.42040498799898435,12.009435840734717,0.28969136621749497,black,$16k,0.42,$16k,38.1129495,36 → 48,3.58 → 3.87,12,+12k (36 → 48),"Southern Europe
+12k (36 → 48)",30.217458999999998,46.00844,linear,value
Portugal,Southern Europe,1990,2023,25.878822,41.063926,9989475,10430680,35740.763962358076,47750.19980309279,0.001,15.185104000000003,0.46170507236891795,12.009435840734717,0.28969136621749497,black,$15k,0.46,$15k,33.471374,36 → 48,3.58 → 3.87,12,+12k (36 → 48),"Southern Europe
+12k (36 → 48)",25.878822,41.063926,linear,value
"Dominican
Republic",Latin America,1990,2023,6.9625503,22.023509999999998,7151120,11331213,13186.329495351743,20266.922154160544,0.001,15.060959699999998,1.1515646894927525,7.080592658808801,0.4298094578646791,black,$15k,1.15,$15k,14.49303015,13 → 20,2.58 → 3.01,7,+7k (13 → 20),"Latin America
+7k (13 → 20)",6.9625503,22.023509999999998,linear,value
Uruguay,Latin America,1990,2023,13.637145,28.649822,3104365,3388029,13186.329495351743,20266.922154160544,0.001,15.012677,0.7423499105706604,7.080592658808801,0.4298094578646791,black,$15k,0.74,$15k,21.143483500000002,13 → 20,2.58 → 3.01,7,+7k (13 → 20),"Latin America
+7k (13 → 20)",13.637145,28.649822,linear,value
Bulgaria,CEE,1990,2023,17.729384999999997,32.17493,8822320,6795757,17205.041615056816,40600.789118439796,0.001,14.445545000000006,0.595964145364374,23.39574750338298,0.8585850448101425,black,$14k,0.6,$14k,24.9521575,17 → 41,2.85 → 3.7,23,+23k (17 → 41),"CEE
+23k (17 → 41)",17.729384999999997,32.17493,linear,value
Belarus,ex-USSR/Balkans,1990,2023,12.383924,26.724871,10186209,9115626,25766.695236348674,32527.089972335874,0.001,14.340947,0.769195450080757,6.7603947359872,0.23299050403726912,black,$14k,0.77,$14k,19.5543975,26 → 33,3.25 → 3.48,7,+7k (26 → 33),"ex-USSR/Balkans
+7k (26 → 33)",12.383924,26.724871,linear,value
Serbia,ex-USSR/Balkans,1995,2023,8.82543,23.114809,7823230,6773156,25766.695236348674,32527.089972335874,0.001,14.289379,0.9628361675285965,6.7603947359872,0.23299050403726912,black,$14k,0.96,$14k,15.970119500000001,26 → 33,3.25 → 3.48,7,+7k (26 → 33),"ex-USSR/Balkans
+7k (26 → 33)",8.82543,23.114809,linear,value
Kazakhstan,ex-USSR/Balkans,1990,2023,18.539241999999998,30.98853,17154015,20330063,25766.695236348674,32527.089972335874,0.001,12.449288000000003,0.5137274612902395,6.7603947359872,0.23299050403726912,black,$12k,0.51,$12k,24.763886,26 → 33,3.25 → 3.48,7,+7k (26 → 33),"ex-USSR/Balkans
+7k (26 → 33)",18.539241999999998,30.98853,linear,value
Thailand,Asia,1990,2023,8.478667,20.569902,54738282,71702397,3109.287442601651,22862.973209979453,0.001,12.091235,0.8862756953823709,19.753685767377803,1.995125129783213,black,$12k,0.89,$12k,14.5242845,3 → 23,1.13 → 3.13,20,+20k (3 → 23),"Asia
+20k (3 → 23)",8.478667,20.569902,linear,value
Costa Rica,Latin America,1990,2023,11.946281,23.417213,3121652,5105469,13186.329495351743,20266.922154160544,0.001,11.470932,0.6730513336829751,7.080592658808801,0.4298094578646791,black,$11k,0.67,$11k,17.681747,13 → 20,2.58 → 3.01,7,+7k (13 → 20),"Latin America
+7k (13 → 20)",11.946281,23.417213,linear,value
Azerbaijan,ex-USSR/Balkans,1990,2023,10.332301,20.667956999999998,7231035,10318161,25766.695236348674,32527.089972335874,0.001,10.335655999999998,0.6933095223112685,6.7603947359872,0.23299050403726912,black,$10k,0.69,$10k,15.500128999999998,26 → 33,3.25 → 3.48,7,+7k (26 → 33),"ex-USSR/Balkans
+7k (26 → 33)",10.332301,20.667956999999998,linear,value
"North
Macedonia",ex-USSR/Balkans,1990,2023,12.007635,22.128395,2063645,1831749,25766.695236348674,32527.089972335874,0.001,10.12076,0.6113189279832109,6.7603947359872,0.23299050403726912,black,$10k,0.61,$10k,17.068015000000003,26 → 33,3.25 → 3.48,7,+7k (26 → 33),"ex-USSR/Balkans
+7k (26 → 33)",12.007635,22.128395,linear,value
Italy,Southern Europe,1990,2023,42.767633000000004,52.388883,57031408,59499408,35740.763962358076,47750.19980309279,0.001,9.621249999999996,0.2029128341525231,12.009435840734717,0.28969136621749497,black,$10k,0.2,$10k,47.578258000000005,36 → 48,3.58 → 3.87,12,+12k (36 → 48),"Southern Europe
+12k (36 → 48)",42.767633000000004,52.388883,linear,value
Argentina,Latin America,1990,2023,16.405537,25.876053,32755859,45538356,13186.329495351743,20266.922154160544,0.001,9.470516,0.455699046609755,7.080592658808801,0.4298094578646791,black,$9k,0.46,$9k,21.140794999999997,13 → 20,2.58 → 3.01,7,+7k (13 → 20),"Latin America
+7k (13 → 20)",16.405537,25.876053,linear,value
Georgia,ex-USSR/Balkans,1990,2023,11.650671000000001,20.75257,5448811,3807436,25766.695236348674,32527.089972335874,0.001,9.101898999999998,0.5773063195093298,6.7603947359872,0.23299050403726912,black,$9k,0.58,$9k,16.2016205,26 → 33,3.25 → 3.48,7,+7k (26 → 33),"ex-USSR/Balkans
+7k (26 → 33)",11.650671000000001,20.75257,linear,value
Colombia,Latin America,1990,2023,9.675699000000002,18.665950000000002,32440020,52321104,13186.329495351743,20266.922154160544,0.001,8.990251,0.6570835241047766,7.080592658808801,0.4298094578646791,black,$9k,0.66,$9k,14.170824500000002,13 → 20,2.58 → 3.01,7,+7k (13 → 20),"Latin America
+7k (13 → 20)",9.675699000000002,18.665950000000002,linear,value
