cntr_group,country,Code,era_yrs,varname,cntr_region,era_col,value,value_end,change_val,pop,synth,cntr_rank,trans_rec_end_yr,label_perc_end,era_num,era_low,era_high,scaling,change_val_lab,change_lab,change_sign
CEE,Poland,POL,1991-2022,% of DE,CEE: Poland,"capitalism
(1992-2022)",-1.2557374895617002,-0.3623582461767403,0.8933792433849599,38152898,NA,4,1991,28,4,3.5,4.5,0.01,0.89,POL: +0.89,convergence
CEE,Romania,ROU,1950-1975,% of DE,CEE: Romania,"early socialism
(1950-1973/75)",-1.1889038124095803,-1.1635446642539897,0.025359148155590594,16397220,NA,5,1992,30,1,0.5,1.5,0.01,0.03,ROU: +0.03,convergence
CEE,Romania,ROU,1975-1989,% of DE,CEE: Romania,"late socialism
(1973/75-1989)",-1.1635446642539897,-1.4355450541558534,-0.2720003899018637,21268014,NA,5,1992,31,2,1.5,2.5,0.01,-0.27,ROU: -0.27,divergence
CEE,Romania,ROU,1989-1992,% of DE,CEE: Romania,"transition
(1989-1991/92)",-1.4355450541558534,-1.73757542770963,-0.3020303735537766,22887592,NA,5,1992,24,3,2.5,3.5,0.01,-0.3,ROU: -0.3,divergence
CEE,Romania,ROU,1992-2022,% of DE,CEE: Romania,"capitalism
(1992-2022)",-1.73757542770963,-0.5769462088538473,1.1606292188557827,22912341,NA,5,1992,18,4,3.5,4.5,0.01,1.16,ROU: +1.16,convergence
USSR,Russia,RUS,1950-1975,% of DE,USSR: Russia,"early socialism
(1950-1973/75)",-0.6250883414381483,-0.5418513135496653,0.08323702788848297,103392314,NA,2,1998,54,1,0.5,1.5,0.01,0.08,RUS: +0.08,convergence
USSR,Russia,RUS,1975-1989,% of DE,USSR: Russia,"late socialism
(1973/75-1989)",-0.5418513135496653,-0.7263134366443752,-0.18446212309470988,134136049,NA,2,1998,58,2,1.5,2.5,0.01,-0.18,RUS: -0.18,divergence
USSR,Russia,RUS,1989-1998,% of DE,USSR: Russia,"transition
(1989-1991/92)",-0.7263134366443752,-1.2913511139098568,-0.5650376772654816,148281823,NA,2,1998,48,3,2.5,3.5,0.01,-0.57,RUS: -0.57,divergence
USSR,Russia,RUS,1998-2022,% of DE,USSR: Russia,"capitalism
(1992-2022)",-1.2913511139098568,-0.6064166029687104,0.6849345109411464,147635488,NA,2,1998,27,4,3.5,4.5,0.01,0.68,RUS: +0.68,convergence
Yugosl.,Serbia,SRB,1952-1979,% of DE,Yugosl.: Serbia,"early socialism
(1950-1973/75)",-1.2729459905797647,-0.7278606936308756,0.5450852969488891,6127217,NA,2,1993,28,1,0.5,1.5,0.01,0.55,SRB: +0.55,convergence
Yugosl.,Serbia,SRB,1979-1989,% of DE,Yugosl.: Serbia,"late socialism
(1973/75-1989)",-0.7278606936308756,-0.878572856785838,-0.1507121631549624,7758172,NA,2,1993,48,2,1.5,2.5,0.01,-0.15,SRB: -0.15,divergence
Yugosl.,Serbia,SRB,1989-1993,% of DE,Yugosl.: Serbia,"transition
(1989-1991/92)",-0.878572856785838,-1.7631406918760135,-0.8845678350901756,7881211,NA,2,1993,42,3,2.5,3.5,0.01,-0.88,SRB: -0.88,divergence
Yugosl.,Serbia,SRB,1993-2022,% of DE,Yugosl.: Serbia,"capitalism
(1992-2022)",-1.7631406918760135,-1.0036824837063394,0.7594582081696741,7849677,NA,2,1993,17,4,3.5,4.5,0.01,0.76,SRB: +0.76,convergence
CEE,Slovakia,SVK,1950-1975,% of DE,CEE: Slovakia,"early socialism
(1950-1973/75)",-0.2240929194579677,-0.6081269186468149,-0.3840339991888472,3465707,TRUE,6,1992,80,1,0.5,1.5,0.01,-0.38,SVK: -0.38,divergence
CEE,Slovakia,SVK,1975-1989,% of DE,CEE: Slovakia,"late socialism
(1973/75-1989)",-0.6081269186468149,-0.7288232418834073,-0.1206963232365924,4739131,TRUE,6,1992,54,2,1.5,2.5,0.01,-0.12,SVK: -0.12,divergence
CEE,Slovakia,SVK,1989-1992,% of DE,CEE: Slovakia,"transition
(1989-1991/92)",-0.7288232418834073,-1.0236824775072813,-0.29485923562387395,5249882,NA,6,1992,48,3,2.5,3.5,0.01,-0.29,SVK: -0.29,divergence
CEE,Slovakia,SVK,1992-2022,% of DE,CEE: Slovakia,"capitalism
(1992-2022)",-1.0236824775072813,-0.5277385121214464,0.49594396538583485,5306409,NA,6,1992,36,4,3.5,4.5,0.01,0.5,SVK: +0.5,convergence
Yugosl.,Slovenia,SVN,1952-1979,% of DE,Yugosl.: Slovenia,"early socialism
(1950-1973/75)",-0.6123098003291326,-0.04296319281937685,0.5693466075097557,1479622,NA,3,1992,54,1,0.5,1.5,0.01,0.57,SVN: +0.57,convergence
Yugosl.,Slovenia,SVN,1979-1989,% of DE,Yugosl.: Slovenia,"late socialism
(1973/75-1989)",-0.04296319281937685,-0.2855499427322694,-0.24258674991289256,1885870,NA,3,1992,96,2,1.5,2.5,0.01,-0.24,SVN: -0.24,divergence
Yugosl.,Slovenia,SVN,1989-1992,% of DE,Yugosl.: Slovenia,"transition
(1989-1991/92)",-0.2855499427322694,-0.5715661077610968,-0.28601616502882743,1995417,NA,3,1992,75,3,2.5,3.5,0.01,-0.29,SVN: -0.29,divergence
Yugosl.,Slovenia,SVN,1992-2022,% of DE,Yugosl.: Slovenia,"capitalism
(1992-2022)",-0.5715661077610968,-0.35605324592202436,0.21551286183907248,1995805,NA,3,1992,56,4,3.5,4.5,0.01,0.22,SVN: +0.22,convergence
USSR,Ukraine,UKR,1973-1989,% of DE,USSR: Ukraine,"late socialism
(1973/75-1989)",-0.887940016012044,-0.9623471678178017,-0.07440715180575774,48277070,NA,3,1998,41,2,1.5,2.5,0.01,-0.07,UKR: -0.07,divergence
USSR,Ukraine,UKR,1989-1998,% of DE,USSR: Ukraine,"transition
(1989-1991/92)",-0.9623471678178017,-1.9034013677995594,-0.9410541999817577,51917779,NA,3,1998,38,3,2.5,3.5,0.01,-0.94,UKR: -0.94,divergence
USSR,Ukraine,UKR,1998-2022,% of DE,USSR: Ukraine,"capitalism
(1992-2022)",-1.9034013677995594,-1.7950489604501274,0.10835240734943197,50379676,NA,3,1998,15,4,3.5,4.5,0.01,0.11,UKR: +0.11,convergence
USSR,Belarus,BLR,1973-1989,% of W_EUR3,USSR: Belarus,"late socialism
(1973/75-1989)",-0.8145355299885956,-0.7998113587469926,0.014724171241602968,9205662,NA,1,1995,44,2,1.5,2.5,0.01,0.01,BLR: +0.01,convergence
USSR,Belarus,BLR,1989-1995,% of W_EUR3,USSR: Belarus,"transition
(1989-1991/92)",-0.7998113587469926,-1.4213323316598847,-0.6215209729128921,10158729,NA,1,1995,45,3,2.5,3.5,0.01,-0.62,BLR: -0.62,divergence
USSR,Belarus,BLR,1995-2022,% of W_EUR3,USSR: Belarus,"capitalism
(1992-2022)",-1.4213323316598847,-0.7922325330561492,0.6290997986037355,10197421,NA,1,1995,24,4,3.5,4.5,0.01,0.63,BLR: +0.63,convergence
CEE,Bulgaria,BGR,1950-1975,% of W_EUR3,CEE: Bulgaria,"early socialism
(1950-1973/75)",-0.9132065421216147,-0.7146330191909661,0.19857352293064856,7248464,NA,1,1999,40,1,0.5,1.5,0.01,0.2,BGR: +0.2,convergence
CEE,Bulgaria,BGR,1975-1989,% of W_EUR3,CEE: Bulgaria,"late socialism
(1973/75-1989)",-0.7146330191909661,-0.9824188388649878,-0.2677858196740217,8723102,NA,1,1999,49,2,1.5,2.5,0.01,-0.27,BGR: -0.27,divergence
CEE,Bulgaria,BGR,1989-1999,% of W_EUR3,CEE: Bulgaria,"transition
(1989-1991/92)",-0.9824188388649878,-1.3939446485896312,-0.41152580972464337,8936335,NA,1,1999,37,3,2.5,3.5,0.01,-0.41,BGR: -0.41,divergence
CEE,Bulgaria,BGR,1999-2022,% of W_EUR3,CEE: Bulgaria,"capitalism
(1992-2022)",-1.3939446485896312,-0.6958205616265662,0.6981240869630649,8067415,NA,1,1999,25,4,3.5,4.5,0.01,0.7,BGR: +0.7,convergence
Yugosl.,Croatia,HRV,1952-1979,% of W_EUR3,Yugosl.: Croatia,"early socialism
(1950-1973/75)",-0.9980354522348414,-0.45196894516540403,0.5460665070694373,3957359,NA,1,1993,37,1,0.5,1.5,0.01,0.55,HRV: +0.55,convergence
Yugosl.,Croatia,HRV,1979-1989,% of W_EUR3,Yugosl.: Croatia,"late socialism
(1973/75-1989)",-0.45196894516540403,-0.6396368889614797,-0.1876679437960757,4626900,NA,1,1993,64,2,1.5,2.5,0.01,-0.19,HRV: -0.19,divergence
Yugosl.,Croatia,HRV,1989-1993,% of W_EUR3,Yugosl.: Croatia,"transition
(1989-1991/92)",-0.6396368889614797,-1.1451896777127841,-0.5055527887513044,4820680,NA,1,1993,53,3,2.5,3.5,0.01,-0.51,HRV: -0.51,divergence
Yugosl.,Croatia,HRV,1993-2022,% of W_EUR3,Yugosl.: Croatia,"capitalism
(1992-2022)",-1.1451896777127841,-0.4253992292744387,0.7197904484383455,4729691,NA,1,1993,32,4,3.5,4.5,0.01,0.72,HRV: +0.72,convergence
CEE,Czechia,CZE,1950-1975,% of W_EUR3,CEE: Czechia,"early socialism
(1950-1973/75)",-0.325580757018523,-0.5504049540028438,-0.22482419698432082,8916664,TRUE,2,1992,72,1,0.5,1.5,0.01,-0.22,CZE: -0.22,divergence
CEE,Czechia,CZE,1975-1989,% of W_EUR3,CEE: Czechia,"late socialism
(1973/75-1989)",-0.5504049540028438,-0.6347773067545667,-0.08437235275172283,10030738,NA,2,1992,58,2,1.5,2.5,0.01,-0.08,CZE: -0.08,divergence
CEE,Czechia,CZE,1989-1992,% of W_EUR3,CEE: Czechia,"transition
(1989-1991/92)",-0.6347773067545667,-0.7684396159029282,-0.13366230914836152,10305562,NA,2,1992,53,3,2.5,3.5,0.01,-0.13,CZE: -0.13,divergence
