megye,telepules,nevjegyzeken,szavazo,ervenyes,MKKP,TISZA,Mi_Hazank,DK,FIDESZ_KDNP,reszvetel_pct,TISZA_pct,FIDESZ_KDNP_pct,Mi_Hazank_pct,DK_pct,MKKP_pct,gyoztes
Borsod-Abaúj-Zemplén,Hernádszentandrás,284,202,197,0,61,7,4,121,71.1268,30.9645,61.4213,3.5533,2.0305,0.0,FIDESZ_KDNP
Borsod-Abaúj-Zemplén,Hernádszurdok,121,107,100,0,25,5,0,61,88.4298,25.0,61.0,5.0,0.0,0.0,FIDESZ_KDNP
Borsod-Abaúj-Zemplén,Hernádvécse,655,417,403,0,98,9,1,282,63.6641,24.3176,69.9752,2.2333,0.2481,0.0,FIDESZ_KDNP
Borsod-Abaúj-Zemplén,Hidasnémeti,576,450,443,3,222,20,6,191,78.125,50.1129,43.1151,4.5147,1.3544,0.6772,TISZA
Borsod-Abaúj-Zemplén,Hidvégardó,353,263,263,0,102,16,2,143,74.5042,38.7833,54.3726,6.0837,0.7605,0.0,FIDESZ_KDNP
Borsod-Abaúj-Zemplén,Hollóháza,522,398,397,4,194,21,6,156,76.2452,48.8665,39.2947,5.2897,1.5113,1.0076,TISZA
Borsod-Abaúj-Zemplén,Homrogd,687,467,456,0,161,22,7,242,67.9767,35.307,53.0702,4.8246,1.5351,0.0,FIDESZ_KDNP
Borsod-Abaúj-Zemplén,Háromhuta,107,89,89,0,39,9,0,41,83.1776,43.8202,46.0674,10.1124,0.0,0.0,FIDESZ_KDNP
Borsod-Abaúj-Zemplén,Hét,366,285,281,0,160,24,3,94,77.8689,56.9395,33.452,8.5409,1.0676,0.0,TISZA
Borsod-Abaúj-Zemplén,Igrici,839,576,566,1,289,29,4,230,68.6532,51.0601,40.636,5.1237,0.7067,0.1767,TISZA
Borsod-Abaúj-Zemplén,Imola,76,61,59,0,31,1,0,27,80.2632,52.5424,45.7627,1.6949,0.0,0.0,TISZA
Borsod-Abaúj-Zemplén,Ináncs,873,637,627,1,280,31,4,295,72.9668,44.6571,47.0494,4.9442,0.638,0.1595,FIDESZ_KDNP
Borsod-Abaúj-Zemplén,Irota,62,51,51,0,27,4,2,18,82.2581,52.9412,35.2941,7.8431,3.9216,0.0,TISZA
Borsod-Abaúj-Zemplén,Izsófalva,1221,844,841,2,393,46,7,385,69.1237,46.7301,45.7788,5.4697,0.8323,0.2378,TISZA
Borsod-Abaúj-Zemplén,Jákfalva,377,259,248,2,80,9,0,133,68.7003,32.2581,53.629,3.629,0.0,0.8065,FIDESZ_KDNP
Borsod-Abaúj-Zemplén,Járdánháza,1230,748,717,0,287,37,7,370,60.813,40.0279,51.6039,5.1604,0.9763,0.0,FIDESZ_KDNP
Borsod-Abaúj-Zemplén,Jósvafő,201,172,172,1,80,14,0,77,85.5721,46.5116,44.7674,8.1395,0.0,0.5814,TISZA
Borsod-Abaúj-Zemplén,Karcsa,1271,844,828,2,419,27,3,366,66.4044,50.6039,44.2029,3.2609,0.3623,0.2415,TISZA
Borsod-Abaúj-Zemplén,Karos,369,263,261,0,93,14,0,144,71.2737,35.6322,55.1724,5.364,0.0,0.0,FIDESZ_KDNP
